Species;Place;Ring;Room;Sex;Experiment;Exp;Date;dpi;Mass;MassSpecificRMR;RMR;Bad;Phase;Parasitemy
Spinus spinus;Rybachy;xj21514;Siskinary;m;Cont;0;26.08.2020;0;12,49;3,275776724;19,73830964;0;1;0
Spinus spinus;Rybachy;xj21514;Siskinary;m;Cont;0;11.09.2020;12;13,13;3,395139468;21,50579847;0;2;0
Spinus spinus;Rybachy;xj21514;Siskinary;m;Cont;0;21.09.2020;22;12,94;3,324793582;20,75545174;0;3;0
Spinus spinus;Rybachy;xj21514;Siskinary;m;Cont;0;01.10.2020;32;12,72;3,192201649;19,58892734;0;4;0
Spinus spinus;Rybachy;xj21514;Siskinary;m;Cont;0;08.10.2020;39;12,84;3,201798643;19,83317602;0;5;0
Spinus spinus;Rybachy;xj21517;Sparta;f;Cont;0;29.08.2020;0;12,71;3,893688502;23,87481316;0;1;0
Spinus spinus;Rybachy;xj21517;Sparta;f;Cont;0;23.09.2020;24;12,61;3,871381156;23,5512653;0;3;0
Spinus spinus;Rybachy;xj21517;Sparta;f;Cont;0;04.10.2020;35;12,56;3,43744588;20,82853551;0;4;0
Spinus spinus;Rybachy;xj21517;Sparta;f;Cont;0;17.10.2020;48;12,65;4,014490283;24,49932748;0;5;0
Spinus spinus;Rybachy;xj21523;Sparta;f;Exp_2;1;22.08.2020;0;11,47;3,834645898;21,21885331;0;1;0
Spinus spinus;Rybachy;xj21523;Sparta;f;Exp_2;1;08.09.2020;14;11,54;0,809322431;23,42642694;0;2;14,94666667
Spinus spinus;Rybachy;xj21528;Sparta;m;Cont;0;28.08.2020;0;13,7;3,459526424;22,86495998;0;1;0
Spinus spinus;Rybachy;xj21528;Sparta;m;Cont;0;12.09.2020;13;12,73;4,060912801;24,93935942;0;2;0
Spinus spinus;Rybachy;xj21528;Sparta;m;Cont;0;23.09.2020;24;12,86;3,838551933;23,81450812;0;3;0
Spinus spinus;Rybachy;xj21528;Sparta;m;Cont;0;03.10.2020;34;13,56;3,955604761;25,87651624;0;4;0
Spinus spinus;Rybachy;xj21528;Sparta;m;Cont;0;16.10.2020;47;12,74;3,916341593;24,07039512;0;5;0
Spinus spinus;Rybachy;xj21557;Siskinary;m;Cont;0;25.08.2020;0;12,55;3,16841771;19,18312622;0;1;0
Spinus spinus;Rybachy;xj21557;Siskinary;m;Cont;0;09.09.2020;10;13,18;3,207930375;20,39734166;0;2;0
Spinus spinus;Rybachy;xj21557;Siskinary;m;Cont;0;20.09.2020;21;12,28;4,044905352;23,9629321;0;3;0
Spinus spinus;Rybachy;xj21557;Siskinary;m;Cont;0;01.10.2020;32;12,38;3,803926538;22,71883159;0;4;0
Spinus spinus;Rybachy;xj21557;Siskinary;m;Cont;0;08.10.2020;39;11,91;4,123715392;23,6937429;0;5;0
Spinus spinus;Rybachy;xj26539;Siskinary;f;Exp_1;1;29.08.2020;8;11,64;4,097139707;23,00737016;0;2;23,33333333
Spinus spinus;Rybachy;xj26746;Siskinary;m;Exp_2;1;22.08.2020;0;12,67;3,847564373;23,51774819;0;1;0
Spinus spinus;Rybachy;xj26746;Siskinary;m;Exp_2;1;03.09.2020;9;12,29;0,776238118;22,46877742;0;2;2,255
