Species;Place;Ring;Room;Sex;Experiment;Exp;Date;dpi;Mass;BMR;Bad;Leaks;Phase;Parasitemy;Survival
Spin spin;Rybachy;xj27171;Siskinary;m;Exp_1;1;04.08.2020;0;10,57;17,2817715;0;0;1;0;No
Spin spin;Rybachy;xj27173;Siskinary;m;Exp_1;1;04.08.2020;0;12,31;21,72854496;0;0;1;0;Yes
Spin spin;Rybachy;xj27075;Sparta;f;Exp_2;1;15.08.2020;0;12,78;21,0435406;0;0;1;0;Yes
Spin spin;Rybachy;xj27182;Siskinary;m;Exp_1;1;15.08.2020;0;12,96;20,89744269;0;0;1;0;No
Spin spin;Rybachy;xj27183;Siskinary;m;Exp_1;1;15.08.2020;0;13,09;22,05781807;0;0;1;0;Yes
Spin spin;Rybachy;xj26917;Siskinary;f;Exp_1;1;16.08.2020;0;11,52;19,96655907;0;0;1;0;Yes
Spin spin;Rybachy;xj27155;Siskinary;m;Exp_2;1;16.08.2020;0;13,52;19,67418338;0;0;1;0;Yes
Spin spin;Rybachy;xj27186;Siskinary;m;Exp_1;1;16.08.2020;0;12,05;19,99647496;0;0;1;0;No
Spin spin;Rybachy;xj27247;Sparta;f;Exp_1;1;18.08.2020;0;11,78;18,37285952;0;0;1;0;No
Spin spin;Rybachy;xj27268;Sparta;f;Exp_1;1;18.08.2020;0;12,5;20,16559692;0;0;1;0;Yes
Spin spin;Rybachy;xj27407;Sparta;m;Exp_1;1;18.08.2020;0;13,34;23,28806108;0;0;1;0;Yes
Spin spin;Rybachy;xj27259;Sparta;m;Exp_1;1;19.08.2020;0;13,22;25,62696163;0;0;1;0;No
Spin spin;Rybachy;xj27266;Sparta;m;Exp_1;1;19.08.2020;0;12,67;21,95715159;0;0;1;0;Yes
Spin spin;Rybachy;xj27277;Sparta;m;Exp_1;1;19.08.2020;0;12,75;19,66096411;0;0;1;0;No
Spin spin;Rybachy;xj27409;Sparta;m;Exp_1;1;19.08.2020;0;14,22;19,89958698;0;0;1;0;Yes
Spin spin;Rybachy;xj27249;Sparta;m;Exp_1;1;20.08.2020;0;12,69;19,93967269;0;0;1;0;No
Spin spin;Rybachy;xj27260;Sparta;m;Exp_1;1;20.08.2020;0;13,39;20,94274795;0;0;1;0;Yes
Spin spin;Rybachy;xj27265;Sparta;m;Exp_1;1;20.08.2020;0;12,92;24,71653594;0;0;1;0;Yes
Spin spin;Rybachy;xj27274;Sparta;m;Exp_2;1;20.08.2020;0;11,99;20,4832932;0;0;1;0;Yes
Spin spin;Rybachy;xj27243;Sparta;m;Exp_2;1;21.08.2020;0;13,43;21,98381208;0;0;1;0;Yes
Spin spin;Rybachy;xj27400;Sparta;m;Exp_2;1;21.08.2020;0;12,37;22,70117159;0;0;1;0;Yes
