Ring ;Date;Slide;Group;Day;Weight;Parasitemia;IL6_pg_ml;Survival
XJ27186;21.08.2020;1664;Exp1;0;13,12;0;14,41;No
XJ27156;21.08.2020;1665;Exp1;0;13,31;0;17,69;Yes
XJ27168;21.08.2020;1666;Exp1;0;13,72;0;17,45;No
XJ27173;21.08.2020;1667;Exp1;0;12,93;0;18,82;Yes
XJ27171;21.08.2020;1668;Exp1;0;11,4;0;17,94;No
XJ27183;21.08.2020;1669;Exp1;0;14,08;0;11,9;Yes
XJ27177;21.08.2020;1670;Exp1;0;13,16;0;9,92;No
XJ27182;21.08.2020;1671;Exp1;0;13,92;0;15,31;No
XJ26539;21.08.2020;1672;Exp1;0;11,92;0;16,06;No
XJ26917;21.08.2020;1673;Exp1;0;12,83;0;17,69;Yes
XJ27268;21.08.2020;1674;Exp1;0;13,14;0;17,42;Yes
XJ27247;21.08.2020;1675;Exp1;0;12,46;0;23;No
XJ27277;21.08.2020;1676;Exp1;0;13,4;0;19,84;No
XJ27259;21.08.2020;1677;Exp1;0;13,9;0;18,32;No
XJ27409;21.08.2020;1678;Exp1;0;14,71;0;19,17;Yes
XJ27266;21.08.2020;1679;Exp1;0;13,23;0;19,42;Yes
XJ27407;21.08.2020;1680;Exp1;0;13,96;0;21,03;Yes
XJ27265;21.08.2020;1681;Exp1;0;14,22;0;9,21;Yes
XJ27260;21.08.2020;1682;Exp1;0;14,27;0;9,15;Yes
XJ27249;21.08.2020;1683;Exp1;0;13,73;0;12,82;No
XJ26746;25.08.2020;1705;Exp2;0;12,92;0;6,75;Yes
XJ27031;25.08.2020;1706;Exp2;0;12,37;0;11,06;No
XJ26909;25.08.2020;1707;Exp2;0;13,12;0;6,59;No
XJ27015;25.08.2020;1708;Exp2;0;12,68;0;5,74;Yes
XJ26755;25.08.2020;1709;Exp2;0;13,53;0;7,44;No
XJ27181;25.08.2020;1710;Exp2;0;14;0;6,62;No
XJ27155;25.08.2020;1711;Exp2;0;13,53;0;9,28;Yes
XJ27146;25.08.2020;1712;Exp2;0;12,31;0;7,28;No
XJ27167;25.08.2020;1713;Exp2;0;12,33;0;7,05;No
XJ27225;25.08.2020;1714;Exp2;0;13,05;0;7,57;No
XJ21523;25.08.2020;1715;Exp2;0;11,91;0;7,38;No
XJ27075;25.08.2020;1716;Exp2;0;12,3;0;6,13;Yes
XJ27274;25.08.2020;1717;Exp2;0;12,44;0;8,36;Yes
XJ27243;25.08.2020;1718;Exp2;0;14,05;0;7,34;Yes
XJ27402;25.08.2020;1719;Exp2;0;14,39;0;9,98;Yes
XJ27410;25.08.2020;1720;Exp2;0;13,36;0;8,43;Yes
XJ27400;25.08.2020;1721;Exp2;0;12,96;0;7,48;Yes
XJ27394;25.08.2020;1722;Exp2;0;14,32;0;7,15;No
XJ27255;25.08.2020;1723;Exp2;0;13,13;0;8,4;Yes
XJ27381;25.08.2020;1724;Exp2;0;12,52;0;6,95;Yes
XJ27182;27.08.2020;1731;Exp1;6;14,24;0,18;7,87;No
XJ27156;27.08.2020;1732;Exp1;6;12,1;0;10,17;Yes
XJ27168;27.08.2020;1733;Exp1;6;11,63;0,2;8,98;No
XJ27186;27.08.2020;1734;Exp1;6;12,78;0,01;6,56;No
XJ27171;27.08.2020;1735;Exp1;6;11,48;0,01;7,54;No
XJ27173;27.08.2020;1736;Exp1;6;12,65;0,01;13,31;Yes
XJ27177;27.08.2020;1737;Exp1;6;12,77;0,1;13,38;No
XJ27183;27.08.2020;1738;Exp1;6;13,36;0,8;12,82;Yes
XJ26539;27.08.2020;1739;Exp1;6;11,48;10;12,65;No
XJ26917;27.08.2020;1740;Exp1;6;11,73;0,07;10,62;Yes
XJ27247;27.08.2020;1741;Exp1;6;11,8;0,08;22,89;No
XJ27268;27.08.2020;1742;Exp1;6;13,05;0,17;18,19;Yes
XJ27249;27.08.2020;1743;Exp1;6;12,35;0,3;7,91;No
XJ27260;27.08.2020;1744;Exp1;6;13,9;0,001;13,07;Yes
XJ27265;27.08.2020;1745;Exp1;6;13,52;0,16;5,66;Yes
XJ27407;27.08.2020;1746;Exp1;6;13,67;0,23;10,48;Yes
XJ27266;27.08.2020;1747;Exp1;6;12,34;0,4;14,04;Yes
XJ27409;27.08.2020;1748;Exp1;6;14,19;0,5;15,93;Yes
XJ27259;27.08.2020;1749;Exp1;6;13,18;0,2;14,36;No
XJ27277;27.08.2020;1750;Exp1;6;14,58;0,7;16,15;No
XJ27146;27.08.2020;NA;Exp2;2;NA;NA;NA;No
XJ27177;29.08.2020;NA;Exp1;8;NA;NA;NA;No
XJ27085;30.08.2020;1751;Con;0;14,21;0;15,91;Yes
XJ21557;30.08.2020;1752;Con;0;13,01;0;15,19;Yes
XJ27143;30.08.2020;1753;Con;0;11,89;0;18,38;Yes
XJ26977;30.08.2020;1754;Con;0;12,7;0;17,17;Yes
XJ27231;30.08.2020;1755;Con;0;12,62;0;17,54;Yes
XJ26972;30.08.2020;1756;Con;0;14,63;0;18,41;Yes
XJ26958;30.08.2020;1757;Con;0;11,36;0;17,11;No
XJ27084;30.08.2020;1758;Con;0;12,6;0;15,97;Yes
XJ21514;30.08.2020;1759;Con;0;12,76;0;18,98;Yes
XJ26793;30.08.2020;1760;Con;0;13,48;0;12,85;Yes
XJ27403;30.08.2020;1761;Con;0;12,14;0;6,43;No
XJ21517;30.08.2020;1762;Con;0;12,88;0;12,36;Yes
XJ27261;30.08.2020;1763;Con;0;12,4;0;12,88;Yes
XJ27063;30.08.2020;1764;Con;0;11,65;0;14,29;No
XJ21528;30.08.2020;1765;Con;0;13,48;0;16,6;Yes
XJ21511;30.08.2020;1766;Con;0;13,05;0;15,52;No
XJ27093;30.08.2020;1767;Con;0;13,12;0;17,17;Yes
XJ26984;30.08.2020;1768;Con;0;13,7;0;15,7;Yes
XJ27406;30.08.2020;1769;Con;0;13,15;0;18,73;Yes
XJ27404;30.08.2020;1770;Con;0;13,17;0;17,66;No
XJ26755;30.08.2020;NA;Exp2;5;13,69;0,02;NA;No
XJ27015;31.08.2020;1773;Exp2;6;13,77;0,01;11,84;Yes
XJ27031;31.08.2020;1774;Exp2;6;13,3;0,02;14,81;No
XJ27155;31.08.2020;1775;Exp2;6;13,85;0,1;12,47;Yes
XJ27225;31.08.2020;1776;Exp2;6;13,08;0,09;7,36;No
XJ27167;31.08.2020;1777;Exp2;6;12,43;0,09;10,59;No
XJ26909;31.08.2020;1778;Exp2;6;14,09;0,03;8,24;No
XJ27181;31.08.2020;1779;Exp2;6;14,52;0;9,05;No
XJ27402;31.08.2020;1780;Exp2;6;14,21;0,01;17,54;Yes
XJ21523;31.08.2020;1781;Exp2;6;11,94;0;13,31;No
XJ27381;31.08.2020;1782;Exp2;6;12,02;0,02;17,54;Yes
XJ27075;31.08.2020;1783;Exp2;6;12,66;0,04;11,63;Yes
XJ27394;31.08.2020;1784;Exp2;6;14,19;0;10,27;No
XJ27243;31.08.2020;1785;Exp2;6;13,66;0;8,7;Yes
XJ27255;31.08.2020;1786;Exp2;6;13,06;0;13,83;Yes
XJ26746;31.08.2020;1787;Exp2;6;13,11;0,1;11,49;Yes
XJ27410;31.08.2020;1788;Exp2;6;12,91;0,02;17,85;Yes
XJ27400;31.08.2020;1789;Exp2;6;12,62;0;13,94;Yes
XJ27274;31.08.2020;1790;Exp2;6;12,49;0,05;14,85;Yes
XJ27247;02.09.2020;1791;Exp1;12;12,14;13;9,22;No
XJ27183;02.09.2020;1792;Exp1;12;11,56;0,6;7,74;Yes
XJ26917;02.09.2020;1793;Exp1;12;11,56;20;13,14;Yes
XJ27171;02.09.2020;1794;Exp1;12;11,4;20;8,26;No
XJ27182;02.09.2020;1795;Exp1;12;14,08;22;6,1;No
XJ27260;02.09.2020;1796;Exp1;12;13,7;3;6,95;Yes
XJ27409;02.09.2020;1797;Exp1;12;14,45;13;8,89;Yes
XJ27249;02.09.2020;1798;Exp1;12;13,11;45;6,23;No
XJ27407;02.09.2020;1799;Exp1;12;13,37;10;9,48;Yes
XJ27266;02.09.2020;1800;Exp1;12;12,58;50;9,22;Yes
XJ27277;02.09.2020;1801;Exp1;12;13,21;43;7,02;No
XJ27259;02.09.2020;1802;Exp1;12;12,86;30;8,3;No
XJ27265;02.09.2020;1803;Exp1;12;13,3;15;9,09;Yes
XJ27268;02.09.2020;1804;Exp1;12;13,11;20;11,42;Yes
XJ27186;02.09.2020;1805;Exp1;12;13,21;5;7,41;No
XJ26539;02.09.2020;1806;Exp1;12;11,39;50;6,16;No
XJ27168;02.09.2020;1807;Exp1;12;12,6;7;7,28;No
XJ27173;02.09.2020;1808;Exp1;12;12,65;0,5;6,98;Yes
XJ27156;02.09.2020;1809;Exp1;12;12,18;0,5;9,09;Yes
XJ27167;03.09.2020;NA;Exp2;9;12,33;0,68;NA;No
XJ26984;05.09.2020;1810;Con;6;13,92;0;6,25;Yes
