Ring;Date;Experiment;RMR;IL
xj21514;26.08.2020;Cont;"19,73830964";"18,98"
xj21514;11.09.2020;Cont;"21,50579847";"7,3"
xj21514;21.09.2020;Cont;"20,75545174";"11,33333333"
xj21514;01.10.2020;Cont;"19,58892734";"18,07333333"
xj21514;08.10.2020;Cont;"19,83317602";"18,28"
xj21517;29.08.2020;Cont;"23,87481316";"12,36"
xj21517;23.09.2020;Cont;"23,5512653";"11,23"
xj21517;04.10.2020;Cont;"20,82853551";"17,28333333"
xj21517;17.10.2020;Cont;"24,49932748";"14,6675"
xj21528;28.08.2020;Cont;"22,86495998";"16,6"
xj21528;12.09.2020;Cont;"24,93935942";"9,721666667"
xj21528;23.09.2020;Cont;"23,81450812";"15,9"
xj21528;03.10.2020;Cont;"25,87651624";"18,59"
xj21528;16.10.2020;Cont;"24,07039512";"18,6025"
xj21557;25.08.2020;Cont;"19,18312622";"15,19"
xj21557;09.09.2020;Cont;"20,39734166";"6,533333333"
xj21557;20.09.2020;Cont;"23,9629321";"11,875"
xj21557;01.10.2020;Cont;"22,71883159";"19,06666667"
xj21557;08.10.2020;Cont;"23,6937429";"20,095"
xj26793;23.08.2020;Cont;"22,32579906";"12,85"
xj26793;08.09.2020;Cont;"25,79199958";"7,125"
xj26793;19.09.2020;Cont;"26,01425421";"16,25666667"
xj26793;30.09.2020;Cont;"24,38165968";"16,51"
xj26793;10.10.2020;Cont;"23,8052516";"18,435"
xj26793;13.10.2020;Cont;"22,89174835";"15,75285714"
xj26972;25.08.2020;Cont;"22,69781274";"18,41"
xj26972;12.09.2020;Cont;"28,58562724";"7,563333333"
xj26972;21.09.2020;Cont;"23,34058825";"11,08"
xj26972;02.10.2020;Cont;"19,75114821";"16,175"
xj26972;14.10.2020;Cont;"22,23783014";"23,77"
xj26977;26.08.2020;Cont;"21,50808881";"17,17"
xj26977;09.09.2020;Cont;"23,28372668";"7,82"
xj26977;20.09.2020;Cont;"25,34668548";"18,95"
xj26977;30.09.2020;Cont;"23,29357693";"21,14333333"
xj26977;10.10.2020;Cont;"23,49300271";"21,285"
xj26977;17.10.2020;Cont;"22,43603926";"18,2725"
xj26984;27.08.2020;Cont;"22,68367607";"15,7"
xj26984;10.09.2020;Cont;"23,84266299";"6,25"
xj26984;22.09.2020;Cont;"23,06065975";"8,795"
xj26984;03.10.2020;Cont;"20,94751932";"12,44333333"
xj26984;16.10.2020;Cont;"20,8443899";"17,37625"
xj27084;26.08.2020;Cont;"22,37315595";"15,97"
xj27084;09.09.2020;Cont;"21,96393084";"7,5"
xj27084;20.09.2020;Cont;"24,62266556";"7,89"
xj27084;01.10.2020;Cont;"25,16588581";"13,39666667"
xj27084;08.10.2020;Cont;"28,44411685";"18,765"
xj27085;26.08.2020;Cont;"20,74637647";"15,91"
xj27085;11.09.2020;Cont;"22,18390871";"6,3"
xj27085;21.09.2020;Cont;"22,31121037";"13,85333333"
xj27085;01.10.2020;Cont;"22,90805026";"21,70333333"
xj27085;08.10.2020;Cont;"24,20135231";"19,955"
xj27093;27.08.2020;Cont;"21,44956163";"17,17"
xj27093;23.09.2020;Cont;"22,45913898";"11,52"
xj27093;03.10.2020;Cont;"22,68609911";"15,27"
xj27093;16.10.2020;Cont;"21,13968868";"18,74875"
xj27143;25.08.2020;Cont;"26,53601001";"18,38"
xj27143;09.09.2020;Cont;"24,39818657";"7,08"
xj27143;20.09.2020;Cont;"24,77906853";"11,28"
xj27143;30.09.2020;Cont;"25,92245587";"18,21"
xj27143;14.10.2020;Cont;"25,48607066";"13,99875"
xj27231;25.08.2020;Cont;"20,55114118";"17,54"
xj27231;13.09.2020;Cont;"24,93581079";"16,96"
xj27231;21.09.2020;Cont;"24,1941765";"13,66666667"
xj27231;02.10.2020;Cont;"23,29427901";"15,13"
xj27231;14.10.2020;Cont;"27,87975756";"19,34625"
xj27261;28.08.2020;Cont;"23,56642289";"12,88"
xj27261;23.09.2020;Cont;"22,99374138";"10,44"
xj27261;04.10.2020;Cont;"21,43689888";"16,965"
xj27261;16.10.2020;Cont;"22,1521795";"16,43875"
xj27403;27.08.2020;Cont;"21,74136054";"6,43"
xj27403;10.09.2020;Cont;"25,16109708";"4,736666667"
xj27403;22.09.2020;Cont;"22,67607937";"10,12"
xj27403;03.10.2020;Cont;"23,36753472";"15,29333333"
xj27404;28.08.2020;Cont;"23,67676391";"17,66"
xj27404;10.09.2020;Cont;"26,24552865";"6,596666667"
xj27404;22.09.2020;Cont;"26,70882151";"14,31666667"
xj27404;02.10.2020;Cont;"19,95848548";"16,46"
xj27406;28.08.2020;Cont;"24,22226246";"18,73"
xj27406;10.09.2020;Cont;"25,2389191";"13,45333333"
xj27406;22.09.2020;Cont;"23,95710902";"45,95333333"
xj27406;02.10.2020;Cont;"19,31869603";"24,51"
xj27406;14.10.2020;Cont;"24,15979904";"30,05875"
xj26539;29.08.2020;Exp1;"23,00737016";"10,48666667"
xj26917;16.08.2020;Exp1;"19,96655907";"17,69"
xj26917;01.09.2020;Exp1;"13,69949796";"12,72"
xj26917;14.09.2020;Exp1;"19,80161738";"9,42"
xj26917;24.09.2020;Exp1;"21,04178586";"19,76"
xj26917;05.10.2020;Exp1;"25,47384742";"25,26814639"
xj26917;07.10.2020;Exp1;"23,98691065";"23,95128247"
xj27156;31.08.2020;Exp1;"24,671586";"9,45"
xj27156;13.09.2020;Exp1;"27,77486845";"9,876666667"
xj27156;24.09.2020;Exp1;"28,85926125";"14,13666667"
xj27156;04.10.2020;Exp1;"24,45635285";"22,31198192"
xj27156;07.10.2020;Exp1;"25,04495479";"17,23658821"
xj27168;31.08.2020;Exp1;"20,37282476";"7,846666667"
xj27171;04.08.2020;Exp1;"17,2817715";"17,94"
xj27171;01.09.2020;Exp1;"12,98412432";"8,14"
xj27171;14.09.2020;Exp1;"19,11641161";"7,57"
xj27173;04.08.2020;Exp1;"21,72854496";"18,82"
xj27173;31.08.2020;Exp1;"20,04007875";"9,09"
xj27173;14.09.2020;Exp1;"23,94907618";"7,61"
xj27173;24.09.2020;Exp1;"24,31350803";"14,01"
xj27173;04.10.2020;Exp1;"21,64300651";"20,58032367"
xj27173;07.10.2020;Exp1;"24,49580917";"19,03075163"
xj27182;15.08.2020;Exp1;"20,89744269";"15,31"
xj27182;01.09.2020;Exp1;"14,02678952";"6,395"
xj27183;15.08.2020;Exp1;"22,05781807";"11,9"
xj27183;01.09.2020;Exp1;"14,32385126";"8,586666667"
xj27183;14.09.2020;Exp1;"22,17328571";"8,72"
