Ring;Date;Experiment;RMR;Parasitemia
xj21514;26.08.2020;Cont;"19,73830964";0
xj21514;11.09.2020;Cont;"21,50579847";0
xj21514;21.09.2020;Cont;"20,75545174";0
xj21514;01.10.2020;Cont;"19,58892734";0
xj21514;08.10.2020;Cont;"19,83317602";0
xj21517;29.08.2020;Cont;"23,87481316";0
xj21517;23.09.2020;Cont;"23,5512653";0
xj21517;04.10.2020;Cont;"20,82853551";0
xj21517;17.10.2020;Cont;"24,49932748";0
xj21528;28.08.2020;Cont;"22,86495998";0
xj21528;12.09.2020;Cont;"24,93935942";0
xj21528;23.09.2020;Cont;"23,81450812";0
xj21528;03.10.2020;Cont;"25,87651624";0
xj21528;16.10.2020;Cont;"24,07039512";0
xj21557;25.08.2020;Cont;"19,18312622";0
xj21557;09.09.2020;Cont;"20,39734166";0
xj21557;20.09.2020;Cont;"23,9629321";0
xj21557;01.10.2020;Cont;"22,71883159";0
xj21557;08.10.2020;Cont;"23,6937429";0
xj26793;23.08.2020;Cont;"22,32579906";0
xj26793;08.09.2020;Cont;"25,79199958";0
xj26793;19.09.2020;Cont;"26,01425421";0
xj26793;30.09.2020;Cont;"24,38165968";0
xj26793;10.10.2020;Cont;"23,8052516";0
xj26793;13.10.2020;Cont;"22,89174835";0
xj26972;25.08.2020;Cont;"22,69781274";0
xj26972;12.09.2020;Cont;"28,58562724";0
xj26972;21.09.2020;Cont;"23,34058825";0
xj26972;02.10.2020;Cont;"19,75114821";0
xj26972;14.10.2020;Cont;"22,23783014";0
xj26977;26.08.2020;Cont;"21,50808881";0
xj26977;09.09.2020;Cont;"23,28372668";0
xj26977;20.09.2020;Cont;"25,34668548";0
xj26977;30.09.2020;Cont;"23,29357693";0
xj26977;10.10.2020;Cont;"23,49300271";0
xj26977;17.10.2020;Cont;"22,43603926";0
xj26984;27.08.2020;Cont;"22,68367607";0
xj26984;10.09.2020;Cont;"23,84266299";0
xj26984;22.09.2020;Cont;"23,06065975";0
xj26984;03.10.2020;Cont;"20,94751932";0
xj26984;16.10.2020;Cont;"20,8443899";0
xj27084;26.08.2020;Cont;"22,37315595";0
xj27084;09.09.2020;Cont;"21,96393084";0
xj27084;20.09.2020;Cont;"24,62266556";0
xj27084;01.10.2020;Cont;"25,16588581";0
xj27084;08.10.2020;Cont;"28,44411685";0
xj27085;26.08.2020;Cont;"20,74637647";0
xj27085;11.09.2020;Cont;"22,18390871";0
xj27085;21.09.2020;Cont;"22,31121037";0
xj27085;01.10.2020;Cont;"22,90805026";0
xj27085;08.10.2020;Cont;"24,20135231";0
xj27093;27.08.2020;Cont;"21,44956163";0
xj27093;23.09.2020;Cont;"22,45913898";0
xj27093;03.10.2020;Cont;"22,68609911";0
xj27093;16.10.2020;Cont;"21,13968868";0
xj27143;25.08.2020;Cont;"26,53601001";0
xj27143;09.09.2020;Cont;"24,39818657";0
xj27143;20.09.2020;Cont;"24,77906853";0
xj27143;30.09.2020;Cont;"25,92245587";0
xj27143;14.10.2020;Cont;"25,48607066";0
xj27231;25.08.2020;Cont;"20,55114118";0
xj27231;13.09.2020;Cont;"24,93581079";0
xj27231;21.09.2020;Cont;"24,1941765";0
xj27231;02.10.2020;Cont;"23,29427901";0
xj27231;14.10.2020;Cont;"27,87975756";0
xj27261;28.08.2020;Cont;"23,56642289";0
xj27261;23.09.2020;Cont;"22,99374138";0
xj27261;04.10.2020;Cont;"21,43689888";0
xj27261;16.10.2020;Cont;"22,1521795";0
xj27403;27.08.2020;Cont;"21,74136054";0
xj27403;10.09.2020;Cont;"25,16109708";0
xj27403;22.09.2020;Cont;"22,67607937";0
xj27403;03.10.2020;Cont;"23,36753472";0
xj27404;28.08.2020;Cont;"23,67676391";0
xj27404;10.09.2020;Cont;"26,24552865";0
xj27404;22.09.2020;Cont;"26,70882151";0
xj27404;02.10.2020;Cont;"19,95848548";0
xj27406;28.08.2020;Cont;"24,22226246";0
xj27406;10.09.2020;Cont;"25,2389191";0
xj27406;22.09.2020;Cont;"23,95710902";0
xj27406;02.10.2020;Cont;"19,31869603";0
xj27406;14.10.2020;Cont;"24,15979904";0
xj26539;29.08.2020;Exp1;"23,00737016";"23,33333333"
xj26917;16.08.2020;Exp1;"19,96655907";0
xj26917;01.09.2020;Exp1;"13,69949796";"16,67833333"
xj26917;14.09.2020;Exp1;"19,80161738";65
xj26917;24.09.2020;Exp1;"21,04178586";"3,266666667"
xj26917;05.10.2020;Exp1;"25,47384742";"0,26"
xj26917;07.10.2020;Exp1;"23,98691065";"0,36666"
xj27156;31.08.2020;Exp1;"24,671586";"0,333333333"
xj27156;13.09.2020;Exp1;"27,77486845";"54,16666667"
xj27156;24.09.2020;Exp1;"28,85926125";"16,68"
xj27156;04.10.2020;Exp1;"24,45635285";"2,166667"
xj27156;07.10.2020;Exp1;"25,04495479";"3,166667"
xj27168;31.08.2020;Exp1;"20,37282476";"4,733333333"
xj27171;04.08.2020;Exp1;"17,2817715";0
xj27171;01.09.2020;Exp1;"12,98412432";"16,66833333"
xj27171;14.09.2020;Exp1;"19,11641161";90
xj27173;04.08.2020;Exp1;"21,72854496";0
xj27173;31.08.2020;Exp1;"20,04007875";"0,336666667"
xj27173;14.09.2020;Exp1;"23,94907618";"0,1"
xj27173;24.09.2020;Exp1;"24,31350803";"0,136666667"
xj27173;04.10.2020;Exp1;"21,64300651";"0,04"
xj27173;07.10.2020;Exp1;"24,49580917";"0,085"
xj27182;15.08.2020;Exp1;"20,89744269";0
xj27182;01.09.2020;Exp1;"14,02678952";"18,36333333"
xj27183;15.08.2020;Exp1;"22,05781807";0
xj27183;01.09.2020;Exp1;"14,32385126";"0,633333333"
xj27183;14.09.2020;Exp1;"22,17328571";"2,5"
xj27183;24.09.2020;Exp1;"22,18305821";"2,666666667"
xj27183;05.10.2020;Exp1;"25,45887602";"0,135"
xj27183;07.10.2020;Exp1;"25,1235487";"0,218333"
xj27186;16.08.2020;Exp1;"19,99647496";0
xj27186;31.08.2020;Exp1;"18,33405978";"3,336666667"
xj27186;13.09.2020;Exp1;"18,83307273";"84,16666667"
xj27247;18.08.2020;Exp1;"18,37285952";0
xj27247;03.09.2020;Exp1;"19,63052411";"20,83333333"
xj27247;11.09.2020;Exp1;"15,77173204";"67,5"
xj27249;20.08.2020;Exp1;"19,93967269";0
xj27249;02.09.2020;Exp1;"18,9918272";45
xj27259;19.08.2020;Exp1;"25,62696163";0
xj27259;03.09.2020;Exp1;"21,51517324";"38,33333333"
xj27260;20.08.2020;Exp1;"20,94274795";0
