Day,Manth,Year,Date_text,Depth_class,Depth,Station,ID,Female,Male,cop_V,cop_IV,cop_III,cop II,cop I,nauplii,,,,,,,,,
20.00,6.00,1998.00,20/06/1998,0_10,5.00,D1,1,0,0,1,0,4,15,90,135,,,,,,,,,
30.00,6.00,1998.00,30/06/1998,0_10,5.00,D1,2,0,0,0,1,200,800,400,2,,,,,,,,,
9.00,7.00,1998.00,09/07/1998,0_10,5.00,D1,3,0,0,0,0,0,8,9,1,,,,,,,,,
20.00,7.00,1998.00,20/07/1998,0_10,5.00,D1,4,0,0,0,0,0,0,0,0,,,,,,,,,
30.00,7.00,1998.00,30/07/1998,0_10,5.00,D1,5,0,0,0,0,0,0,0,0,,,,,,,,,
9.00,8.00,1998.00,09/08/1998,0_10,5.00,D1,6,0,0,0,0,0,0,0,0,,,,,,,,,
20.00,8.00,1998.00,20/08/1998,0_10,5.00,D1,7,0,0,0,0,0,0,0,0,,,,,,,,,
30.00,8.00,1998.00,30/08/1998,0_10,5.00,D1,8,0,0,0,0,0,0,0,0,,,,,,,,,
10.00,9.00,1998.00,10/09/1998,0_10,5.00,D1,9,0,0,0,0,0,0,0,0,,,,,,,,,
21.00,9.00,1998.00,21/09/1998,0_10,5.00,D1,10,0,0,0,0,0,0,0,0,,,,,,,,,
30.00,9.00,1998.00,30/09/1998,0_10,5.00,D1,11,0,0,0,0,0,0,0,0,,,,,,,,,
9.00,10.00,1998.00,09/10/1998,0_10,5.00,D1,12,0,0,0,0,0,0,0,0,,,,,,,,,
20.00,10.00,1998.00,20/10/1998,0_10,5.00,D1,13,0,0,0,0,0,0,0,0,,,,,,,,,
1.00,11.00,1998.00,01/11/1998,0_10,5.00,D1,14,0,0,0,0,0,0,0,0,,,,,,,,,
11.00,11.00,1998.00,11/11/1998,0_10,5.00,D1,15,0,0,0,0,0,0,0,0,,,,,,,,,
26.00,1,1999.00,26/01/1999,0_10,5.00,D1,16,0,0,0,0,0,0,0,0,,,,,,,,,
10.00,2,1999.00,10/02/1999,0_10,5.00,D1,17,0,0,0,0,0,0,0,0,,,,,,,,,
17.00,3,1999.00,17/03/1999,0_10,5.00,D1,18,0,0,0,0,0,0,0,0,,,,,,,,,
7.00,4,1999.00,07/04/1999,0_10,5.00,D1,19,3,0,0,4,0,0,0,0,,,,,,,,,
22.00,5,1999.00,22/05/1999,0_10,5.00,D1,20,6,0,42,117,0,0,0,0,,,,,,,,,
1.00,6,1999.00,01/06/1999,0_10,5.00,D1,21,1,0,70,25,1,0,0,0,,,,,,,,,
10.00,6,1999.00,10/06/1999,0_10,5.00,D1,22,1,0,74,0,0,0,0,700,,,,,,,,,
21.00,6,1999.00,21/06/1999,0_10,5.00,D1,23,0,0,44,0,1,1,1,0,,,,,,,,,
1.00,7,1999.00,01/07/1999,0_10,5.00,D1,24,0,0,0,0,0,0,0,400,,,,,,,,,
10.00,7,1999.00,10/07/1999,0_10,5.00,D1,25,0,0,0,0,0,0,0,0,,,,,,,,,
20.00,7,1999.00,20/07/1999,0_10,5.00,D1,26,0,0,0,0,0,0,0,0,,,,,,,,,
31.00,7,1999.00,31/07/1999,0_10,5.00,D1,27,0,0,0,0,0,0,0,0,,,,,,,,,
10.00,8,1999.00,10/08/1999,0_10,5.00,D1,28,0,0,0,0,0,0,0,0,,,,,,,,,
19.00,8,1999.00,19/08/1999,0_10,5.00,D1,29,0,0,0,0,0,0,0,0,,,,,,,,,
30.00,8,1999.00,30/08/1999,0_10,5.00,D1,30,0,0,0,0,0,0,0,0,,,,,,,,,
9.00,9,1999.00,09/09/1999,0_10,5.00,D1,31,0,0,0,0,0,0,0,0,,,,,,,,,
20.00,9,1999.00,20/09/1999,0_10,5.00,D1,32,0,0,0,0,0,0,0,0,,,,,,,,,
29.00,9,1999.00,29/09/1999,0_10,5.00,D1,33,0,0,0,0,0,0,0,0,,,,,,,,,
11.00,10,1999.00,11/10/1999,0_10,5.00,D1,34,0,0,0,0,0,0,0,0,,,,,,,,,
20.00,10,1999.00,20/10/1999,0_10,5.00,D1,35,0,0,0,0,0,0,0,0,,,,,,,,,
30.00,10,1999.00,30/10/1999,0_10,5.00,D1,36,0,0,0,0,0,0,0,0,,,,,,,,,
