Day,Manth,Year,Date_text,Depth_class,Depth,Station,ID,Temp,Sal,Chl
20.00,6,1998.00,20/06/1998,0_10,5.00,D1,1,7.167,23.710,NA
30.00,6,1998.00,30/06/1998,0_10,5.00,D1,2,10.867,24.410,NA
9.00,7,1998.00,09/07/1998,0_10,5.00,D1,3,15.333,24.210,NA
20.00,7,1998.00,20/07/1998,0_10,5.00,D1,4,13.933,24.495,NA
30.00,7,1998.00,30/07/1998,0_10,5.00,D1,5,14.467,25.855,NA
9.00,8,1998.00,09/08/1998,0_10,5.00,D1,6,13.533,26.065,NA
20.00,8,1998.00,20/08/1998,0_10,5.00,D1,7,11.967,25.535,NA
30.00,8,1998.00,30/08/1998,0_10,5.00,D1,8,11.700,26.295,NA
10.00,9,1998.00,10/09/1998,0_10,5.00,D1,9,11.000,24.100,NA
21.00,9,1998.00,21/09/1998,0_10,5.00,D1,10,9.267,24.200,NA
30.00,9,1998.00,30/09/1998,0_10,5.00,D1,11,7.900,24.850,NA
9.00,10,1998.00,09/10/1998,0_10,5.00,D1,12,6.500,25.450,NA
20.00,10,1998.00,20/10/1998,0_10,5.00,D1,13,4.600,24.600,NA
1.00,11,1998.00,01/11/1998,0_10,5.00,D1,14,3.800,24.700,NA
11.00,11,1998.00,11/11/1998,0_10,5.00,D1,15,1.800,23.800,NA
26.00,1,1999.00,26/01/1999,0_10,5.00,D1,16,-1.200,23.300,NA
10.00,2,1999.00,10/02/1999,0_10,5.00,D1,17,-0.800,24.000,NA
17.00,3,1999.00,17/03/1999,0_10,5.00,D1,18,-0.867,16.050,NA
7.00,4,1999.00,07/04/1999,0_10,5.00,D1,19,-0.433,19.700,NA
22.00,5,1999.00,22/05/1999,0_10,5.00,D1,20,0.767,23.850,NA
1.00,6,1999.00,01/06/1999,0_10,5.00,D1,21,2.767,21.790,NA
10.00,6,1999.00,10/06/1999,0_10,5.00,D1,22,3.500,22.700,NA
21.00,6,1999.00,21/06/1999,0_10,5.00,D1,23,6.633,23.790,NA
1.00,7,1999.00,01/07/1999,0_10,5.00,D1,24,11.500,22.450,NA
10.00,7,1999.00,10/07/1999,0_10,5.00,D1,25,14.300,23.350,NA
20.00,7,1999.00,20/07/1999,0_10,5.00,D1,26,16.467,23.650,NA
31.00,7,1999.00,31/07/1999,0_10,5.00,D1,27,14.567,24.214,NA
10.00,8,1999.00,10/08/1999,0_10,5.00,D1,28,12.533,25.612,NA
19.00,8,1999.00,19/08/1999,0_10,5.00,D1,29,11.800,24.972,NA
30.00,8,1999.00,30/08/1999,0_10,5.00,D1,30,10.433,25.454,NA
9.00,9,1999.00,09/09/1999,0_10,5.00,D1,31,8.567,26.952,NA
20.00,9,1999.00,20/09/1999,0_10,5.00,D1,32,7.833,26.380,NA
29.00,9,1999.00,29/09/1999,0_10,5.00,D1,33,7.067,26.398,NA
11.00,10,1999.00,11/10/1999,0_10,5.00,D1,34,6.600,26.567,NA
20.00,10,1999.00,20/10/1999,0_10,5.00,D1,35,5.433,26.584,NA
30.00,10,1999.00,30/10/1999,0_10,5.00,D1,36,4.733,26.403,NA
15.00,11,1999.00,15/11/1999,0_10,5.00,D1,37,2.200,26.684,NA
27.00,11,1999.00,27/11/1999,0_10,5.00,D1,38,1.600,26.936,NA
13,3,2000,13/03/2000,0_10,5.00,D1,39,-0.800,22.049,NA
17,4,2000,17/04/2000,0_10,5.00,D1,40,-0.467,18.666,NA
11,5,2000,11/05/2000,0_10,5.00,D1,41,2.433,23.646,NA
20,5,2000,20/05/2000,0_10,5.00,D1,42,2.767,23.449,NA
30,5,2000,30/05/2000,0_10,5.00,D1,43,6.500,22.152,NA
10,6,2000,10/06/2000,0_10,5.00,D1,44,8.433,23.362,NA
20,6,2000,20/06/2000,0_10,5.00,D1,45,8.767,22.962,NA
28,6,2000,28/06/2000,0_10,5.00,D1,46,12.233,23.072,NA
11,7,2000,11/07/2000,0_10,5.00,D1,47,14.533,23.450,NA
20,7,2000,20/07/2000,0_10,5.00,D1,48,17.500,23.500,NA
1,8,2000,01/08/2000,0_10,5.00,D1,49,17.200,23.350,NA
9,8,2000,09/08/2000,0_10,5.00,D1,50,15.833,23.350,NA
21,8,2000,21/08/2000,0_10,5.00,D1,51,13.033,24.075,NA
30,8,2000,30/08/2000,0_10,5.00,D1,52,13.433,24.367,NA
10,9,2000,10/09/2000,0_10,5.00,D1,53,11.600,26.347,NA
20,9,2000,20/09/2000,0_10,5.00,D1,54,9.500,24.642,NA
1,10,2000,01/10/2000,0_10,5.00,D1,55,6.967,25.432,NA
10,10,2000,10/10/2000,0_10,5.00,D1,56,7.100,25.002,NA
19,10,2000,19/10/2000,0_10,5.00,D1,57,5.500,26.102,NA
30,10,2000,30/10/2000,0_10,5.00,D1,58,4.400,25.846,NA
13,11,2000,13/11/2000,0_10,5.00,D1,59,3.033,25.863,NA
9,     12,2000,09/12/2000,0_10,5.00,D1,60,1.100,22.482,NA
2,4,2001,02/04/2001,0_10,5.00,D1,61,0.517,21.467,NA
22,5,2001,22/05/2001,0_10,5.00,D1,62,1.633,24.200,NA
2,6,2001,02/06/2001,0_10,5.00,D1,63,3.733,23.664,NA
11,6,2001,11/06/2001,0_10,5.00,D1,64,5.833,23.127,NA
21,6,2001,21/06/2001,0_10,5.00,D1,65,9.933,21.931,NA
30,6,2001,30/06/2001,0_10,5.00,D1,66,10.133,22.310,NA
10,7,2001,10/07/2001,0_10,5.00,D1,67,11.333,23.814,NA
23,7,2001,23/07/2001,0_10,5.00,D1,68,14.600,23.910,NA
30,7,2001,30/07/2001,0_10,5.00,D1,69,11.400,24.400,NA
