Station,Acanthocyclops sp1 borut,Acanthocyclops borutzkyi,Acanthocyclops capillatus,Acanthocyclops cf vernalis,Archaeodiacyclops okhensis,Cryptocyclops bicolor,Thermocyclops crassus,Thermocyclops mongolicus,Paracyclops affinis,Paracyclops fimbriatus,Macrocyclops albidus,Megacyclops magnus,Megacyclops viridis,Metacyclops minutus,Mesocyclops leuckarti,Mesocyclops yesoensis,Microcyclops rubellus,Diacyclops bicuspidatus,Diacyclops languidoides,Diacyclops languidus,Diacyclops nanus,Eucyclops arcanus,Eucyclops denticulatus,Eucyclops pacificus,Eucyclops sp1,Eucyclops roseus,Eucyclops speratus,Ectocyclops polyspinosus
24-S1,0,0,0,0,0,0,0,147,11,3,2,0,0,0,48,0,0,0,0,0,0,0,0,0,0,2,16,1
24-S2,0,0,0,0,0,0,0,10,0,0,1,0,2,0,13,0,0,0,0,0,8,0,4,0,0,0,4,4
24-S3,0,0,0,0,0,0,0,1,0,28,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,7,1,1
24-S4,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,66,0,0,0,0,1,0,0
24-S5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0
24-S6,0,6,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1
24-S7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
24-S8,0,0,0,0,0,0,2,1,2,0,0,0,0,0,21,0,0,0,0,0,0,0,12,0,0,0,6,0
24-S9,0,0,0,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,27,33,2
24-S11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
24-S12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1,0,0,0,162,0,0,0,0,0,0
24-S13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24-S14,0,0,0,0,0,0,0,0,0,0,0,0,6,0,90,0,0,3,0,0,0,255,0,0,0,0,0,0
24-S15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
24-S16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,1,0
24-S18,8,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,17,0,0,0,0,3,0
24-S19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-S20,2,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24-S21,26,0,0,0,0,6,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,7,0,0,0,0,1,0
24-S22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24-S23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,1,0,0,0,18,0,3,0,1,0,3,0
24-S26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24-S28,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,9,24,0,0,0,0,0,0
24-S29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-S31,32,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
24-S32,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24-S33,42,0,41,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,6
24-S34,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,3,2,0,0,0,1,0
22-S9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22-S12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
22-S13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22-S14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,3,0,0,0,0,1,0,0
22-S15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22-S16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
22-S18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-S21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0
22-S22,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
22-S23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-S24,0,0,0,0,0,22,0,0,2,0,20,0,0,0,136,0,2,0,0,0,0,0,82,0,0,0,16,0
22-S27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
22-S28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-S30,0,0,0,2,0,0,0,0,0,0,0,0,39,0,0,0,50,1,0,0,0,2,0,0,0,0,1,0
22-S32,0,0,0,2,0,0,0,0,0,0,0,0,51,0,1,0,6,73,0,0,0,0,0,0,0,0,0,0
22-S33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
22-S37,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,2
22-S40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,1
22-S41,0,0,0,0,0,0,0,0,0,0,0,26,0,6,0,0,0,87,0,0,0,0,0,0,0,0,0,0
22-S42,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,44,0
22-S47,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-S49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-S52-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0
22-S55,14,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1
22-S56,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,1
22-S57,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,2,0,0
22-S58,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
