"","sample.id","latitude","longitude","first.yr","last.yr","n.yr.obs","si.avg","si.sd","trend.period","si","slope","intercept","tau","pval","total.change","total.change.pcnt","trend.cat"
"1","S_1000",55.1340716,160.0559937,2004,2023,20,0.6149,0.0285,"2003to2023","kndvi.max",-0.00108,0.6755,-0.216,0.2079,-0.023,-3.4,"no_trend"
"2","S_1001",55.1128265,159.8795319,2004,2023,20,0.5712,0.0435,"2003to2023","kndvi.max",5e-05,0.2388,0.018,0.9442,0.001,0.4,"no_trend"
"3","S_1002",55.1460555,159.9767589,2004,2023,20,0.5819,0.0268,"2003to2023","kndvi.max",-0.00025,0.6963,-0.018,0.9442,-0.005,-0.7,"no_trend"
"4","S_1003",55.092632,160.0149435,2004,2023,20,0.6031,0.029,"2003to2023","kndvi.max",0.00234,0.6508,0.275,0.1075,0.049,7.5,"no_trend"
"5","S_1004",55.0977322,160.0493937,2004,2023,19,0.619,0.0421,"2003to2023","kndvi.max",-0.00032,0.4325,-0.072,0.7049,-0.007,-1.6,"no_trend"
"6","S_1005",55.1116249,159.8964366,2004,2023,19,0.5833,0.0325,"2003to2023","kndvi.max",-0.00116,0.4853,-0.229,0.1978,-0.024,-4.9,"no_trend"
"7","S_1006",55.139736,160.0556726,2004,2023,20,0.6049,0.0187,"2003to2023","kndvi.max",-0.00125,0.7374,-0.263,0.1237,-0.026,-3.5,"no_trend"
"8","S_1008",55.147897,159.9824527,2004,2023,20,0.6153,0.0271,"2003to2023","kndvi.max",-0.00114,0.6419,-0.099,0.5756,-0.024,-3.7,"no_trend"
"9","S_101",55.1298506,159.9462497,2004,2023,20,0.5692,0.0308,"2003to2023","kndvi.max",0.00091,0.6482,0.088,0.6243,0.019,2.9,"no_trend"
"10","S_1012",55.0703052,159.9415553,2004,2023,19,0.6371,0.0355,"2003to2023","kndvi.max",-0.00442,0.6606,-0.373,0.0339,-0.093,-14.1,"browning"
"11","S_1013",55.0982964,160.0146169,2004,2023,20,0.6089,0.0228,"2003to2023","kndvi.max",-0.00153,0.7183,-0.24,0.1617,-0.032,-4.5,"no_trend"
"12","S_1015",55.0834712,159.9813428,2004,2023,20,0.6482,0.0376,"2003to2023","kndvi.max",-0.00432,0.8081,-0.404,0.0174,-0.091,-11.3,"browning"
"13","S_1019",55.07841,159.939396,2004,2023,19,0.6163,0.0346,"2003to2023","kndvi.max",-0.00046,0.69,-0.19,0.2889,-0.01,-1.4,"no_trend"
"14","S_1020",55.1401735,159.9361397,2004,2023,19,0.5852,0.0338,"2003to2023","kndvi.max",0.00117,0.7803,0.19,0.2889,0.025,3.2,"no_trend"
"15","S_1021",55.0943317,159.9374188,2004,2023,20,0.5792,0.0314,"2003to2023","kndvi.max",-0.0013,0.4572,-0.275,0.1075,-0.027,-5.9,"no_trend"
"16","S_1022",55.084259,160.0485709,2004,2023,20,0.6651,0.0266,"2003to2023","kndvi.max",-0.00222,0.829,-0.392,0.0209,-0.047,-5.7,"browning"
"17","S_1023",55.132457,159.9227837,2004,2023,20,0.5801,0.0377,"2003to2023","kndvi.max",-0.00096,0.6316,-0.181,0.2939,-0.02,-3.2,"no_trend"
"18","S_1024",55.1108221,160.1522638,2004,2023,19,0.6543,0.0364,"2003to2023","kndvi.max",-0.00068,0.5851,-0.163,0.3633,-0.014,-2.4,"no_trend"
"19","S_1026",55.1384005,160.0542255,2004,2023,20,0.6241,0.0191,"2003to2023","kndvi.max",-0.00064,0.781,-0.181,0.2939,-0.013,-1.7,"no_trend"
"20","S_1027",55.1048396,160.0058482,2004,2023,19,0.6104,0.0279,"2003to2023","kndvi.max",-0.00154,0.8793,-0.294,0.0956,-0.032,-3.6,"browning"
"21","S_1031",55.0883398,159.9452692,2004,2023,20,0.5931,0.0232,"2003to2023","kndvi.max",-0.00083,0.7702,-0.181,0.2939,-0.017,-2.2,"no_trend"
"22","S_1032",55.0911584,159.9975135,2004,2023,20,0.6133,0.0266,"2003to2023","kndvi.max",0.00147,0.7658,0.193,0.2629,0.031,4,"no_trend"
"23","S_1033",55.0875974,159.9711032,2004,2023,20,0.6324,0.0207,"2003to2023","kndvi.max",-0.00056,0.5534,-0.146,0.4011,-0.012,-2.2,"no_trend"
"24","S_1035",55.0898743,160.1145263,2004,2023,19,0.6657,0.0319,"2003to2023","kndvi.max",-0.00213,0.7999,-0.399,0.023,-0.045,-5.6,"browning"
"25","S_1036",55.1138664,159.9562193,2004,2023,20,0.6789,0.0247,"2003to2023","kndvi.max",-0.00097,0.7974,-0.31,0.0689,-0.02,-2.5,"browning"
"26","S_1037",55.1319823,159.9834735,2004,2023,20,0.6378,0.029,"2003to2023","kndvi.max",-0.00203,0.6357,-0.427,0.0118,-0.043,-6.8,"browning"
"27","S_1039",55.0931294,159.9872205,2004,2023,20,0.6116,0.028,"2003to2023","kndvi.max",-0.00077,0.5988,-0.099,0.5756,-0.016,-2.7,"no_trend"
"28","S_1041",55.0810078,159.9168994,2004,2023,19,0.5937,0.0411,"2003to2023","kndvi.max",-0.00393,0.6615,-0.425,0.0153,-0.083,-12.5,"browning"
"29","S_1043",55.0892394,160.0336596,2004,2023,20,0.6074,0.0316,"2003to2023","kndvi.max",-0.00069,0.5987,-0.076,0.6746,-0.014,-2.3,"no_trend"
"30","S_1046",55.1149409,159.9567153,2004,2023,20,0.6289,0.0263,"2003to2023","kndvi.max",-0.00036,0.6775,-0.064,0.7264,-0.008,-1.2,"no_trend"
"31","S_1047",55.0832808,159.9714686,2004,2023,18,0.5981,0.0215,"2003to2023","kndvi.max",-0.00048,0.7431,-0.176,0.3434,-0.01,-1.3,"no_trend"
"32","S_1048",55.090346,159.9298046,2004,2023,20,0.6,0.0315,"2003to2023","kndvi.max",-0.00025,0.6248,-0.076,0.6746,-0.005,-0.8,"no_trend"
"33","S_105",55.1115868,160.0986696,2004,2023,20,0.6475,0.0363,"2003to2023","kndvi.max",-0.00148,0.7833,-0.135,0.4415,-0.031,-4,"no_trend"
"34","S_1050",55.0987747,159.9892403,2004,2023,19,0.6472,0.0195,"2003to2023","kndvi.max",-4e-05,0.5344,-0.007,1,-0.001,-0.2,"no_trend"
"35","S_1051",55.1042244,159.8760515,2004,2023,20,0.5762,0.0261,"2003to2023","kndvi.max",-0.00248,0.6863,-0.404,0.0174,-0.052,-7.6,"browning"
"36","S_1052",55.0845115,159.9860682,2004,2023,20,0.6298,0.0265,"2003to2023","kndvi.max",-0.00051,0.6971,-0.123,0.4841,-0.011,-1.6,"no_trend"
"37","S_1054",55.1316412,159.9237059,2004,2023,20,0.5938,0.0501,"2003to2023","kndvi.max",-6e-04,0.6475,-0.053,0.7796,-0.013,-2,"no_trend"
"38","S_1055",55.0840258,160.0443349,2004,2023,20,0.6604,0.0516,"2003to2023","kndvi.max",-0.00061,0.7409,-0.064,0.7264,-0.013,-1.8,"no_trend"
"39","S_1058",55.093017,160.0332869,2004,2023,19,0.613,0.0242,"2003to2023","kndvi.max",-0.00061,0.8741,-0.085,0.6494,-0.013,-1.5,"no_trend"
"40","S_1059",55.1216105,159.9310012,2004,2023,19,0.5783,0.0309,"2003to2023","kndvi.max",-0.00012,0.6424,-0.059,0.7619,-0.003,-0.5,"no_trend"
"41","S_1061",55.0997685,159.9996086,2004,2023,20,0.611,0.0259,"2003to2023","kndvi.max",-2e-05,0.8322,-0.006,1,0,0,"no_trend"
"42","S_1064",55.1009158,159.9911739,2004,2023,20,0.6153,0.033,"2003to2023","kndvi.max",0.00076,0.4955,0.123,0.4841,0.016,3.2,"no_trend"
"43","S_1066",55.0979837,160.0197806,2004,2023,20,0.6019,0.0253,"2003to2023","kndvi.max",0.00065,0.6178,0.099,0.5756,0.014,2.3,"no_trend"
"44","S_1068",55.088604,159.9800584,2004,2023,20,0.6118,0.03,"2003to2023","kndvi.max",-0.00038,0.543,-0.076,0.6746,-0.008,-1.5,"no_trend"
"45","S_1069",55.0986716,160.0654038,2004,2023,19,0.651,0.0304,"2003to2023","kndvi.max",-0.0033,0.8922,-0.438,0.0124,-0.069,-7.7,"browning"
"46","S_107",55.1339485,159.9392881,2004,2023,20,0.5709,0.0236,"2003to2023","kndvi.max",-0.00126,0.7526,-0.181,0.2939,-0.026,-3.5,"no_trend"
"47","S_1073",55.12467,159.8821445,2004,2023,20,0.5573,0.0247,"2003to2023","kndvi.max",-0.00083,0.5007,-0.228,0.1837,-0.017,-3.4,"no_trend"
"48","S_1075",55.1355185,159.9454426,2004,2023,20,0.5842,0.0205,"2003to2023","kndvi.max",0.00193,0.5927,0.38,0.0252,0.041,6.9,"greening"
"49","S_1076",55.1091135,159.9434082,2004,2023,20,0.5794,0.0331,"2003to2023","kndvi.max",-0.00099,0.6113,-0.146,0.4011,-0.021,-3.4,"no_trend"
"50","S_1077",55.1017321,159.9902537,2004,2023,20,0.6261,0.0229,"2003to2023","kndvi.max",0.00141,0.5871,0.193,0.2629,0.03,5.1,"no_trend"
"51","S_1079",55.1364345,159.9995835,2004,2023,20,0.5962,0.023,"2003to2023","kndvi.max",0,0.6094,-0.006,1,0,0,"no_trend"
"52","S_108",55.0735653,159.9383428,2004,2023,20,0.6103,0.0287,"2003to2023","kndvi.max",-0.00111,0.5807,-0.123,0.4841,-0.023,-4,"no_trend"
"53","S_1080",55.1320978,159.9345391,2004,2023,20,0.56,0.0375,"2003to2023","kndvi.max",-0.00036,0.711,-0.053,0.7796,-0.008,-1.1,"no_trend"
"54","S_1081",55.1058005,160.0199797,2004,2023,20,0.5987,0.0314,"2003to2023","kndvi.max",2e-04,0.6969,0.041,0.8337,0.004,0.6,"no_trend"
"55","S_1083",55.0810906,159.9756451,2004,2023,20,0.6226,0.0289,"2003to2023","kndvi.max",-0.00251,0.8735,-0.462,0.0064,-0.053,-6.1,"browning"
