"","sample.id","latitude","longitude","first.yr","last.yr","n.yr.obs","si.avg","si.sd","trend.period","si","slope","intercept","tau","pval","total.change","total.change.pcnt","trend.cat"
"1","S_1",55.1300984,159.9137893,2004,2023,20,0.8207,0.0299,"2003to2023","ndvi.max",-9e-04,0.7229,-0.088,0.6243,-0.019,-2.6,"no_trend"
"2","S_10",55.1241009,159.922591,2004,2023,20,0.8335,0.0254,"2003to2023","ndvi.max",-0.00046,0.8835,-0.088,0.6243,-0.01,-1.1,"no_trend"
"3","S_100",55.1300417,159.9213164,2004,2023,20,0.8076,0.0284,"2003to2023","ndvi.max",-0.00221,0.7621,-0.287,0.0931,-0.046,-6,"browning"
"4","S_1000",55.1340716,160.0559937,2004,2023,20,0.8428,0.0239,"2003to2023","ndvi.max",-0.00122,0.8737,-0.251,0.1417,-0.026,-3,"no_trend"
"5","S_1001",55.1128265,159.8795319,2004,2023,20,0.8153,0.0446,"2003to2023","ndvi.max",-0.00234,0.8719,-0.146,0.4011,-0.049,-5.6,"no_trend"
"6","S_1002",55.1460555,159.9767589,2004,2023,20,0.815,0.0232,"2003to2023","ndvi.max",-0.00057,0.9959,-0.099,0.5756,-0.012,-1.2,"no_trend"
"7","S_1003",55.092632,160.0149435,2004,2023,20,0.8359,0.0295,"2003to2023","ndvi.max",0.00196,0.8738,0.31,0.0689,0.041,4.7,"greening"
"8","S_1004",55.0977322,160.0493937,2004,2023,20,0.8507,0.0447,"2003to2023","ndvi.max",-0.00163,0.6766,-0.146,0.4011,-0.034,-5,"no_trend"
"9","S_1005",55.1116249,159.8964366,2004,2023,20,0.8155,0.0313,"2003to2023","ndvi.max",-0.00124,0.6973,-0.228,0.1837,-0.026,-3.7,"no_trend"
"10","S_1006",55.139736,160.0556726,2004,2023,20,0.8395,0.0223,"2003to2023","ndvi.max",-0.00111,0.95,-0.17,0.3273,-0.023,-2.4,"no_trend"
"11","S_1008",55.147897,159.9824527,2004,2023,20,0.8458,0.0222,"2003to2023","ndvi.max",-0.00092,0.755,-0.24,0.1617,-0.019,-2.5,"no_trend"
"12","S_1009",55.1248667,159.9282542,2004,2023,20,0.8195,0.0309,"2003to2023","ndvi.max",-0.00214,0.8956,-0.287,0.0931,-0.045,-5,"browning"
"13","S_101",55.1298506,159.9462497,2004,2023,20,0.8002,0.0297,"2003to2023","ndvi.max",0.00095,0.9061,0.088,0.6243,0.02,2.2,"no_trend"
"14","S_1011",55.1170889,159.9228997,2004,2023,20,0.8061,0.0241,"2003to2023","ndvi.max",-0.00066,1.1004,-0.146,0.4011,-0.014,-1.3,"no_trend"
"15","S_1012",55.0703052,159.9415553,2004,2023,20,0.8713,0.0379,"2003to2023","ndvi.max",-0.00451,0.8929,-0.404,0.0174,-0.095,-10.6,"browning"
"16","S_1013",55.0982964,160.0146169,2004,2023,20,0.8419,0.0234,"2003to2023","ndvi.max",-0.00158,0.9637,-0.228,0.1837,-0.033,-3.4,"no_trend"
"17","S_1014",55.1070078,159.9010357,2004,2023,20,0.8235,0.0291,"2003to2023","ndvi.max",-0.00331,0.732,-0.591,5e-04,-0.07,-9.6,"browning"
"18","S_1015",55.0834712,159.9813428,2004,2023,20,0.8803,0.0396,"2003to2023","ndvi.max",-0.00382,1.0163,-0.392,0.0209,-0.08,-7.9,"browning"
"19","S_1016",55.1240899,159.8877771,2004,2023,20,0.8317,0.0294,"2003to2023","ndvi.max",-0.00227,1.0443,-0.45,0.0078,-0.048,-4.6,"browning"
"20","S_1017",55.127055,159.8878429,2004,2023,20,0.833,0.0344,"2003to2023","ndvi.max",-0.00179,0.9423,-0.333,0.0501,-0.038,-4,"browning"
"21","S_1018",55.1243633,159.923538,2004,2023,20,0.8159,0.0308,"2003to2023","ndvi.max",-0.00214,0.9673,-0.298,0.0802,-0.045,-4.7,"browning"
"22","S_1019",55.07841,159.939396,2004,2023,20,0.8472,0.0294,"2003to2023","ndvi.max",-0.00042,0.8214,-0.088,0.6243,-0.009,-1.1,"no_trend"
"23","S_102",55.0958102,159.9553181,2004,2023,20,0.8274,0.0348,"2003to2023","ndvi.max",-0.00122,0.7874,-0.193,0.2629,-0.026,-3.3,"no_trend"
"24","S_1020",55.1401735,159.9361397,2004,2023,20,0.8208,0.0224,"2003to2023","ndvi.max",0.00091,1.0852,0.158,0.363,0.019,1.8,"no_trend"
"25","S_1021",55.0943317,159.9374188,2004,2023,20,0.813,0.0289,"2003to2023","ndvi.max",-0.00136,0.6511,-0.439,0.0096,-0.029,-4.5,"browning"
"26","S_1022",55.084259,160.0485709,2004,2023,20,0.9045,0.0304,"2003to2023","ndvi.max",-0.0022,1.0942,-0.322,0.0589,-0.046,-4.2,"browning"
"27","S_1023",55.132457,159.9227837,2004,2023,20,0.8133,0.0375,"2003to2023","ndvi.max",-0.00096,0.8692,-0.216,0.2079,-0.02,-2.3,"no_trend"
"28","S_1024",55.1108221,160.1522638,2004,2023,19,0.8839,0.03,"2003to2023","ndvi.max",-0.00129,0.9483,-0.163,0.3633,-0.027,-2.8,"no_trend"
"29","S_1025",55.1166489,159.9097193,2004,2023,20,0.8271,0.0326,"2003to2023","ndvi.max",-0.00129,1.0172,-0.135,0.4415,-0.027,-2.7,"no_trend"
"30","S_1026",55.1384005,160.0542255,2004,2023,20,0.8524,0.0178,"2003to2023","ndvi.max",-0.00028,1.1288,-0.135,0.4415,-0.006,-0.5,"no_trend"
