"","sample.id","latitude","longitude","first.yr","last.yr","n.yr.obs","si.avg","si.sd","trend.period","si","slope","intercept","tau","pval","total.change","total.change.pcnt","trend.cat"
"1","S_1",55.1300984,159.9137893,2006,2023,15,0.1668,0.0082,"2005to2023","nirv.max",-0.00058,0.1554,-0.319,0.1253,-0.011,-7.1,"no_trend"
"2","S_10",55.1241009,159.922591,2005,2023,19,0.183,0.014,"2005to2023","nirv.max",0.00053,0.1766,0.098,0.5959,0.01,5.7,"no_trend"
"3","S_1000",55.1340716,160.0559937,2005,2023,18,0.202,0.0116,"2005to2023","nirv.max",-0.00073,0.2776,-0.206,0.2661,-0.014,-5,"no_trend"
"4","S_1004",55.0977322,160.0493937,2005,2023,19,0.1823,0.0128,"2005to2023","nirv.max",-0.00092,0.2172,-0.242,0.1727,-0.017,-7.8,"no_trend"
"5","S_1006",55.139736,160.0556726,2005,2023,19,0.1778,0.0104,"2005to2023","nirv.max",1e-05,0.2314,0.02,0.9396,0,0,"no_trend"
"6","S_1007",55.0890554,159.922254,2005,2023,17,0.1767,0.0138,"2005to2023","nirv.max",-0.00095,0.225,-0.267,0.1628,-0.018,-8,"no_trend"
"7","S_1008",55.147897,159.9824527,2005,2023,18,0.1803,0.0131,"2005to2023","nirv.max",-0.00079,0.2469,-0.25,0.174,-0.015,-6.1,"no_trend"
"8","S_1010",55.1081445,160.1503057,2005,2023,18,0.2224,0.0118,"2005to2023","nirv.max",0.00045,0.1762,0.118,0.5366,0.009,5.1,"no_trend"
"9","S_1014",55.1070078,159.9010357,2005,2023,19,0.1982,0.0132,"2005to2023","nirv.max",-0.00024,0.2181,-0.072,0.7049,-0.005,-2.3,"no_trend"
"10","S_1015",55.0834712,159.9813428,2005,2023,19,0.2261,0.022,"2005to2023","nirv.max",-0.00126,0.248,-0.255,0.1501,-0.024,-9.7,"no_trend"
"11","S_1016",55.1240899,159.8877771,2005,2023,17,0.1749,0.0094,"2005to2023","nirv.max",-0.00036,0.1771,-0.183,0.3444,-0.007,-4,"no_trend"
"12","S_1017",55.127055,159.8878429,2005,2023,16,0.1756,0.009,"2005to2023","nirv.max",-0.00034,0.2021,-0.048,0.8431,-0.006,-3,"no_trend"
"13","S_1018",55.1243633,159.923538,2006,2023,17,0.1722,0.011,"2005to2023","nirv.max",-2e-04,0.1868,-0.05,0.8219,-0.004,-2.1,"no_trend"
"14","S_1020",55.1401735,159.9361397,2005,2023,17,0.1717,0.0108,"2005to2023","nirv.max",0.00093,0.1733,0.3,0.1151,0.018,10.4,"no_trend"
"15","S_1021",55.0943317,159.9374188,2005,2023,14,0.1767,0.0108,"2005to2023","nirv.max",0.0011,0.2195,0.308,0.1606,0.021,9.6,"no_trend"
"16","S_1022",55.084259,160.0485709,2005,2023,18,0.2606,0.0209,"2005to2023","nirv.max",-0.00139,0.3257,-0.235,0.2016,-0.026,-8,"no_trend"
"17","S_1023",55.132457,159.9227837,2005,2023,19,0.1726,0.0078,"2005to2023","nirv.max",-0.00085,0.1712,-0.386,0.028,-0.016,-9.3,"browning"
"18","S_1025",55.1166489,159.9097193,2005,2023,19,0.1973,0.0157,"2005to2023","nirv.max",0.00046,0.226,0.124,0.4954,0.009,4,"no_trend"
"19","S_1026",55.1384005,160.0542255,2005,2023,19,0.2015,0.016,"2005to2023","nirv.max",-0.00027,0.2667,-0.124,0.4954,-0.005,-1.9,"no_trend"
"20","S_1030",55.078746,160.0625245,2006,2023,17,0.3435,0.039,"2005to2023","nirv.max",-0.00378,0.4047,-0.367,0.0529,-0.072,-17.8,"browning"
"21","S_1031",55.0883398,159.9452692,2005,2023,15,0.1751,0.0155,"2005to2023","nirv.max",-0.00043,0.1722,-0.319,0.1253,-0.008,-4.6,"no_trend"
"22","S_1032",55.0911584,159.9975135,2006,2023,16,0.1759,0.0101,"2005to2023","nirv.max",0.0012,0.1492,0.486,0.0133,0.023,15.4,"greening"
"23","S_1033",55.0875974,159.9711032,2005,2023,18,0.211,0.0142,"2005to2023","nirv.max",-0.00093,0.2321,-0.132,0.4838,-0.018,-7.8,"no_trend"
"24","S_1034",55.1334383,159.9355116,2005,2023,15,0.1798,0.0116,"2005to2023","nirv.max",-0.00016,0.202,-0.055,0.8267,-0.003,-1.5,"no_trend"
"25","S_1036",55.1138664,159.9562193,2005,2023,19,0.3685,0.0271,"2005to2023","nirv.max",-0.00263,0.5086,-0.333,0.0582,-0.05,-9.8,"browning"
"26","S_1037",55.1319823,159.9834735,2005,2023,19,0.2343,0.0146,"2005to2023","nirv.max",6e-05,0.346,0.007,1,0.001,0.3,"no_trend"
"27","S_1038",55.1207342,159.9041672,2005,2023,16,0.1713,0.0101,"2005to2023","nirv.max",-0.00034,0.1449,-0.124,0.5526,-0.006,-4.1,"no_trend"
"28","S_1039",55.0931294,159.9872205,2005,2023,18,0.1805,0.0108,"2005to2023","nirv.max",0.00012,0.256,0.059,0.7731,0.002,0.8,"no_trend"
"29","S_104",55.0814723,159.926779,2005,2023,18,0.1888,0.0194,"2005to2023","nirv.max",-0.00139,0.1987,-0.265,0.1494,-0.026,-13.1,"no_trend"
"30","S_1042",55.0935049,160.1301408,2005,2023,17,0.2247,0.0231,"2005to2023","nirv.max",0.00182,0.2182,0.4,0.0343,0.035,16,"greening"
"31","S_1043",55.0892394,160.0336596,2005,2023,16,0.1701,0.0123,"2005to2023","nirv.max",-0.00011,0.2023,-0.048,0.8431,-0.002,-1,"no_trend"
"32","S_1046",55.1149409,159.9567153,2005,2023,19,0.2222,0.0174,"2005to2023","nirv.max",-0.00211,0.3639,-0.582,9e-04,-0.04,-11,"browning"
"33","S_1048",55.090346,159.9298046,2005,2023,14,0.1755,0.0083,"2005to2023","nirv.max",0.00058,0.1882,0.154,0.5022,0.011,5.8,"no_trend"
"34","S_1049",55.091978,160.0906104,2005,2023,16,0.3304,0.0247,"2005to2023","nirv.max",0.00267,0.2312,0.41,0.0377,0.051,22.1,"greening"
"35","S_105",55.1115868,160.0986696,2005,2023,18,0.2121,0.016,"2005to2023","nirv.max",-9e-05,0.1987,-0.044,0.8368,-0.002,-1,"no_trend"
"36","S_1050",55.0987747,159.9892403,2005,2023,17,0.2411,0.0175,"2005to2023","nirv.max",-0.00133,0.2744,-0.3,0.1151,-0.025,-9.1,"no_trend"
"37","S_1052",55.0845115,159.9860682,2006,2023,15,0.1851,0.0183,"2005to2023","nirv.max",3e-04,0.2081,0.099,0.6614,0.006,2.9,"no_trend"
"38","S_1053",55.1382412,159.9064454,2005,2023,18,0.1835,0.0131,"2005to2023","nirv.max",5e-05,0.187,0.015,0.9671,0.001,0.5,"no_trend"
"39","S_1054",55.1316412,159.9237059,2005,2023,19,0.1944,0.0121,"2005to2023","nirv.max",-0.00057,0.283,-0.216,0.2255,-0.011,-3.9,"no_trend"
"40","S_1055",55.0840258,160.0443349,2005,2023,19,0.2159,0.0171,"2005to2023","nirv.max",-0.00049,0.2795,-0.072,0.7049,-0.009,-3.2,"no_trend"
"41","S_1056",55.081093,160.0404988,2005,2023,19,0.2865,0.0293,"2005to2023","nirv.max",-0.00079,0.3152,-0.033,0.8796,-0.015,-4.8,"no_trend"
