 ,Area,Mean,Min,Max,X,Y
1,0,172,172,172,1125.500,605.500
2,0,168,168,168,1094.000,578.000
3,0,168,168,168,819.000,142.000
4,0,167,167,167,744.000,90.000
6,0,167,167,167,508.000,67.000
8,0,166,166,166,335.000,98.000
9,0,166,166,166,262.000,123.000
10,0,167,167,167,188.500,164.000
11,0,167,167,167,57.500,387.500
12,0,167,167,167,161.500,618.500
13,0,168,168,168,437.500,689.500
14,0,166,166,166,587.500,659.500
15,0,167,167,167,642.167,655.167
16,0,167,167,167,732.833,649.167
17,0,166,166,166,886.167,633.167
18,0,167,167,167,1034.167,613.833
19,0,168,168,168,232.500,321.500
20,0,169,169,169,391.500,371.500
21,0,167,167,167,525.500,269.500
22,0,167,167,167,466.500,199.500
23,0,169,169,169,725.500,162.500
