decimalLatitude	decimalLongitude
51.9	4.5
53.0	4.9
51.5	3.8
51.5	4.1
53.45	5.75
51.5	4.1
53.0	4.9
53.3	5.15
51.75	4.75
51.8	4.4
53.0	4.9
51.95	4.0
53.3	5.15
53.4	6.05
53.3	5.15
53.15	5.4
53.45	5.65
52.55	5.35
51.7	4.1
52.75	4.65
51.5	4.1
51.5	4.1
51.5	4.1
51.5	4.1
51.95	4.05
59.58789	19.4294
65.78099	22.52367
56.61789	12.78942
56.03014	15.77884
57.48112	11.91697
57.48112	11.91697
56.19823	12.54552
56.87153	16.62846
56.75232	12.62317
64.22873	21.16437
56.75232	12.62317
57.90824	11.76692
56.45047	12.90187
56.75232	12.62317
57.62512	11.90977
57.93289	11.74932
55.90975	14.32267
57.9523	11.75029
41.936565	-8.746999
41.950472	-8.745194
51.9	3.95
51.4	3.7
53.0	4.85
52.8	4.65
53.2	5.4
52.7	4.6
51.4	3.7
51.55	3.5
52.45	4.55
53.2	5.4
52.2	4.35
53.4	5.6
53.4	5.65
53.45	5.6
51.4	3.7
52.2	4.35
53.3	5.05
51.4	3.7
51.95	3.95
52.15	4.5
52.45	4.55
51.4	3.7
52.3	4.45
53.2	5.4
51.4	3.7
52.25	4.4
51.4	3.7
51.4	3.7
51.4	3.7
51.75	4.75
51.4	3.7
52.35	4.85
51.4	3.7
51.95	4.1
51.6	3.65
52.15	4.35
52.05	4.15
52.05	4.2
51.4	3.7
51.4	3.7
51.95	4.1
52.2	4.35
51.4	3.7
52.3	4.45
52.05	4.2
51.4	3.7
51.4	3.7
51.4	3.7
51.4	3.7
51.4	3.7
52.7	5.25
52.75	5.2
52.7	5.1
51.9	4.55
52.75	5.2
52.45	4.55
51.75	4.75
52.75	5.2
51.3	3.8
52.95	4.75
52.9	5.0
52.45	4.55
51.3	3.8
52.65	4.6
52.6	4.6
53.0	4.85
53.0	4.7
51.4	3.7
52.65	4.6
51.6	3.65
51.55	3.45
52.6	4.6
53.0	4.7
51.55	3.5
51.4	3.7
51.4	3.7
52.45	4.55
51.4	3.7
52.2	4.4
52.75	4.6
52.2	4.35
52.35	4.5
