Bay,Sex,Orient,L
Onega_Bay,Male,Right,14.9
Onega_Bay,Male,Right,20.1
Onega_Bay,Male,Right,22.8
Onega_Bay,Male,Right,18.2
Onega_Bay,Male,Right,17.1
Onega_Bay,Male,Right,16.1
Onega_Bay,Male,Right,15.3
Onega_Bay,Male,Right,13.0
Onega_Bay,Male,Right,16.0
Onega_Bay,Male,Right,14.5
Onega_Bay,Male,Right,14.2
Onega_Bay,Male,Right,10.2
Onega_Bay,Male,Right,11.0
Onega_Bay,Male,Right,12.5
Onega_Bay,Male,Right,11.3
Onega_Bay,Male,Right,14.3
Onega_Bay,Male,Right,13.0
Onega_Bay,Male,Right,16.3
Onega_Bay,Male,Right,17.8
Onega_Bay,Male,Right,13.4
Onega_Bay,Male,Right,10.7
Onega_Bay,Male,Right,13.5
Onega_Bay,Male,Right,9.5
Onega_Bay,Male,Right,19.0
Onega_Bay,Male,Right,10.4
Onega_Bay,Male,Right,9.5
Onega_Bay,Male,Right,12.6
Onega_Bay,Male,Right,11.6
Onega_Bay,Male,Right,9.2
Onega_Bay,Male,Right,14.2
Onega_Bay,Male,Right,8.7
Onega_Bay,Male,Right,12.4
Onega_Bay,Male,Right,11.0
Onega_Bay,Male,Right,11.4
Onega_Bay,Male,Right,16.4
Onega_Bay,Male,Right,16.4
Onega_Bay,Male,Right,12.3
Onega_Bay,Male,Right,13.3
Onega_Bay,Male,Right,12.5
Onega_Bay,Male,Right,10.8
Onega_Bay,Male,Right,12.5
Onega_Bay,Male,Right,13.0
Onega_Bay,Male,Right,10.4
Onega_Bay,Male,Right,13.4
Onega_Bay,Male,Right,11.9
Onega_Bay,Male,Right,9.5
Onega_Bay,Male,Right,13.2
Onega_Bay,Male,Right,16.0
Onega_Bay,Male,Right,16.2
Onega_Bay,Male,Right,18.7
Onega_Bay,Male,Right,19.3
Onega_Bay,Male,Right,17.2
Onega_Bay,Male,Right,21.0
Onega_Bay,Male,Right,23.5
Onega_Bay,Male,Right,16.5
Onega_Bay,Male,Right,13.3
Onega_Bay,Male,Right,18.0
Onega_Bay,Male,Right,19.8
Onega_Bay,Male,Right,10.5
Onega_Bay,Male,Right,17.1
Onega_Bay,Male,Right,11.8
Onega_Bay,Male,Right,13.2
Onega_Bay,Male,Right,23.2
Onega_Bay,Male,Right,14.8
Onega_Bay,Male,Right,14.8
Onega_Bay,Male,Right,23.3
Onega_Bay,Male,Right,17.1
Onega_Bay,Male,Right,17.8
Onega_Bay,Male,Right,19.5
Onega_Bay,Male,Right,19.5
Onega_Bay,Male,Right,18.0
