Bay,Age,N_Right,N_Left
Onega_bay,1,0,1
Onega_bay,2,274,76
Onega_bay,3,1076,338
Onega_bay,4,1017,360
Onega_bay,5,623,249
Onega_bay,6,294,128
Onega_bay,7,146,54
Onega_bay,8,57,22
Onega_bay,9,28,4
Onega_bay,10,6,4
Onega_bay,11,7,1
Onega_bay,12,0,1
Onega_bay,13,1,0
Dvina_bay,1,1,0
Dvina_bay,2,97,7
Dvina_bay,3,669,39
Dvina_bay,4,1233,69
Dvina_bay,5,1108,69
Dvina_bay,6,646,34
Dvina_bay,7,379,17
Dvina_bay,8,224,4
Dvina_bay,9,74,7
Dvina_bay,10,45,1
Dvina_bay,11,25,1
Dvina_bay,12,10,0
Dvina_bay,13,5,1
Dvina_bay,14,2,0
Mezen_bay,2,7,0
Mezen_bay,3,111,4
Mezen_bay,4,422,10
Mezen_bay,5,512,18
Mezen_bay,6,441,13
Mezen_bay,7,308,11
Mezen_bay,8,138,6
Mezen_bay,9,94,8
Mezen_bay,10,90,3
Mezen_bay,11,29,2
Mezen_bay,12,24,1
Mezen_bay,13,8,0
Mezen_bay,14,4,0
Mezen_bay,15,3,0
Mezen_bay,16,2,0
Mezen_bay,18,2,0
