Part,Архип,N,X,Y
"1",Кибринский,"1",66.94096,32.80487
"1",Кибринский,"2",66.94367,32.81507
"1",Кибринский,"3",66.94146,32.84036
"1",Кибринский,"4",66.92616,32.85290
"1",Кибринский,"5",66.92324,32.83815
"1",Кибринский,"6",66.92500,32.82105
"1",Кибринский,"7",66.93592,32.80096
"1",Кибринский,"8",66.94096,32.80487
"2",Северный,"9",66.91875,32.61557
"2",Северный,"10",66.91934,32.63407
"2",Северный,"11",66.91007,32.64552
"2",Северный,"12",66.90479,32.64042
"2",Северный,"13",66.90385,32.62828
"2",Северный,"14",66.90701,32.61565
"2",Северный,"15",66.91268,32.60859
"2",Северный,"16",66.91875,32.61557
"3",Северный,"17",67.08063,32.53548
"3",Северный,"18",67.08241,32.56925
"3",Северный,"19",67.06913,32.61103
"3",Северный,"20",67.01035,32.68689
"3",Северный,"21",66.98622,32.70406
"3",Северный,"22",66.95677,32.70981
"3",Северный,"23",66.93382,32.66760
"3",Северный,"24",66.93366,32.65666
"3",Северный,"25",66.95047,32.61159
"3",Северный,"26",67.00425,32.54739
"3",Северный,"27",67.01778,32.51509
"3",Северный,"28",67.03136,32.51884
"3",Северный,"29",67.03983,32.55018
"3",Северный,"30",67.06454,32.55071
"3",Северный,"31",67.08063,32.53548
"4","Олений, Северный","32",67.12784,32.29427
"4","Олений, Северный","33",67.12948,32.30979
"4","Олений, Северный","34",67.12393,32.36328
"4","Олений, Северный","35",67.09887,32.50583
"4","Олений, Северный","36",67.09312,32.51546
"4","Олений, Северный","37",67.07106,32.52719
"4","Олений, Северный","38",67.04401,32.48842
"4","Олений, Северный","39",67.04329,32.46663
"4","Олений, Северный","40",67.06047,32.45504
"4","Олений, Северный","41",67.07482,32.37757
"4","Олений, Северный","42",67.10756,32.28891
"4","Олений, Северный","43",67.10555,32.27443
"4","Олений, Северный","44",67.10550,32.27399
"4","Олений, Северный","45",67.10546,32.27284
"4","Олений, Северный","46",67.10584,32.27221
"4","Олений, Северный","47",67.10619,32.27194
"4","Олений, Северный","48",67.10702,32.26974
"4","Олений, Северный","49",67.10737,32.26964
"4","Олений, Северный","50",67.10771,32.26972
"4","Олений, Северный","51",67.10802,32.26909
"4","Олений, Северный","52",67.10820,32.26830
"4","Олений, Северный","53",67.10874,32.26723
"4","Олений, Северный","54",67.10915,32.26765
"4","Олений, Северный","55",67.10959,32.26764
"4","Олений, Северный","56",67.10998,32.26700
"4","Олений, Северный","57",67.11007,32.26595
"4","Олений, Северный","58",67.11011,32.26487
"4","Олений, Северный","59",67.11065,32.26333
"4","Олений, Северный","60",67.11076,32.26245
"4","Олений, Северный","61",67.11057,32.26127
"4","Олений, Северный","62",67.11021,32.25991
"4","Олений, Северный","63",67.10997,32.25840
"4","Олений, Северный","64",67.11354,32.25874
"4","Олений, Северный","65",67.12784,32.29427
"5",Лувеньгский,"66",67.11164,32.51061
"5",Лувеньгский,"67",67.11426,32.51754
"5",Лувеньгский,"68",67.11449,32.51909
"5",Лувеньгский,"69",67.11221,32.52947
"5",Лувеньгский,"70",67.11203,32.53137
"5",Лувеньгский,"71",67.10865,32.54990
"5",Лувеньгский,"72",67.09750,32.55094
"5",Лувеньгский,"73",67.09457,32.53961
"5",Лувеньгский,"74",67.10027,32.50192
"5",Лувеньгский,"75",67.10544,32.49885
"5",Лувеньгский,"76",67.10990,32.50767
"5",Лувеньгский,"77",67.11164,32.51061
"6",Лувеньгский,"78",67.12167,32.57547
"6",Лувеньгский,"79",67.12180,32.57593
"6",Лувеньгский,"80",67.12175,32.57672
"6",Лувеньгский,"81",67.12198,32.57775
"6",Лувеньгский,"82",67.12219,32.57821
"6",Лувеньгский,"83",67.12244,32.57842
"6",Лувеньгский,"84",67.12267,32.57844
"6",Лувеньгский,"85",67.12272,32.57888
"6",Лувеньгский,"86",67.12301,32.57906
"6",Лувеньгский,"87",67.12302,32.57950
"6",Лувеньгский,"88",67.12283,32.57972
"6",Лувеньгский,"89",67.12262,32.57989
"6",Лувеньгский,"90",67.12260,32.58056
"6",Лувеньгский,"91",67.12262,32.58111
"6",Лувеньгский,"92",67.12270,32.58156
"6",Лувеньгский,"93",67.12243,32.58215
"6",Лувеньгский,"94",67.12228,32.58286
"6",Лувеньгский,"95",67.12203,32.58309
"6",Лувеньгский,"96",67.12204,32.58364
"6",Лувеньгский,"97",67.12277,32.58375
"6",Лувеньгский,"98",67.12282,32.58580
"6",Лувеньгский,"99",67.12243,32.58619
"6",Лувеньгский,"100",67.12212,32.58763
"6",Лувеньгский,"101",67.12270,32.58864
"6",Лувеньгский,"102",67.12242,32.58973
"6",Лувеньгский,"103",67.12225,32.59140
"6",Лувеньгский,"104",67.12184,32.59266
"6",Лувеньгский,"105",67.12126,32.59366
"6",Лувеньгский,"106",67.12191,32.59394
"6",Лувеньгский,"107",67.12207,32.59473
"6",Лувеньгский,"108",67.12208,32.59520
"6",Лувеньгский,"109",67.12191,32.59654
"6",Лувеньгский,"110",67.12202,32.59702
"6",Лувеньгский,"111",67.12205,32.59730
"6",Лувеньгский,"112",67.12196,32.59780
"6",Лувеньгский,"113",67.12196,32.59829
"6",Лувеньгский,"114",67.12222,32.59879
"6",Лувеньгский,"115",67.12225,32.59951
"6",Лувеньгский,"116",67.12234,32.60013
"6",Лувеньгский,"117",67.12225,32.60055
"6",Лувеньгский,"118",67.12227,32.60158
"6",Лувеньгский,"119",67.12223,32.60199
"6",Лувеньгский,"120",67.12228,32.60230
"6",Лувеньгский,"121",67.12230,32.60256
"6",Лувеньгский,"122",67.12236,32.60288
"6",Лувеньгский,"123",67.12234,32.60317
"6",Лувеньгский,"124",67.12214,32.60380
"6",Лувеньгский,"125",67.12223,32.60403
"6",Лувеньгский,"126",67.12228,32.60434
"6",Лувеньгский,"127",67.12226,32.60490
"6",Лувеньгский,"128",67.12214,32.60505
"6",Лувеньгский,"129",67.12220,32.60538
"6",Лувеньгский,"130",67.12220,32.60557
"6",Лувеньгский,"131",67.12211,32.60588
