Part,X,Y
"1",66.94096,32.80487
"1",66.94367,32.81507
"1",66.94146,32.84036
"1",66.92616,32.85290
"1",66.92324,32.83815
"1",66.92500,32.82105
"1",66.93592,32.80096
"1",66.94096,32.80487
"2",66.91875,32.61557
"2",66.91934,32.63407
"2",66.91007,32.64552
"2",66.90479,32.64042
"2",66.90385,32.62828
"2",66.90701,32.61565
"2",66.91268,32.60859
"2",66.91875,32.61557
"3",67.08063,32.53548
"3",67.08241,32.56925
"3",67.06913,32.61103
"3",67.01035,32.68689
"3",66.98622,32.70406
"3",66.95677,32.70981
"3",66.93382,32.66760
"3",66.93366,32.65666
"3",66.95047,32.61159
"3",67.00425,32.54739
"3",67.01778,32.51509
"3",67.03136,32.51884
"3",67.03983,32.55018
"3",67.06454,32.55071
"3",67.08063,32.53548
"4",67.12784,32.29427
"4",67.12948,32.30979
"4",67.12393,32.36328
"4",67.09887,32.50583
"4",67.09312,32.51546
"4",67.07106,32.52719
"4",67.04401,32.48842
"4",67.04329,32.46663
"4",67.06047,32.45504
"4",67.07482,32.37757
"4",67.10756,32.28891
"4",67.10555,32.27443
"4",67.10550,32.27399
"4",67.10546,32.27284
"4",67.10584,32.27221
"4",67.10619,32.27194
"4",67.10702,32.26974
"4",67.10737,32.26964
"4",67.10771,32.26972
"4",67.10802,32.26909
"4",67.10820,32.26830
"4",67.10874,32.26723
"4",67.10915,32.26765
"4",67.10959,32.26764
"4",67.10998,32.26700
"4",67.11007,32.26595
"4",67.11011,32.26487
"4",67.11065,32.26333
"4",67.11076,32.26245
"4",67.11057,32.26127
"4",67.11021,32.25991
"4",67.10997,32.25840
"4",67.11354,32.25874
"4",67.12784,32.29427
"5",67.11164,32.51061
"5",67.11426,32.51754
"5",67.11449,32.51909
"5",67.11221,32.52947
"5",67.11203,32.53137
"5",67.10865,32.54990
"5",67.09750,32.55094
"5",67.09457,32.53961
"5",67.10027,32.50192
"5",67.10544,32.49885
"5",67.10990,32.50767
"5",67.11164,32.51061
"6",67.03642,32.46463
"6",67.03926,32.47280
"6",67.03929,32.48391
"6",67.03685,32.49194
"6",67.03250,32.49249
"6",67.02921,32.48651
"6",67.02895,32.47550
"6",67.03169,32.46552
"6",67.03642,32.46463
"7",67.11164,32.56063
"7",67.12150,32.57523
"7",67.12150,32.57523
"7",67.12158,32.57533
"7",67.12158,32.57533
"7",67.12165,32.57545
"7",67.12165,32.57545
"7",67.12167,32.57547
"7",67.12174,32.57571
