Zone;Station;long;lat
A;23_A_1;"28,1678213";"59,8479846"
A;23_A_2;"28,2373118";"59,7462306"
A;23_A_3;"28,2906706";"59,7133467"
A;23_A_4;"28,299357";"59,7691873"
A;23_A_5;"28,3154887";"59,7369239"
A;23_A_6;"28,394286";"59,6792219"
A;23_A_7;"28,3458908";"59,7580192"
A;23_A_8;"28,3738111";"59,7468511"
A;23_A_9;"28,3589203";"59,8163416"
A;23_A_10;"28,4004905";"59,8907958"
A;23_A_11;"28,4147609";"59,8833503"
A;23_A_12;"28,4197245";"59,9038252"
A;23_A_13;"28,4327539";"59,8907958"
A;23_A_14;"28,4445425";"59,9081684"
A;23_A_15;"28,4600538";"59,8976207"
A;23_A_16;"28,4730833";"59,9075479"
A;23_A_17;"28,4885945";"59,8932776"
A;23_A_18;"28,4975911";"59,9143729"
A;23_A_19;"28,5131024";"59,9056866"
A;23_A_20;"28,5329568";"59,8914162"
A;23_A_21;"28,5205478";"59,9249206"
A;23_A_22;"28,5354386";"59,9118911"
A;23_A_23;"28,5490885";"59,8988616"
A;23_A_24;"28,5633589";"59,8858321"
A;23_A_25;"28,5608771";"59,8610141"
A;23_A_26;"28,5844542";"59,8455028"
A;23_A_27;"28,5509499";"59,9243001"
A;23_A_28;"28,5602567";"59,9118911"
A;23_A_29;"28,568943";"59,900723"
A;23_A_30;"28,5856951";"59,8895548"
A;23_A_31;"28,5844542";"59,8734231"
A;23_A_32;"28,5974837";"59,862255"
A;23_A_33;"28,6210609";"59,8386779"
A;23_A_34;"28,5757679";"59,9230592"
A;23_A_35;"28,5863156";"59,9118911"
A;23_A_36;"28,5863156";"59,9118911"
A;23_A_37;"28,5950019";"59,9032048"
A;23_A_38;"28,6105132";"59,8920367"
A;23_A_39;"28,6043087";"59,874664"
A;23_A_40;"28,6210609";"59,8709413"
A;23_A_41;"28,6055496";"59,9149933"
A;23_A_42;"28,6179586";"59,9038252"
A;23_A_43;"28,6347108";"59,8963798"
A;23_A_44;"28,6278858";"59,8821094"
A;23_A_45;"28,6427767";"59,8653573"
A;23_A_46;"28,6545652";"59,8783867"
A;23_A_47;"28,6545652";"59,8783867"
A;23_A_48;"28,6800037";"59,8845912"
A;23_A_49;"28,6775219";"59,8697004"
A;23_A_50;"28,6632515";"59,8591527"
A;23_A_51;"28,6800037";"59,849846"
A;23_A_52;"28,6986173";"59,8566709"
A;23_A_53;"28,6979968";"59,8740436"
A;23_A_54;"28,7010991";"59,8424006"
A;23_A_55;"28,6967559";"59,7853191"
A;23_A_56;"28,7190921";"59,8169621"
A;23_A_57;"28,7153694";"59,8337142"
A;23_A_58;"28,7135081";"59,8517073"
A;23_A_59;"28,7135081";"59,8517073"
A;23_A_60;"28,7135081";"59,8517073"
A;23_A_61;"28,7246762";"59,8436415"
A;23_A_62;"28,7240557";"59,8641164"
A;23_A_63;"28,7383261";"59,8492255"
A;23_A_64;"28,7494942";"59,8417801"
A;23_A_65;"28,7650055";"59,8380574"
A;23_A_66;"28,7619033";"59,8219257"
A;23_A_67;"28,7687282";"59,8008303"
A;23_A_68;"28,7755532";"59,7828373"
A;23_A_69;"28,7234353";"59,7716691"
B;23_B_1;"28,790444";"59,8436415"
B;23_B_2;"28,8276711";"59,7812861"
B;23_B_3;"28,8109189";"59,8445721"
B;23_B_4;"28,8295324";"59,8492255"
B;23_B_5;"28,8379085";"59,8678391"
B;23_B_6;"28,8379085";"59,8678391"
B;23_B_7;"28,8564052";"59,8506268"
B;23_B_8;"28,8605984";"59,8288981"
B;23_B_9;"28,8670789";"59,8147935"
B;23_B_10;"28,8571676";"59,8780735"
B;23_B_11;"28,9532313";"59,808313"
B;23_B_12;"28,9459884";"59,8308041"
B;23_B_13;"28,9928766";"59,8193679"
B;23_B_14;"28,9799156";"59,8468147"
B;23_B_15;"28,9612366";"59,8632065"
B;23_B_16;"29,0319502";"59,8422402"
B;23_B_17;"29,0300441";"59,8586321"
B;23_B_18;"29,0113651";"59,8613005"
B;23_B_19;"29,0532976";"59,8582509"
B;23_B_20;"29,0498668";"59,8746427"
B;23_B_21;"29,0269945";"59,8761675"
B;23_B_22;"29,0106027";"59,8780735"
B;23_B_23;"28,9698137";"59,884554"
B;23_B_24;"29,052154";"59,899421"
B;23_B_25;"29,0216576";"59,9028519"
B;23_B_26;"29,0090778";"59,9100948"
B;23_B_27;"29,0010725";"59,9219121"
B;23_B_28;"28,9762942";"59,9078075"
B;23_B_29;"28,9400797";"59,9173377"
B;23_B_30;"29,0250885";"59,9249618"
B;23_B_31;"29,0552037";"59,94021"
B;23_B_32;"29,0536788";"59,9531709"
B;23_B_33;"28,9934484";"59,9596514"
B;23_B_34;"28,9530407";"59,9881148"
B;23_B_35;"28,9457978";"59,9980261"
B;23_B_36;"28,9448448";"60,0167051"
B;23_B_37;"29,0184174";"60,0026005"
