Proba;N_polip_right;N_polip_left;L;L_koef;B;B_koef;H;H_koef
Mac-2;13;8;"14,6";1;11;2;"16,5";2
Mac-2;7;10;"12,2";1;"9,1";2;"13,1";2
Mac-2;10;4;"11,9";1;"9,7";2;"13,3";2
Mac-2;10;11;"12,1";1;"9,8";2;"14,4";2
Mac-2;12;8;"14,5";1;"10,8";2;"16,8";2
Mac-2;7;13;"15,5";1;"12,3";2;18;2
Mac-2;9;8;"16,7";1;"12,5";2;"9,6";1
Mac-2;11;5;"16,1";1;"12,2";2;"9,4";1
Mac-2;12;9;"15,6";1;"12,3";2;17;2
Mac-2;12;15;"13,2";1;"10,7";2;"15,4";2
Mac-2;18;13;"15,2";1;12;2;"17,3";2
Mac-2;14;14;"13,4";1;"11,2";2;"16,1";2
Mac-2;6;14;"11,9";1;"9,8";2;"14,2";2
Mac-2;12;12;"15,3";1;12;2;"8,9";1
Mac-2;4;15;"13,5";1;"10,2";2;"15,8";2
Mac-2;15;6;18;1;"14,5";2;"10,5";1
Mac-2;5;1;14;1;"10,6";2;"16,7";2
Mac-2;8;13;13;1;"11,2";2;16;2
Mac-2;14;13;"14,1";1;"11,1";2;"16,3";2
Mac-2;16;19;"12,5";1;10;2;"15,1";2
Mac-2;14;12;"14,5";1;"10,3";2;"16,9";2
Mac-2;3;4;"12,1";1;"9,9";2;"14,9";2
Mac-2;7;5;"12,5";1;"9,8";2;"14,3";2
Mac-2;8;12;"11,9";1;"9,8";2;"14,5";2
Mac-2;16;10;"12,7";1;"10,3";2;"15,4";2
Mac-2;8;11;12;1;"9,8";2;"13,6";2
Mac-2;6;14;"14,2";1;"11,2";2;16;2
Mac-2;3;9;12;1;"9,2";2;"13,7";2
Mac-2;11;4;"14,2";1;"9,8";2;"16,5";2
Mac-2;0;4;"13,1";1;"10,1";2;"14,8";2
Mac-2;1;3;"13,2";1;"10,2";2;"15,4";2
Mac-2;5;5;"13,2";1;"10,1";2;"15,1";2
Mac-2;6;6;"13,2";1;"10,5";2;15;2
Mac-2;13;10;"12,4";1;"9,7";2;"14,8";2
Mac-2;4;2;"12,5";1;16;4;"10,2";2
Mac-2;10;11;"11,8";1;"9,1";2;"14,2";2
Mac-2;7;15;12;1;"9,5";2;"14,9";2
Mac-2;9;13;"12,2";1;"9,4";2;15;2
Mac-2;12;11;"11,2";1;"9,3";2;"13,6";2
Mac-2;11;8;"11,5";1;"9,5";2;"13,6";2
Mac-2;3;13;"12,6";1;"9,6";2;"15,5";2
Mac-2;17;11;"12,1";1;"10,3";2;15;2
Mac-2;12;11;"15,9";1;12;2;"9,2";1
Mac-2;6;10;"14,5";1;11;2;"16,6";2
Mac-2;4;8;"11,9";1;"9,8";2;"13,9";2
Mac-2;7;7;"12,6";1;10;2;"14,8";2
Mac-2;1;1;11;1;"8,2";2;"12,6";2
Mac-2;3;1;"12,3";1;"9,8";2;"14,2";2
Mac-2;4;6;"12,6";1;"9,8";2;"14,3";2
Mac-2;0;3;"10,1";1;"8,4";2;"11,5";2
Mac-2;8;12;"11,8";1;"9,9";2;"14,4";2
Mac-2;8;3;"12,1";1;"9,2";2;14;2
Mac-2;6;7;"12,4";1;"9,6";2;"14,7";2
Mac-2;4;4;"11,5";1;"9,3";2;"14,4";2
Mac-2;8;9;"12,2";1;"9,5";2;"14,3";2
Mac-2;7;2;11;1;"9,9";2;"13,5";2
Mac-2;0;1;11;1;"8,2";2;"12,2";2
Mac-2;6;3;"10,2";1;"8,3";2;"13,3";2
Mac-2;7;9;"11,3";1;9;2;"13,6";2
Mac-2;3;5;9;1;"7,7";2;"11,1";2
Mac-2;4;5;12;1;"9,5";2;14;2
Mac-2;2;9;"12,2";1;10;2;"14,4";2
Mac-2;5;4;"10,2";1;"8,4";2;12;2
Mac-2;3;8;"16,1";2;"14,7";4;"9,5";2
Mac-2;7;2;"9,4";1;14;4;"10,6";2
Mac-2;4;3;"10,9";1;"17,7";4;"13,1";2
Mac-2;2;4;16;2;"13,1";4;9;2
Mac-2;6;2;"10,7";1;"8,9";2;"13,3";2
Mac-2;4;0;14;2;"12,5";4;16;4
Mac-2;1;3;"12,9";2;"11,9";4;"16,6";4
Mac-2;4;3;"17,5";2;15;4;"10,8";2
Mac-2;10;5;"10,7";1;9;2;10;2
Mac-2;0;2;"14,6";2;"13,5";4;"17,9";4
Mac-2;7;4;9;1;"15,7";4;"11,2";2
Mac-2;7;7;17;2;"14,6";4;"10,6";2
Mac-2;2;2;"13,5";2;"11,5";4;17;4
Mac-2;7;8;9;1;"14,6";4;"10,4";2
