Date ,Time,N,E,Salinity,
13/07/18,22:20:00,5.995,41.71,16,
13/07/18,22:22:00,5.957,41.765,16,
13/07/18,22:24:00,5.911,41.852,16,
13/07/18,22:26:00,5.865,41.92,18,
13/07/18,22:29:00,5.806,41.998,15,
13/07/18,22:33:00,5.8,42.077,16,
13/07/18,22:38:00,5.748,42.055,19,
13/07/18,22:39:00,5.75,42.009,17,
13/07/18,22:43:00,5.776,41.961,16,
13/07/18,22:54:00,5.757,41.933,16,
13/07/18,23:00:00,5.737,41.914,19,
13/07/18,23:04:00,5.708,41.836,22,
13/07/18,23:06:00,5.676,41.752,19,
13/07/18,23:23:00,5.484,41.616,19,
13/07/18,23:37:00,5.742,41.653,19,
13/07/18,23:39:00,5.807,41.596,18,
13/07/18,23:41:00,5.845,41.587,18,
13/07/18,23:45:00,5.891,41.584,11,
13/07/18,23:47:00,5.928,41.603,8,
13/07/18,23:49:00,5.912,41.613,7,
13/07/18,23:51:00,5.997,41.621,4,
13/07/18,23:53:00,6.005,41.627,7,
13/07/18,23:56:00,6.042,41.683,2,
13/07/18,23:57:00,6.059,41.718,0,
14/07/18,0:00:00,6.071,41.844,0,
14/07/18,22:41:00,6.064,41.73,7,
14/07/18,22:43:00,6.047,41.672,10,
14/07/18,22:44:00,6.028,41.632,13,
14/07/18,22:45:00,6.006,41.585,14,
14/07/18,22:46:00,5.983,41.534,14,
14/07/18,22:46:00,5.962,41.495,16,
14/07/18,22:47:00,5.944,41.453,17,
14/07/18,22:48:00,5.92,41.417,19,
14/07/18,22:49:00,5.9,41.363,18,
14/07/18,22:50:00,5.887,41.337,18,
14/07/18,22:51:00,5.862,41.272,19,
14/07/18,22:52:00,5.844,41.229,18,
14/07/18,22:53:00,5.824,41.191,18,
14/07/18,22:55:00,5.806,41.135,18,
14/07/18,22:57:00,5.787,41.059,17,
14/07/18,22:58:00,5.75,41.007,16,
14/07/18,22:59:00,5.724,40.946,15,
14/07/18,23:12:00,5.82,40.795,16,
14/07/18,22:13:00,5.832,40.81,16,
14/07/18,22:14:00,5.852,40.839,15,
14/07/18,22:15:00,5.874,40.88,13,
14/07/18,22:17:00,5.896,40.927,13,
14/07/18,22:19:00,5.917,40.963,14,
14/07/18,22:21:00,5.918,40.99,16,
14/07/18,22:26:00,5.935,40.986,15,
14/07/18,22:27:00,5.936,41.029,15,
14/07/18,22:29:00,5.963,41.032,15,
14/07/18,22:30:00,5.98,41.07,15,
14/07/18,22:31:00,5.994,41.111,16,
14/07/18,22:33:00,6.005,41.158,15,
14/07/18,22:34:00,6.019,41.204,18,
14/07/18,22:35:00,6.039,41.257,20,
14/07/18,22:39:00,6.096,41.234,21,
14/07/18,22:40:00,6.133,41.233,21,
14/07/18,22:42:00,6.192,41.238,21,
14/07/18,22:48:00,6.189,41.205,21,
14/07/18,22:49:00,6.171,41.15,20,
14/07/18,22:50:00,6.154,41.087,20,
14/07/18,22:51:00,6.138,41.028,19,
14/07/18,22:52:00,6.124,40.965,18,
14/07/18,22:54:00,6.105,40.905,18,
14/07/18,22:54:00,6.096,40.855,15,
14/07/18,22:55:00,6.086,40.811,16,
