Year,N,E,Plastic,Plastic_botles,Glass,Polyetilen,Rubber,Paper,Metal,Cans,Textil,Foam_Plastic,Other
2008,0.442,34.773,7,1,1,0,0,3,0,8,0,0,0
2008,0.481,34.859,24,0,1,2,0,0,0,5,0,1,0
2008,0.489,34.995,9,0,0,1,0,1,0,5,0,2,0
2008,0.476,35.113,0,2,2,2,0,1,0,15,0,0,0
2008,0.499,35.239,7,2,0,2,0,0,0,3,0,0,0
2008,0.524,35.294,2,4,7,1,0,1,0,5,0,0,0
2008,0.578,35.3,1,1,1,0,0,0,0,0,0,0,0
2008,0.625,35.306,1,1,0,0,0,1,0,2,0,2,0
2008,0.675,35.258,8,0,0,0,0,0,0,5,0,0,0
2008,0.715,35.201,2,4,1,0,0,1,0,0,0,0,0
2008,0.771,35.156,1,3,0,1,0,2,0,2,0,0,0
2008,0.811,35.104,0,2,0,0,0,0,0,1,0,0,0
2008,0.864,35.086,2,1,0,1,0,0,0,1,0,0,0
2008,0.91,35.027,4,4,0,1,0,0,0,2,0,0,0
2008,0.977,34.925,0,3,0,4,0,9,0,16,0,0,0
2008,0.991,34.849,10,6,1,3,0,2,0,3,0,1,0
2008,1.061,34.701,9,0,1,0,0,0,0,2,0,4,0
2008,1.112,34.672,7,4,1,5,0,0,0,1,0,0,0
2008,1.141,34.607,8,2,0,2,0,0,0,3,0,0,0
2008,1.162,34.477,1,2,0,0,0,0,0,2,0,0,0
2008,1.177,34.345,23,9,2,1,0,3,0,12,0,3,0
2008,1.194,34.22,37,11,1,9,0,1,0,8,0,1,0
2008,1.234,34.137,2,2,0,6,0,0,0,2,0,0,0
2008,1.284,34.116,5,2,0,1,0,1,0,0,0,0,0
2008,1.335,34.147,7,1,0,0,0,0,0,2,0,0,0
2008,1.338,34.156,1,0,0,1,0,0,0,2,0,0,0
2008,1.438,34.105,1,0,0,0,0,0,0,0,0,0,0
2008,1.487,34.032,0,1,0,0,0,0,0,1,0,0,0
2008,1.524,33.922,1,0,0,2,0,0,0,1,0,0,0
2008,1.562,33.815,0,0,1,0,0,0,0,0,0,0,0
2008,1.596,33.713,1,0,2,4,0,0,0,0,0,0,0
2008,1.642,33.618,4,1,1,2,0,0,0,0,0,1,0
2008,1.693,33.489,5,6,0,5,0,0,0,0,0,2,0
