Year,Station,Season,L,B,H
1992,12,Winter,5.4,1.9,NA
1992,12,Winter,5,2.2,NA
1992,12,Winter,6.5,3.2,NA
1992,12,Winter,4.2,1.7,NA
1992,12,Winter,4.3,1.4,NA
1992,5,Winter,10.8,3.5,NA
1992,5,Winter,7.6,3.2,NA
1992,5,Winter,8,2.4,NA
1992,20,Winter,4.9,1.4,NA
1992,20,Winter,4.8,1.6,NA
1992,20,Winter,5.6,1.3,NA
1992,20,Winter,3.2,1.5,NA
1992,20,Winter,4.2,1.5,NA
1992,20,Winter,4.3,1.5,NA
1992,20,Winter,5.9,1.7,NA
1992,20,Winter,5.4,1.6,NA
1992,20,Winter,6.1,1.9,NA
1992,20,Winter,9.2,3.2,NA
1992,20,Winter,7.8,2.1,NA
1992,20,Winter,5.7,1.9,NA
1992,20,Winter,5.8,1.7,NA
1992,20,Winter,5.8,1.8,NA
1992,20,Winter,6.7,2,NA
1992,20,Winter,6.8,1.8,NA
1992,20,Winter,6.2,2,NA
1992,20,Winter,6.5,2.6,NA
1992,20,Winter,4.7,1.4,NA
1992,20,Winter,5.4,1.9,NA
1992,20,Winter,4.5,1.4,NA
1992,20,Winter,3.8,1,NA
1992,20,Winter,4.5,1.4,NA
1992,20,Winter,4,1.5,NA
1992,20,Winter,2.2,1.4,NA
1992,15,Winter,8,2.4,6.2
1992,15,Winter,13.9,5.4,16.5
1992,15,Winter,7.1,1.9,5.8
1992,15,Winter,6.4,1.9,4.9
1992,15,Winter,6.1,1.8,4.6
1992,15,Winter,5.8,1.6,4.2
1992,15,Winter,5.7,1.6,4.8
1992,15,Winter,5.6,1.6,1.7
1992,15,Winter,5.8,1.4,4.5
1992,17,Winter,5.2,1.1,4
1992,17,Winter,6,2.1,4.7
1992,17,Winter,5.6,1.9,4.4
1992,17,Winter,3.2,1.2,3
1992,17,Winter,3.7,1.2,3.3
1992,17,Winter,3.7,1.4,3
1992,17,Winter,2.8,1.2,2.5
1992,17,Winter,3.4,1.3,2.6
1992,17,Winter,3.2,1.2,2.1
1992,17,Winter,3.2,1.3,2.2
1992,17,Winter,3.1,1.2,2.2
1992,17,Winter,4.2,1.4,3.4
1992,17,Winter,3.5,1.2,2.7
1992,17,Winter,2.3,1.1,2.4
1992,17,Winter,3.5,1.3,2.1
1992,17,Winter,4.3,1.5,3
1992,17,Winter,3.4,1.2,2.3
1992,17,Winter,3.6,1.2,2.4
1992,17,Winter,4,1.4,2.8
1992,17,Winter,4.3,1.5,3.2
1992,17,Winter,4,1.5,2.9
1992,17,Winter,2.6,1.1,2.7
1992,17,Winter,3.2,1.3,2.6
1992,17,Winter,3,1.4,2.5
1992,17,Winter,3.8,1.1,2.4
1992,17,Winter,2.7,1.2,2.4
1992,17,Winter,2.8,1.2,2.5
1992,17,Winter,2.7,1.1,2.2
1992,17,Winter,4,2.7,2.8
1992,17,Winter,3.3,1.2,1.9
1992,17,Winter,2.5,1.2,2.2
1992,17,Winter,3.3,1.3,2.2
1992,17,Winter,2.6,1,2.4
1992,17,Winter,3.2,1.2,2.4
1992,17,Winter,4.6,1.7,5.7
1992,17,Winter,4.3,1.5,3.2
1992,17,Winter,4.2,1.5,3.4
1992,17,Winter,2.3,1,2.2
1992,17,Winter,4.5,1.4,3
1992,17,Winter,2.6,1,2.3
1992,17,Winter,2.9,1.3,2.4
1992,17,Winter,4,1.1,3.2
1992,17,Winter,2.9,1.4,2.3
1992,17,Winter,2.4,1,2.3
1992,1,Winter,4.7,1.4,4.2
1992,1,Winter,4.4,2,3.5
1992,1,Winter,4,1.4,3.3
1992,1,Winter,3,1.3,2.3
1992,16,Winter,9.9,3.4,7.1
1992,16,Winter,8.6,3.2,7.2
1992,5,Winter,6.5,2.1,5.5
1992,5,Winter,5.5,1.8,4.2
1992,5,Winter,6.1,2.2,4.4
1992,5,Winter,4.4,1.7,3.6
1992,5,Winter,6.6,2,5
1992,5,Winter,6.8,2.3,5.6
1992,5,Winter,5.3,1.6,4
1992,16,Winter,8.3,2.9,5.6
1992,16,Winter,5.4,1.7,3.8
1992,16,Winter,4.9,1.7,3.8
1992,16,Winter,5.1,1.9,4.2
1992,16,Winter,5.5,1.9,4.3
1992,16,Winter,6.2,2,4
1992,16,Winter,5.4,1.8,3.9
1992,16,Winter,4.9,1.6,3.8
1992,16,Winter,4.4,1.1,3.3
1992,16,Winter,4.7,1.8,3.7
1992,16,Winter,5.2,1.8,4
1992,16,Winter,3.9,1.6,3.1
1992,16,Winter,3.9,1.5,3.2
1992,16,Winter,4.1,1.8,3.4
1992,16,Winter,3.7,1.4,2.6
1992,16,Winter,3.6,1.4,2.7
1992,16,Winter,4.4,1.8,3.7
1992,16,Winter,2.8,1.2,2.8
1992,16,Winter,4.7,1.7,3.9
1992,16,Winter,2.8,1.2,2.3
1992,16,Winter,3.3,1.3,2.9
1992,16,Winter,3.7,1.6,3
1992,16,Winter,2.7,1.2,2.5
1992,16,Winter,4.3,1.8,3.7
1992,16,Winter,5.5,1.8,4.5
1992,16,Winter,2.9,1.2,2.8
1992,16,Winter,4,1.9,2.2
1992,16,Winter,4.5,1.8,3.9
1992,16,Winter,3.9,1.5,3.2
1992,16,Winter,3.5,1.4,2.6
1992,16,Winter,5.1,1.1,3.9
1992,16,Winter,5,1.9,3.8
1992,16,Winter,4.3,1.6,3.2
1992,16,Winter,4.4,1.8,3.7
1992,16,Winter,5,1.9,3.1
1992,16,Winter,2.5,1,2.7
1992,18,Winter,9,3.1,6.9
1992,18,Winter,3,1.4,2.4
1992,18,Winter,3.9,1.2,3.4
1992,18,Winter,3.5,1.3,2.3
1992,18,Winter,4.5,1.7,4
1992,18,Winter,4.5,1.8,3.9
1992,18,Winter,4.6,1.8,3.6
1992,18,Winter,3.5,1.4,3
1992,18,Winter,3.8,1.5,3.2
1992,18,Winter,3.1,1.3,3
1992,18,Winter,5.4,1.9,4.2
1992,18,Winter,3.6,1.5,3.1
1992,18,Winter,4.9,1.4,3.2
1992,18,Winter,1.9,0.8,1.6
2003,18,Winter,1.4,6.3,11.7
2003,18,Winter,16.8,7.3,13
2003,18,Winter,8.6,3.6,7.2
2003,18,Winter,10.6,4.3,8.7
2003,18,Winter,7.1,3.2,6.7
2003,18,Winter,8.9,3.8,7.5
2003,18,Winter,10.8,5.5,8.3
2003,18,Winter,10.3,4.3,8.2
2003,18,Winter,12.5,5.5,9.9
2003,18,Winter,10.2,4.3,8.7
2003,18,Winter,10,4.7,8.3
2003,18,Winter,10.2,4.7,8.3
2003,18,Winter,6.9,3.4,6.3
2003,18,Winter,9.4,4.3,8
2003,18,Winter,8.6,4,7.3
2003,18,Winter,9.5,4.1,7.7
2003,18,Winter,9.9,4,8.3
2003,18,Winter,8,3.4,6.6
2003,18,Winter,6.6,2.9,5.6
2003,18,Winter,5.8,2.5,5.2
2003,18,Winter,9,4.2,7.2
2003,18,Winter,5.3,2.2,3.9
2003,18,Winter,5.4,2.1,4.5
2003,18,Winter,5.3,2.2,4.1
2003,18,Winter,7.4,3.2,5.9
2003,18,Winter,12.3,5.6,9.8
2003,18,Winter,16.2,6.7,11.2
2003,18,Winter,12.5,6.1,10.2
2003,18,Winter,14.5,6,9.2
2003,18,Winter,11.4,5,9.2
2003,18,Winter,11.5,4.5,9
2003,18,Winter,11.7,4.4,9
2003,18,Winter,12.2,5.2,9.8
2003,18,Winter,1.7,2.2,3.9
2003,18,Winter,4.6,1.9,4.7
2003,18,Winter,7.7,4.2,6.8
2003,18,Winter,7.8,3.2,5.1
2003,18,Winter,6.5,3.2,5.7
2003,18,Winter,6.2,2.4,5.1
2003,18,Winter,8.4,4,6.2
2003,18,Winter,6.9,2.8,5.9
2003,18,Winter,5.9,2.8,5
2003,18,Winter,6.1,2.7,4.7
2003,18,Winter,7.3,3.2,6.5
2003,18,Winter,7.5,2.7,5.8
2003,18,Winter,7.4,2.3,6.3
2003,18,Winter,6,2.9,4.5
2003,18,Winter,7.4,2.8,5
2003,18,Winter,9.6,4.2,7.7
2003,18,Winter,4,1.9,3.3
2003,18,Winter,11.9,5.2,9.8
2003,18,Winter,4.8,1.8,4.1
2003,18,Winter,5.8,2.3,4.3
2003,18,Winter,11.5,4.7,8.9
2003,18,Winter,6.9,3,6
2003,18,Winter,5.1,2.5,4.6
2003,18,Winter,7.3,3.2,5.5
2003,18,Winter,11,5,9
2003,18,Winter,5.4,2.2,4.3
2003,18,Winter,13,6.7,9.8
2003,18,Winter,4.4,2,3.5
2003,18,Winter,10,4,8
2003,18,Winter,12.7,5.5,9.5
2003,18,Winter,12,4.7,10
2003,18,Winter,10.6,5,8
2003,18,Winter,12.3,4.7,9
2003,18,Winter,11,4,8.4
2003,18,Winter,3.4,1.4,3
2003,18,Winter,4.4,1.5,4.8
1994,16,Winter,15.6,6.4,12.6
1994,16,Winter,11.3,4.5,9.5
1994,16,Winter,9.6,4.4,7.9
1994,16,Winter,12.2,5.4,9.6
1994,16,Winter,12.3,4.3,10.2
1994,16,Winter,12.2,5.3,9.7
1994,16,Winter,12.9,5.3,12.3
1994,16,Winter,13.4,4.4,10.9
1994,16,Winter,13.5,4.6,10.9
1994,16,Winter,14.8,6.6,12.4
1994,16,Winter,12.6,5.7,12.1
1994,16,Winter,7.6,3.2,6.3
1994,16,Winter,8.5,3.4,7.2
1994,16,Winter,4.9,1.8,4.4
1995,15,Winter,10.2,5.4,8.1
1995,15,Winter,10.5,4.2,8.3
1995,15,Winter,8.7,4,7.3
1995,15,Winter,7.1,3.9,6.2
1995,15,Winter,6.4,2.4,5.5
1995,15,Winter,5.7,2.1,4.6
1995,15,Winter,4,1.3,3.2
1995,15,Winter,4.4,1.6,3.6
1995,15,Winter,4.5,2,3.7
1995,15,Winter,4.5,1.4,3.5
1995,15,Winter,4.3,1.7,3.4
1995,15,Winter,3.7,1.2,2.9
1995,15,Winter,3.2,1.1,2.9
1995,15,Winter,2.9,0.7,2.3
1995,15,Winter,3.6,1.4,2.9
1995,15,Winter,2.9,1.3,2.3
1995,15,Winter,3.4,1.4,2.9
1995,15,Winter,2.7,1.3,2.4
1995,15,Winter,4.3,1.4,3.5
1996,9,Winter,17.9,5.9,10.6
1995,15,Winter,7.2,3.8,5.3
1995,13,Winter,12.4,6.4,9.8
1995,13,Winter,11,4.6,8.8
1995,13,Winter,9.5,4,7.3
1995,13,Winter,7.6,3.3,6.1
1995,13,Winter,8.2,3.3,6.1
1995,13,Winter,8.7,4,6.9
1995,13,Winter,7.4,3.5,6.2
1995,13,Winter,7.7,2.9,6.2
1995,13,Winter,6.7,2.9,5.5
1995,13,Winter,6.2,2.3,5
1995,13,Winter,5.9,2.4,4.5
1995,13,Winter,5.1,1.8,4
1995,13,Winter,5.6,2.5,4.4
1995,13,Winter,4.6,1.5,3.9
1995,13,Winter,5.5,2.3,4.7
1995,13,Winter,8,2.9,6.4
1995,13,Winter,3.9,1.9,3.2
1995,13,Winter,6.2,3.1,5
1995,13,Winter,5.4,4.4,4.4
1995,13,Winter,4.2,1.7,3.2
1995,13,Winter,3.5,1.3,2.8
1995,13,Winter,7.3,2.9,5.2
1995,13,Winter,7.3,2.9,6.3
1995,13,Winter,5.4,2.1,4.6
1995,13,Winter,3.6,1.5,3
1995,13,Winter,5,1.9,4.2
1995,13,Winter,4.2,1.5,3.4
1995,13,Winter,4.5,1.7,3.8
1995,13,Winter,4.2,1.6,3.3
1995,13,Winter,3.3,1.3,2.7
1995,13,Winter,5.1,1.9,3.8
