Island,Area,Perimetr,N,E,
Анисимов,67.1,4.9,67.070832,32.570304,
Богомолиха,3.4,0.9,67.071921,32.508097,
Большая Демениха,11.2,1.4,67.033035,32.598698,
Большая Сеннуха,1.7,0.46,66.957835,32.696374,
Вороний,96.6,4.5,67.02444444,32.62361111,
Головин,31.9,2.8,66.962456,32.679588,
Горелый,6.9,1.6,67.06111111,32.60638889,
Гульмаха,14.5,1.5,67.007554,32.67183,
Ириньин,6.7,1.1,67.049505,32.477798,
Круглый,7.5,1,66.974299,32.678695,
Куричок,8.7,1.5,66.99303,32.580437,
Ламбин,8.2,1.4,67.06571,32.460932,
луда Близнец Северный,0.3,0.21,66.812834,32.782629,
луда Близнец Южный,0.3,0.15,66.811664,32.786727,
луда Верблюд,0.4,0.25,66.831375,32.736252,
луда Вороничная,0.5,0.48,67.064827,32.470615,
луда Воронка,2.7,0.76,67.014411,32.634531,
луда Восточная Кибринская,1,0.29,66.936195,32.830567,
луда Вторая Поперечная,0.7,0.46,66.986837,32.584057,
луда Гагаркина,0.3,0.17,66.824957,32.794316,
луда Голая,0.9,0.3,67.064638,32.478721,
луда Головинка,0.8,0.42,66.954725,32.678168,
луда Горбуша,1.3,0.45,66.832538,32.75446,
луда Дрестной Баклыш,0.2,0.1,66.883439,32.716651,
луда Ирвасиха,0.014,0.47,66.986597,32.690653,
луда Ириненок,0.2,0.41,67.055696,32.473245,
луда Иринка,1.3,0.21,67.054552,32.476792,
луда Княжегубская Седловатая,3,0.86,66.90995,32.627598,
луда Малая Богомолиха,1.1,0.31,67.071065,32.512195,
луда Наволочная,0.1,0.09,67.010231,32.666376,
луда Первая Поперечная,0.4,0.27,66.99208,32.59323,
луда Песчаная (около о.Ряжков),0.5,0.52,67.033716,32.554696,
луда Песчанка (арх.Тарасиха),1.6,0.443,66.839684,32.794298,
луда Плоская,0.5,0.27,66.964203,32.620006,
луда Роговая,0.5,0.29,66.872044,32.733951,
луда Северная Кибринская,14.2,0.92,66.935789,32.81947,
луда Седловатая,3,0.89,66.939637,32.65937,
луда Сиротка,0.3,0.2,66.874785,32.680726,
луда Смородинная Кибринская,4.1,0.75,66.93382,32.825151,
луда Створная Кибринская,6.9,0.86,66.93052,32.829056,
луда Тарасёнок,0.5,0.277,66.818975,32.738502,
луда Третья Поперечная,0.002,0.186,66.984219,32.585076,
Луда Добрушка,4,0.82,66.830094,32.756702,
луда Южная (около о.М.Ломнишный),0.1,0.09,66.967569,32.61056,
луда Южная Кибринская,1.2,0.77,66.928961,32.835266,
луда Чаячья,0.054,0.87,66.831375,32.736252,
Малая Демениха,3.8,1,67.035787,32.602804,
Малая Сеннуха,0.3,0.134,66.956886,32.703935,
Малый Ломнишный,22,2.2,66.970085,32.605463,
Малый Медвежий,12.2,1.3,66.98775,32.667079,
Ряжков,396.7,11,67.016541,32.558695,
