Proba,N_polip_right,N_polip_left,L,B,H
Mac-2,13,8,14.6,5.5,8.25
Mac-2,7,10,12.2,4.55,6.55
Mac-2,10,4,11.9,4.85,6.65
Mac-2,10,11,12.1,4.9,7.2
Mac-2,12,8,14.5,5.4,8.4
Mac-2,7,13,15.5,6.15,9
Mac-2,9,8,16.7,6.25,9.6
Mac-2,11,5,16.1,6.1,9.4
Mac-2,12,9,15.6,6.15,8.5
Mac-2,12,15,13.2,5.35,7.7
Mac-2,18,13,15.2,6,8.65
Mac-2,14,14,13.4,5.6,8.05
Mac-2,6,14,11.9,4.9,7.1
Mac-2,12,12,15.3,6,8.9
Mac-2,4,15,13.5,5.1,7.9
Mac-2,15,6,18,7.25,10.5
Mac-2,5,1,14,5.3,8.35
Mac-2,8,13,13,5.6,8
Mac-2,14,13,14.1,5.55,8.15
Mac-2,16,19,12.5,5,7.55
Mac-2,14,12,14.5,5.15,8.45
Mac-2,3,4,12.1,4.95,7.45
Mac-2,7,5,12.5,4.9,7.15
Mac-2,8,12,11.9,4.9,7.25
Mac-2,16,10,12.7,5.15,7.7
Mac-2,8,11,12,4.9,6.8
Mac-2,6,14,14.2,5.6,8
Mac-2,3,9,12,4.6,6.85
Mac-2,11,4,14.2,4.9,8.25
Mac-2,0,4,13.1,5.05,7.4
Mac-2,1,3,13.2,5.1,7.7
Mac-2,5,5,13.2,5.05,7.55
Mac-2,6,6,13.2,5.25,7.5
Mac-2,13,10,12.4,4.85,7.4
Mac-2,4,2,12.5,4,5.1
Mac-2,10,11,11.8,4.55,7.1
Mac-2,7,15,12,4.75,7.45
Mac-2,9,13,12.2,4.7,7.5
Mac-2,12,11,11.2,4.65,6.8
Mac-2,11,8,11.5,4.75,6.8
Mac-2,3,13,12.6,4.8,7.75
Mac-2,17,11,12.1,5.15,7.5
Mac-2,12,11,15.9,6,9.2
Mac-2,6,10,14.5,5.5,8.3
Mac-2,4,8,11.9,4.9,6.95
Mac-2,7,7,12.6,5,7.4
Mac-2,1,1,11,4.1,6.3
Mac-2,3,1,12.3,4.9,7.1
Mac-2,4,6,12.6,4.9,7.15
Mac-2,0,3,10.1,4.2,5.75
Mac-2,8,12,11.8,4.95,7.2
Mac-2,8,3,12.1,4.6,7
Mac-2,6,7,12.4,4.8,7.35
Mac-2,4,4,11.5,4.65,7.2
Mac-2,8,9,12.2,4.75,7.15
Mac-2,7,2,11,4.95,6.75
Mac-2,0,1,11,4.1,6.1
Mac-2,6,3,10.2,4.15,6.65
Mac-2,7,9,11.3,4.5,6.8
Mac-2,3,5,9,3.85,5.55
Mac-2,4,5,12,4.75,7
Mac-2,2,9,12.2,5,7.2
Mac-2,5,4,10.2,4.2,6
Mac-2,3,8,8.05,3.675,4.75
Mac-2,7,2,9.4,3.5,5.3
Mac-2,4,3,10.9,4.425,6.55
Mac-2,2,4,8,3.275,4.5
Mac-2,6,2,10.7,4.45,6.65
Mac-2,4,0,7,3.125,4
Mac-2,1,3,6.45,2.975,4.15
Mac-2,4,3,8.75,3.75,5.4
Mac-2,10,5,10.7,4.5,5
Mac-2,0,2,7.3,3.375,4.475
Mac-2,7,4,9,3.925,5.6
Mac-2,7,7,8.5,3.65,5.3
Mac-2,2,2,6.75,2.875,4.25
Mac-2,7,8,9,3.65,5.2
Mac-2,6,5,9.6,4.125,5.9
Mac-2,5,5,7.35,3.075,4.15
Mac-2,0,6,9.1,3.875,5.5
Mac-2,4,6,10.6,4.15,6
Mac-2,6,6,12.2,4.5,6.75
Mac-2,7,9,10.5,4.175,5.75
Mac-2,6,2,9.5,3.85,5.35
Mac-2,6,7,11,4.45,6.5
Mac-2,2,2,10.9,4.55,6.5
Mac-2,4,7,10.5,4.425,6.1
Mac-2,7,4,11,4.75,6.65
Mac-2,2,1,9.7,3.975,6.05
Mac-2,2,4,11.7,4.5,6.8
Mac-2,3,2,10.5,4.075,6.15
Mac-2,0,0,13,4.75,7.65
Mac-2,0,0,9.3,4.1,5.45
Mac-2,3,0,7.95,3.225,4.475
Mac-2,0,0,7.8,3.275,4.5
Mac-2,1,2,6.75,3.175,4.175
Mac-2,0,0,7.4,3.25,4.45
Mac-1,15,7,16.8,6.95,9.3
Mac-1,21,23,15.1,5.9,9
Mac-1,18,8,14.8,5.75,8
Mac-1,2,18,14.3,5.15,7.95
Mac-1,20,14,14.3,5.5,7.95
Mac-1,15,14,14.9,5.5,8.4
Mac-1,15,17,14.2,5.4,8.35
Mac-1,20,20,14.9,5.8,8.5
Mac-1,10,4,14,5.45,8.5
Mac-1,14,10,12.5,5.3,7.65
Mac-1,6,10,12.6,5.35,7.85
Mac-1,2,1,12.8,5.35,7.35
Mac-1,14,8,13,5.35,7.6
Mac-1,7,15,15.4,5.95,8.7
Mac-1,15,12,14,5.65,7.7
Mac-1,6,9,16.9,6.3,8.4
Mac-1,8,11,14,5.1,8.1
Mac-1,8,7,12.5,5,7.5
Mac-1,11,16,15.6,5.5,8.8
Mac-1,7,6,15.1,5.3,7.8
Mac-1,12,16,14.9,5.95,8.9
Mac-1,14,13,16.1,5.65,8.9
Mac-1,11,5,13.5,5.1,7.55
Mac-1,11,13,16.4,6.25,9.2
Mac-1,15,12,15.5,6.15,9
Mac-1,2,4,12.5,5.1,7.5
Mac-1,7,4,12.2,4.6,7.3
Mac-1,7,15,14.2,5.1,8.3
Mac-1,6,5,15.1,5.95,8.7
Mac-1,20,6,14,5.4,8.55
Mac-1,6,8,14.1,5.6,7.5
Mac-1,10,9,15,5.25,8.75
Mac-1,7,7,13.7,5.4,8.05
Mac-1,9,9,11.2,4.55,5.85
Mac-1,9,9,13.8,5.05,7.55
Mac-1,9,11,16.1,6.45,9
Mac-1,9,8,16.8,6.6,9.9
Mac-1,14,10,16.9,6.75,9.3
Mac-1,12,15,13.1,5.25,7.45
Mac-1,11,9,11.7,4.45,6.65
Mac-1,5,10,14.4,5.85,8.6
Mac-1,11,17,14.4,5.8,7.6
Mac-1,6,6,12.3,4.95,6.75
Mac-1,10,15,11.4,4.35,6.6
Mac-1,14,15,12.3,5,7.15
Mac-1,8,15,13.8,5.3,7.5
Mac-1,7,6,11.4,4.85,6.8
Mac-1,5,7,10.6,4.3,6.45
Mac-1,17,12,12,4.65,7.3
Mac-1,11,12,14,5.65,8.35
Mac-1,5,5,12,4.95,6.85
Mac-1,13,9,12.2,4.95,7
Mac-1,5,11,11.4,4.4,6.5
Mac-1,10,11,12.9,4.9,7.6
Mac-1,5,8,12.1,5.05,7
Mac-1,6,6,12.1,4.85,6.85
Mac-1,7,6,11.9,4.45,6.7
Mac-1,11,7,11,4.2,6.5
Mac-1,5,5,11.5,4.425,6.4
Mac-1,6,5,10,4.075,5.8
Mac-1,10,7,13,5.25,7.3
Mac-1,14,13,12.6,4.9,7.15
Mac-1,11,15,10,3.8,6.45
Mac-1,7,10,11.8,4.9,6.85
Mac-1,19,15,12.3,4.85,6.85
Mac-1,11,5,13.4,5.25,8.25
Mac-1,2,8,9.6,3.9,5.45
Mac-1,13,9,11.8,4.8,6.65
Mac-1,0,0,10.5,4.375,6.2
Mac-1,7,8,12,4.6,6.75
Mac-1,6,9,9.8,4.15,6.05
Mac-1,1,6,8.55,3.625,5.15
Mac-1,7,9,10.2,4.025,5.6
Mac-1,14,12,11.1,4.75,6.65
Mac-1,7,2,10.5,4.35,6.05
Mac-1,5,3,12.2,4.6,6.8
Mac-1,3,3,10.7,4.45,6.3
Mac-1,11,9,10.9,4.15,6.6
Mac-1,4,2,9.4,4.2,5.6
Mac-1,3,2,9,3.75,5.15
Mac-1,5,6,9.4,3.775,5.25
Mac-1,3,4,10.3,4.325,5.85
Mac-1,14,10,9.3,4.025,5.65
Mac-1,10,6,9.4,3.675,5.45
Mac-1,0,0,7.65,3.6,4.75
Mac-1,0,0,6.9,3.05,4.075
Mac-5,4,21,17.6,6.85,9.8
Mac-5,5,5,12.8,5.3,7.7
Mac-5,6,7,12.4,5.4,7.65
Mac-5,20,15,11.4,4.375,6.75
Mac-5,16,16,17.8,5.3,8.05
Mac-5,19,12,15,5.65,8.8
Mac-5,12,16,14.8,5.25,8.8
Mac-5,24,14,13.1,5.2,8.75
Mac-5,17,12,12.5,4.65,7.35
Mac-5,8,9,11,5,6.75
Mac-5,13,17,12.6,5,7.4
Mac-5,12,7,12.5,4.95,7.5
Mac-5,9,13,12.6,4.85,7.3
Mac-5,16,12,10.7,4.45,6.35
Mac-5,14,14,13.8,5.2,7.95
Mac-5,2,0,12.1,4.75,7.25
Mac-5,2,4,11.7,4.8,6.8
Mac-5,4,7,11.5,4.5,6.45
Mac-5,5,5,13.3,5.25,7.05
Mac-5,0,0,11.4,4.95,7.25
Mac-5,7,7,13.1,5.1,7.55
Mac-5,8,7,12.8,5.05,7.35
Mac-5,10,9,10.7,4.425,6.55
Mac-5,14,6,11.8,4.55,6.7
Mac-5,7,13,12.7,5.1,7.2
Mac-5,5,9,11.3,4.375,6.5
Mac-5,0,0,9.1,3.775,5.2
Mac-5,9,7,11.4,4.45,6.4
Mac-5,2,6,10.5,4.5,6.25
Mac-5,5,9,10.7,4.45,6.7
Mac-5,8,7,10.2,4.45,6.4
Mac-5,14,9,10.1,4.45,6.25
Mac-5,6,7,10.4,4.325,6.15
Mac-5,1,1,6.7,2.925,3.9
Mac-5,12,13,10.7,4.125,6.3
Mac-5,0,0,6.75,2.775,3.75
Mac-5,5,9,12.4,4.75,7.1
Mac-5,13,13,9.7,3.95,5.3
Mac-5,8,7,10.4,4.175,6.05
Mac-5,7,7,11.5,4.5,6.6
Mac-5,8,4,10,3.825,5.7
Mac-5,7,11,11.3,4.45,6.5
Mac-5,10,8,8.5,3.65,5
Mac-5,0,0,8.45,3.425,4.95
Mac-5,4,6,10.3,4.4,6.3
Mac-5,0,0,16.6,7.35,9.6
Mac-6,23,14,14,5.6,8.25
Mac-6,13,11,12.8,5,7.1
Mac-6,8,22,14.9,6,8.75
Mac-6,11,19,13.4,5.65,8.25
Mac-6,13,19,17.4,6.75,9.8
Mac-6,24,16,13.3,5.55,8
Mac-6,21,15,15.3,6,9
Mac-6,5,4,12,4.45,7.1
Mac-6,6,12,13.2,5.35,7.8
Mac-6,11,6,13.5,5.45,8.3
Mac-6,15,20,15.4,6.2,8.9
Mac-6,13,10,14.8,5.85,8.55
Mac-6,13,15,15.8,6.35,9
Mac-6,12,14,16.2,6.1,8.9
Mac-6,6,6,13.3,5.4,7.55
Mac-6,1,1,14.8,5.6,8.5
Mac-6,16,12,15.5,5.95,8.5
Mac-6,17,27,13.5,5.55,7.65
Mac-6,22,14,12.6,4.65,7
Mac-6,5,6,9.3,3.8,5.75
Mac-6,10,16,15.1,5.95,9
Mac-6,12,11,15,6.4,8.75
Mac-6,15,13,12.7,5.2,7.3
Mac-6,1,9,12.6,4.7,7
Mac-6,13,16,14.5,5.35,8
Mac-6,7,13,13,5.1,7.6
Mac-6,5,5,9.8,4.2,5.9
Mac-6,8,14,11.1,4.9,6.95
Mac-6,16,17,13,5.15,7.35
Mac-6,2,5,10.9,4.375,6.25
Mac-6,10,12,10.6,4.25,5.75
Mac-6,4,12,11.6,4.55,6.8
Mac-6,9,16,10.6,4.425,6.5
Mac-6,9,10,9.5,4.15,5.9
Mac-6,13,8,11.9,4.45,7.25
Mac-6,5,7,11.6,4.55,6.65
Mac-6,6,6,12.2,4.85,6.95
Mac-6,4,5,10.3,4.225,6.15
Mac-6,1,6,7.25,3,4.125
Mac-6,2,2,9.3,3.975,5.5
Mac-6,9,10,10.6,4.15,6.45
Mac-6,2,4,8.15,3.45,4.8
Mac-6,7,7,7.6,3.25,4.5
Mac-6,0,0,8.5,3.45,4.65
Mac-6,3,2,6.5,2.85,3.95
Mac-4,20,19,15.1,6.05,8.8
Mac-4,10,10,15.7,6.5,9.3
Mac-4,26,18,15.3,5.95,9
Mac-4,4,6,12,5.35,7.35
Mac-4,18,20,14,5.35,8.2
Mac-4,12,18,14.5,5.55,7.8
Mac-4,12,22,14.3,5.5,7.8
Mac-4,13,6,13.4,5.15,7.3
Mac-4,12,13,14.4,5.15,8.3
Mac-4,27,10,13.7,5.9,8.2
Mac-4,22,19,14.5,5.55,8.6
Mac-4,19,13,14.8,5.5,8.75
Mac-4,8,6,14.1,5.2,8
Mac-4,14,5,12.2,4.7,6.95
Mac-4,8,15,15.3,5.95,8.9
Mac-4,12,7,13.8,5.45,8.15
Mac-4,17,24,13.9,5.9,8.35
Mac-4,18,26,13.8,5.4,8
