date,time,Air_T,S,wind,wave,Water_T
01.06.2019,12:00,10.1,22,NA,NA,7.85
01.06.2019,18:00,11.2,21,NA,NA,6.85
02.06.2019,0:00,7.4,20,NA,NA,8.79
02.06.2019,12:00,11.6,21,NA,NA,8.48
02.06.2019,18:00,10.1,21,NA,NA,7.79
03.06.2019,0:00,6.7,20,NA,NA,8.29
03.06.2019,12:00,NA,NA,NA,NA,7.54
03.06.2019,18:00,9.2,19,NA,NA,7.66
04.06.2019,0:00,7.6,19,NA,NA,8.23
04.06.2019,12:00,7.7,19,NA,NA,7.6
04.06.2019,18:00,7.3,20,NA,NA,7.35
05.06.2019,0:00,7.9,16,NA,NA,7.79
05.06.2019,12:00,NA,NA,NA,NA,5.78
05.06.2019,18:00,13.2,22,NA,NA,6.66
06.06.2019,0:00,9.1,21,NA,NA,7.79
06.06.2019,12:00,9.6,21,NA,NA,6.72
06.06.2019,18:00,10.8,22,NA,NA,8.29
07.06.2019,0:00,7.8,21,NA,NA,8.48
07.06.2019,12:00,16.5,21,NA,NA,7.04
07.06.2019,18:00,NA,NA,NA,NA,14.11
08.06.2019,0:00,11.9,22,NA,NA,10.48
08.06.2019,12:00,13.7,21,NA,NA,10.04
08.06.2019,18:00,20.1,21,NA,NA,16.05
09.06.2019,0:00,18.2,22,NA,NA,8.85
09.06.2019,12:00,19.2,20,NA,NA,9.42
09.06.2019,18:00,14.6,21,NA,NA,12.86
10.06.2019,0:00,10.5,21,NA,NA,9.73
10.06.2019,12:00,17.9,19,NA,NA,9.98
10.06.2019,18:00,13.7,18,NA,NA,16.12
11.06.2019,0:00,10.1,12,NA,NA,10.92
11.06.2019,12:00,6.8,21,NA,NA,9.48
11.06.2019,18:00,6.9,20,NA,NA,10.11
12.06.2019,0:00,5.2,20,NA,NA,9.29
12.06.2019,12:00,8.5,20,NA,NA,8.48
12.06.2019,18:00,14.4,20,NA,NA,9.48
13.06.2019,0:00,6,20,NA,NA,8.79
13.06.2019,12:00,11.5,20,NA,NA,9.85
13.06.2019,18:00,16.6,20,NA,NA,11.61
14.06.2019,0:00,10.5,20,NA,NA,14.11
14.06.2019,12:00,14.1,21,NA,NA,10.29
