Year,Bank,Sample,L,L_class
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,1,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
2018,korg,1,2,NA
