Year,Bank,Sample,L,L_class
1996,vor4,2,38,NA
1996,vor4,2,31,NA
1996,vor4,2,27,NA
1996,vor4,2,25,NA
1996,vor4,2,31,NA
1996,vor4,2,30,NA
1996,vor4,2,27,NA
1996,vor4,2,34,NA
1996,vor4,2,27,NA
1996,vor4,2,32,NA
1996,vor4,2,27,NA
1996,vor4,2,28,NA
1996,vor4,2,27,NA
1996,vor4,2,36,NA
1996,vor4,2,26,NA
1996,vor4,2,26,NA
1996,vor4,2,30,NA
1996,vor4,2,26,NA
1996,vor4,2,23,NA
1996,vor4,2,28,NA
1996,vor4,2,29,NA
1996,vor4,2,33,NA
1996,vor4,2,22,NA
1996,vor4,2,21,NA
1996,vor4,2,24,NA
1996,vor4,2,22,NA
1996,vor4,2,21,NA
1996,vor4,2,24,NA
1996,vor4,2,23,NA
1996,vor4,2,24,NA
1996,vor4,2,21,NA
1996,vor4,2,20,NA
1996,vor4,2,30,NA
1996,vor4,2,30,NA
1996,vor4,2,26,NA
1996,vor4,2,23,NA
1996,vor4,2,19,NA
1996,vor4,2,25,NA
1996,vor4,2,24,NA
1996,vor4,2,20,NA
1996,vor4,2,22,NA
1996,vor4,2,22,NA
1996,vor4,2,19,NA
1996,vor4,2,9,NA
1996,vor4,2,20,NA
1996,vor4,2,17,NA
1996,vor4,2,18,NA
1996,vor4,2,17,NA
1996,vor4,2,18,NA
1996,vor4,2,13,NA
1996,vor4,2,14,NA
1996,vor4,2,16,NA
1996,vor4,2,13,NA
1996,vor4,2,10,NA
1996,vor4,2,16,NA
1996,vor4,2,17,NA
1996,vor4,2,13,NA
1996,vor4,2,10,NA
1996,vor4,2,12,NA
1996,vor4,2,9,NA
1996,vor4,2,14,NA
1996,vor4,2,15,NA
1996,vor4,2,15,NA
1996,vor4,2,7,NA
1996,vor4,2,2,NA
1996,vor4,2,9,NA
1996,vor4,2,7,NA
1996,vor4,2,6,NA
1996,vor4,2,9,NA
1996,vor4,2,9,NA
1996,vor4,2,9,NA
1996,vor4,2,14,NA
1996,vor4,2,6,NA
1996,vor4,2,7,NA
1996,vor4,2,5,NA
1996,vor4,2,12,NA
1996,vor4,2,7,NA
1996,vor4,2,9,NA
1996,vor4,2,6,NA
1996,vor4,2,8,NA
1996,vor4,2,11,NA
1996,vor4,2,10,NA
1996,vor4,2,8,NA
1996,vor4,2,6,NA
1996,vor4,2,7,NA
1996,vor4,2,6,NA
1996,vor4,2,6,NA
1996,vor4,2,5,NA
1996,vor4,2,9,NA
1996,vor4,2,5,NA
1996,vor4,2,8,NA
1996,vor4,2,9,NA
1996,vor4,2,4,NA
1996,vor4,2,7,NA
1996,vor4,2,2,NA
1996,vor4,2,3,NA
1996,vor4,2,6,NA
1996,vor4,2,2,NA
1996,vor4,2,2,NA
1996,vor4,2,2,NA
1996,vor4,2,3,NA
1996,vor4,2,3,NA
1996,vor4,2,4,NA
1996,vor4,2,7,NA
1996,vor4,2,5,NA
1996,vor4,2,3,NA
1996,vor4,2,4,NA
1996,vor2,2,35,NA
1996,vor2,2,22,NA
1996,vor2,2,29,NA
1996,vor2,2,28,NA
1996,vor2,2,33,NA
1996,vor2,2,33,NA
1996,vor2,2,24,NA
1996,vor2,2,23,NA
1996,vor2,2,30,NA
1996,vor2,2,22,NA
1996,vor2,2,33,NA
1996,vor2,2,31,NA
1996,vor2,2,32,NA
1996,vor2,2,35,NA
1996,vor2,2,24,NA
1996,vor2,2,17,NA
1996,vor2,2,33,NA
1996,vor2,2,27,NA
1996,vor2,2,21,NA
1996,vor2,2,33,NA
1996,vor2,2,21,NA
1996,vor2,2,11,NA
1996,vor2,2,15,NA
1996,vor2,2,29,NA
1996,vor2,2,15,NA
1996,vor2,2,25,NA
1996,vor2,2,12,NA
1996,vor2,2,18,NA
1996,vor2,2,11,NA
1996,vor2,2,25,NA
1996,vor2,2,20,NA
1996,vor2,2,30,NA
1996,vor2,2,16,NA
1996,vor2,2,9,NA
1996,vor2,2,38,NA
1996,vor2,2,35,NA
1996,vor2,2,30,NA
1996,vor2,2,29,NA
1996,vor2,2,30,NA
1996,vor2,2,27,NA
1996,vor2,2,33,NA
1996,vor2,2,31,NA
1996,vor2,2,17,NA
1996,vor2,2,32,NA
1996,vor2,5,38,NA
1996,vor2,5,27,NA
1996,vor2,5,32,NA
1996,vor2,5,37,NA
1996,vor2,5,32,NA
1996,vor2,5,34,NA
1996,vor2,5,14,NA
1996,vor2,5,33,NA
1996,vor2,5,30,NA
1996,vor2,5,26,NA
1996,vor2,5,25,NA
1996,vor2,5,28,NA
1996,vor2,5,13,NA
1996,vor2,5,31,NA
1996,vor2,5,33,NA
1996,vor2,5,10,NA
1996,vor2,5,28,NA
1996,vor2,5,23,NA
1996,vor2,5,12,NA
1996,vor2,5,36,NA
1996,vor2,5,27,NA
1996,vor2,5,11,NA
1996,vor2,5,27,NA
1996,vor2,5,34,NA
1996,vor2,5,14,NA
1996,vor2,5,32,NA
1996,vor2,5,36,NA
1996,vor2,5,14,NA
1996,vor2,5,28,NA
1996,vor2,5,23,NA
1996,vor2,5,7,NA
1996,vor2,5,30,NA
1996,vor2,5,18,NA
1996,vor2,5,9,NA
1996,vor2,5,38,NA
1996,vor2,5,17,NA
1996,vor2,5,8,NA
1996,vor2,5,32,NA
1996,vor2,5,23,NA
1996,vor2,5,9,NA
1996,vor2,4,42,NA
1996,vor2,4,31,NA
1996,vor2,4,21,NA
1996,vor2,4,38,NA
1996,vor2,4,29,NA
1996,vor2,4,28,NA
1996,vor2,4,32,NA
1996,vor2,4,27,NA
1996,vor2,4,33,NA
1996,vor2,4,37,NA
1996,vor2,4,28,NA
1996,vor2,4,27,NA
1996,vor2,4,29,NA
1996,vor2,4,21,NA
