Year,Site,N_stone,Exposition,N,E,Core,Square,Juveniles_Alive,Juveniles_Dead,Adult_Alive,Adult_Dead
2012,East_site,1,Land,1.259,34.16,1,2,5,0,7,0
2012,East_site,1,Land,1.259,34.16,1,25,20,0,8,0
2012,East_site,1,Land,1.259,34.16,1,15,10,0,4,0
2012,East_site,1,Land,1.259,34.16,2,7,8,0,8,0
2012,East_site,1,Land,1.259,34.16,2,20,12,0,14,0
2012,East_site,1,Land,1.259,34.16,2,1,13,1,21,2
2012,East_site,1,Land,1.259,34.16,3,16,1,0,5,0
2012,East_site,1,Land,1.259,34.16,3,12,5,0,8,0
2012,East_site,1,Land,1.259,34.16,3,3,4,0,0,1
2012,East_site,1,Sea,1.259,34.16,1,1,9,1,0,0
2012,East_site,1,Sea,1.259,34.16,1,3,12,0,0,0
2012,East_site,1,Sea,1.259,34.16,1,7,6,0,0,0
2012,East_site,1,Sea,1.259,34.16,2,5,15,0,2,0
2012,East_site,1,Sea,1.259,34.16,2,20,3,0,9,0
2012,East_site,1,Sea,1.259,34.16,2,4,8,0,4,0
2012,East_site,1,Sea,1.259,34.16,3,16,2,0,0,0
2012,East_site,1,Sea,1.259,34.16,3,23,5,0,3,0
2012,East_site,1,Sea,1.259,34.16,3,15,6,0,4,0
2012,East_site,2,Land,1.282,34.175,1,11,4,0,5,0
2012,East_site,2,Land,1.282,34.175,1,25,0,0,5,0
2012,East_site,2,Land,1.282,34.175,1,17,0,0,5,0
2012,East_site,2,Land,1.282,34.175,2,2,38,0,0,1
2012,East_site,2,Land,1.282,34.175,2,4,2,0,7,0
2012,East_site,2,Land,1.282,34.175,2,20,3,0,3,0
2012,East_site,2,Land,1.282,34.175,3,7,0,0,5,0
2012,East_site,2,Land,1.282,34.175,3,23,4,0,1,0
2012,East_site,2,Land,1.282,34.175,3,6,0,0,5,1
2012,East_site,2,Sea,1.282,34.175,1,1,4,0,0,0
2012,East_site,2,Sea,1.282,34.175,1,4,5,0,0,0
2012,East_site,2,Sea,1.282,34.175,1,11,22,0,1,0
2012,East_site,2,Sea,1.282,34.175,2,5,10,0,9,0
2012,East_site,2,Sea,1.282,34.175,2,21,20,0,1,0
2012,East_site,2,Sea,1.282,34.175,2,15,0,0,13,0
2012,East_site,2,Sea,1.282,34.175,3,7,9,0,1,0
2012,East_site,2,Sea,1.282,34.175,3,6,4,0,6,0
2012,East_site,2,Sea,1.282,34.175,3,23,0,0,5,0
2012,East_site,3,Land,1.33,34.16,1,2,0,0,4,0
2012,East_site,3,Land,1.33,34.16,1,25,4,0,2,0
2012,East_site,3,Land,1.33,34.16,1,16,1,0,4,0
2012,East_site,3,Land,1.33,34.16,2,17,0,0,7,1
2012,East_site,3,Land,1.33,34.16,2,3,27,0,0,0
2012,East_site,3,Land,1.33,34.16,2,7,11,0,3,3
2012,East_site,3,Land,1.33,34.16,3,1,0,0,6,0
2012,East_site,3,Land,1.33,34.16,3,5,19,0,3,0
2012,East_site,3,Land,1.33,34.16,3,15,6,0,2,0
2012,East_site,3,Sea,1.33,34.16,1,3,21,1,0,0
2012,East_site,3,Sea,1.33,34.16,1,2,26,0,1,0
2012,East_site,3,Sea,1.33,34.16,1,12,0,0,6,0
2012,East_site,3,Sea,1.33,34.16,2,13,11,0,0,0
2012,East_site,3,Sea,1.33,34.16,2,4,18,0,0,0
2012,East_site,3,Sea,1.33,34.16,2,20,15,0,0,0
2012,East_site,3,Sea,1.33,34.16,3,5,22,0,0,0
2012,East_site,3,Sea,1.33,34.16,3,19,5,0,9,0
2012,East_site,3,Sea,1.33,34.16,3,1,0,0,10,1
2013,East_site,1,Land,1.259,34.16,1,24,2,0,9,0
2013,East_site,1,Land,1.259,34.16,1,1,2,0,10,0
2013,East_site,1,Land,1.259,34.16,1,23,0,0,7,0
2013,East_site,1,Land,1.259,34.16,2,3,0,0,14,0
2013,East_site,1,Land,1.259,34.16,2,2,0,0,13,0
2013,East_site,1,Land,1.259,34.16,2,11,1,0,5,0
2013,East_site,1,Land,1.259,34.16,3,24,2,0,13,0
2013,East_site,1,Land,1.259,34.16,3,10,4,0,7,0
2013,East_site,1,Land,1.259,34.16,3,3,4,0,10,0
2013,East_site,1,Sea,1.259,34.16,1,25,1,0,9,0
2013,East_site,1,Sea,1.259,34.16,1,18,1,1,10,0
2013,East_site,1,Sea,1.259,34.16,1,4,1,0,3,0
2013,East_site,1,Sea,1.259,34.16,2,5,0,0,2,0
2013,East_site,1,Sea,1.259,34.16,2,11,0,0,7,0
2013,East_site,1,Sea,1.259,34.16,2,15,0,0,0,0
2013,East_site,1,Sea,1.259,34.16,3,8,0,0,1,0
2013,East_site,1,Sea,1.259,34.16,3,3,0,0,0,0
2013,East_site,1,Sea,1.259,34.16,3,6,3,0,6,0
2013,East_site,2,Land,1.282,34.175,1,15,0,0,8,0
2013,East_site,2,Land,1.282,34.175,1,23,0,0,5,0
2013,East_site,2,Land,1.282,34.175,1,12,3,0,2,0
2013,East_site,2,Land,1.282,34.175,2,6,0,0,8,0
2013,East_site,2,Land,1.282,34.175,2,23,0,0,5,0
2013,East_site,2,Land,1.282,34.175,2,16,1,0,6,0
2013,East_site,2,Land,1.282,34.175,3,12,1,0,8,0
2013,East_site,2,Land,1.282,34.175,3,18,5,0,2,0
2013,East_site,2,Land,1.282,34.175,3,19,1,0,10,0
2013,East_site,2,Sea,1.282,34.175,1,10,3,0,6,0
2013,East_site,2,Sea,1.282,34.175,1,8,0,0,7,0
2013,East_site,2,Sea,1.282,34.175,1,6,0,0,11,0
2013,East_site,2,Sea,1.282,34.175,2,19,0,0,0,0
2013,East_site,2,Sea,1.282,34.175,2,5,0,0,0,0
