"ID","Species","Date","Region","Name","N_eggs","W_test","Value","Type"
"4400_2021","Гага обыкновенная",2021-06-13,"Северный архипелаг","Начальная",6,"A_45",45,"Angle"
"4401_2021","Гага обыкновенная",2021-06-13,"Северный архипелаг","Начальная",4,"A_90",90,"Angle"
"4402_2021","Гага обыкновенная",2021-06-13,"Северный архипелаг","Начальная",4,"A_15",15,"Angle"
"4403_2021","Гага обыкновенная",2021-06-13,"Северный архипелаг","Начальная",3,"A_45",45,"Angle"
"4404_2021","Гага обыкновенная",2021-06-13,"Северный архипелаг","Начальная",6,"A_75",75,"Angle"
"4408_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",4,"A_45",45,"Angle"
"4409_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",3,"A_90",90,"Angle"
"4411_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",2,"A_30",30,"Angle"
"4415_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",3,"A_90",90,"Angle"
"4423_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",6,"A_90",90,"Angle"
"4431_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",3,"A_0",0,"Angle"
"4442_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",4,"A_15",15,"Angle"
"4443_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",4,"A_15",15,"Angle"
"4445_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",5,"A_90",90,"Angle"
"4446_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",5,"A_90",90,"Angle"
"4447_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",5,"A_0",0,"Angle"
"4448_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",3,"A_0",0,"Angle"
"4449_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",5,"A_30",30,"Angle"
"4450_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",6,"A_90",90,"Angle"
"4452_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",5,"A_90",90,"Angle"
"4453_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",6,"A_60",60,"Angle"
"4454_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",3,"A_90",90,"Angle"
"4457_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",4,"A_30",30,"Angle"
"4459_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",5,"A_0",0,"Angle"
"4463_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",5,"A_90",90,"Angle"
"4464_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",2,"A_0",0,"Angle"
"4466_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",3,"A_60",60,"Angle"
"4467_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",4,"A_70",70,"Angle"
"4471_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",4,"A_90",90,"Angle"
"4473_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",4,"A_60",60,"Angle"
"4477_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",3,"A_75",75,"Angle"
"4481_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",2,"A_60",60,"Angle"
"4482_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",4,"A_60",60,"Angle"
"4489_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",4,"A_75",75,"Angle"
"4493_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",3,"A_90",90,"Angle"
"4495_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",1,"A_30",30,"Angle"
"4496_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",3,"A_30",30,"Angle"
"4498_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",3,"A_90",90,"Angle"
"4502_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",5,"A_60",60,"Angle"
"4504_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая Княжегубская",4,"A_80",80,"Angle"
"4525_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",4,"A_0",0,"Angle"
"4529_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",7,"A_90",90,"Angle"
"4533_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",3,"A_90",90,"Angle"
"4534_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",5,"A_60",60,"Angle"
"4535_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",5,"A_15",15,"Angle"
"4536_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",4,"A_90",90,"Angle"
"4537_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",1,"A_45",45,"Angle"
"4539_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",4,"A_60",60,"Angle"
"4540_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",5,"A_45",45,"Angle"
"4541_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",6,"A_90",90,"Angle"
"4542_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",6,"A_90",90,"Angle"
"4543_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",8,"A_90",90,"Angle"
"4544_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",5,"A_45",45,"Angle"
"4547_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",1,"A_0",0,"Angle"
"4548_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",5,"A_60",60,"Angle"
"4549_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",2,"A_0",0,"Angle"
"4550_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",2,"A_0",0,"Angle"
"4551_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",4,"A_45",45,"Angle"
"4553_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",5,"A_45",45,"Angle"
"4555_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",5,"A_90",90,"Angle"
"4557_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",6,"A_45",45,"Angle"
"4558_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",4,"A_15",15,"Angle"
"4560_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",4,"A_90",90,"Angle"
"4561_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",3,"A_30",30,"Angle"
"4562_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",4,"A_30",30,"Angle"
"4564_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",4,"A_30",30,"Angle"
"4569_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",3,"A_60",60,"Angle"
"4570_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",3,"A_60",60,"Angle"
"4571_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",5,"A_90",90,"Angle"
"4572_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",5,"A_90",90,"Angle"
"4573_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",5,"A_45",45,"Angle"
"4574_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",5,"A_80",80,"Angle"
"4581_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",5,"A_90",90,"Angle"
"4584_2021","Гага обыкновенная",2021-06-17,"Северный архипелаг","Седловатая",5,"A_0",0,"Angle"
"4595_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",3,"A_15",15,"Angle"
"4596_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",3,"A_0",0,"Angle"
"4597_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",3,"A_90",90,"Angle"
"4598_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",2,"A_0",0,"Angle"
"4599_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",2,"A_0",0,"Angle"
"4601_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_15",15,"Angle"
"4603_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",3,"A_0",0,"Angle"
"4604_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",5,"A_90",90,"Angle"
"4607_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_90",90,"Angle"
"4609_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_90",90,"Angle"
"4610_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_45",45,"Angle"
"4611_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",5,"A_60",60,"Angle"
"4612_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_60",60,"Angle"
"4613_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",3,"A_15",15,"Angle"
"4614_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_90",90,"Angle"
"4615_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",3,"A_90",90,"Angle"
"4616_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",3,"A_0",0,"Angle"
"4617_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",2,"A_0",0,"Angle"
"4618_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",3,"A_90",90,"Angle"
"4619_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",3,"A_45",45,"Angle"
"4621_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",3,"A_90",90,"Angle"
"4622_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",3,"A_90",90,"Angle"
"4624_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_60",60,"Angle"
"4626_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",3,"A_0",0,"Angle"
"4627_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",6,"A_90",90,"Angle"
"4628_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_45",45,"Angle"
"4629_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",2,"A_60",60,"Angle"
"4630_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",5,"A_90",90,"Angle"
"4631_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",3,"A_90",90,"Angle"
"4632_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",8,"A_0",0,"Angle"
"4633_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",2,"A_0",0,"Angle"
"4634_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_60",60,"Angle"
"4635_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_90",90,"Angle"
"4636_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_90",90,"Angle"
"4637_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",6,"A_45",45,"Angle"
"4638_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",5,"A_90",90,"Angle"
"4639_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",3,"A_90",90,"Angle"
"4640_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",10,"A_60",60,"Angle"
"4641_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_90",90,"Angle"
"4642_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",1,"A_90",90,"Angle"
"4643_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_90",90,"Angle"
"4644_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_90",90,"Angle"
"4645_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",3,"A_45",45,"Angle"
"4646_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",1,"A_0",0,"Angle"
"4648_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",1,"A_0",0,"Angle"
"4649_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",2,"A_90",90,"Angle"
"4650_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",5,"A_0",0,"Angle"
"4651_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_0",0,"Angle"
"4653_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",5,"A_0",0,"Angle"
"4654_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",5,"A_0",0,"Angle"
"4655_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",3,"A_90",90,"Angle"
"4657_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",3,"A_0",0,"Angle"
"4658_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",1,"A_90",90,"Angle"
"4659_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_90",90,"Angle"
"4660_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_0",0,"Angle"
"4661_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_90",90,"Angle"
"4662_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",1,"A_0",0,"Angle"
"4663_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",1,"A_0",0,"Angle"
"4665_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_90",90,"Angle"
"4666_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_45",45,"Angle"
"4667_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",5,"A_0",0,"Angle"
"4669_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",9,"A_90",90,"Angle"
"4670_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",6,"A_90",90,"Angle"
"4671_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",5,"A_0",0,"Angle"
"4672_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",5,"A_0",0,"Angle"
"4673_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",5,"A_90",90,"Angle"
"4674_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",3,"A_30",30,"Angle"
"4675_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",7,"A_45",45,"Angle"
"4676_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_90",90,"Angle"
"4678_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",5,"A_30",30,"Angle"
"4679_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",3,"A_0",0,"Angle"
"4681_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_60",60,"Angle"
"4682_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",5,"A_90",90,"Angle"
"4683_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",6,"A_0",0,"Angle"
"4684_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_0",0,"Angle"
"4685_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",5,"A_90",90,"Angle"
"4686_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",5,"A_0",0,"Angle"
"4687_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",6,"A_0",0,"Angle"
"4688_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",5,"A_0",0,"Angle"
"4689_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_90",90,"Angle"
"4690_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_90",90,"Angle"
"4691_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",5,"A_90",90,"Angle"
"4692_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",3,"A_90",90,"Angle"
"4694_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",5,"A_90",90,"Angle"
"4695_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_60",60,"Angle"
"4696_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_80",80,"Angle"
"4697_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",3,"A_0",0,"Angle"
"4698_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",3,"A_10",10,"Angle"
"4699_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_90",90,"Angle"
"4701_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_60",60,"Angle"
"4702_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_90",90,"Angle"
"4703_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_90",90,"Angle"
"4704_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",4,"A_60",60,"Angle"
"4705_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",5,"A_60",60,"Angle"
"4707_2021","Гага обыкновенная",2021-06-18,"Северный архипелаг","Ирвасиха",3,"A_80",80,"Angle"
"4709_2021","Гага обыкновенная",2021-06-21,"Северный архипелаг","Ломнишный Малый",6,"A_90",90,"Angle"
"4710_2021","Гага обыкновенная",2021-06-21,"Северный архипелаг","Ломнишный Малый",3,"A_90",90,"Angle"
"4713_2021","Гага обыкновенная",2021-06-21,"Северный архипелаг","Ломнишный Малый",6,"A_90",90,"Angle"
"4721_2021","Гага обыкновенная",2021-06-22,"Северный архипелаг","Анисимов",3,"A_60",60,"Angle"
"4723_2021","Гага обыкновенная",2021-06-22,"Северный архипелаг","Анисимов",5,"A_75",75,"Angle"
"4734_2021","Гага обыкновенная",2021-06-22,"Северный архипелаг","Анисимов",5,"A_15",15,"Angle"
"4739_2021","Гага обыкновенная",2021-06-22,"Северный архипелаг","Анисимов",2,"A_15",15,"Angle"
"4742_2021","Гага обыкновенная",2021-06-22,"Северный архипелаг","Анисимов",5,"A_90",90,"Angle"
"4744_2021","Гага обыкновенная",2021-06-23,"Северный архипелаг","Круглый",3,"A_15",15,"Angle"
"4745_2021","Гага обыкновенная",2021-06-23,"Северный архипелаг","Круглый",4,"A_90",90,"Angle"
"4746_2021","Гага обыкновенная",2021-06-23,"Северный архипелаг","Круглый",4,"A_90",90,"Angle"
"4747_2021","Гага обыкновенная",2021-06-23,"Северный архипелаг","Круглый",3,"A_15",15,"Angle"
"4748_2021","Гага обыкновенная",2021-06-23,"Северный архипелаг","Круглый",1,"A_0",0,"Angle"
"4752_2021","Гага обыкновенная",2021-06-23,"Северный архипелаг","Гульмаха Большая",5,"A_90",90,"Angle"
"4753_2021","Гага обыкновенная",2021-06-23,"Северный архипелаг","Гульмаха Большая",3,"A_15",15,"Angle"
"4755_2021","Гага обыкновенная",2021-06-23,"Северный архипелаг","Гульмаха Большая",4,"A_90",90,"Angle"
"4756_2021","Гага обыкновенная",2021-06-23,"Северный архипелаг","Гульмаха Большая",4,"A_15",15,"Angle"
"4757_2021","Гага обыкновенная",2021-06-23,"Северный архипелаг","Гульмаха Большая",5,"A_60",60,"Angle"
"4758_2021","Гага обыкновенная",2021-06-23,"Северный архипелаг","Гульмаха Большая",4,"A_0",0,"Angle"
"4767_2021","Гага обыкновенная",2021-06-24,"Северный архипелаг","Горелый",6,"A_90",90,"Angle"
"4768_2021","Гага обыкновенная",2021-06-24,"Северный архипелаг","Горелый",6,"A_45",45,"Angle"
"4769_2021","Гага обыкновенная",2021-06-24,"Северный архипелаг","Горелый",5,"A_90",90,"Angle"
