Date_Time;Object;Temperature
06.02.2023 0:04;Air;"5,5"
06.02.2023 0:09;Air;"5,4"
06.02.2023 0:14;Air;"5,3"
06.02.2023 0:19;Air;"5,4"
06.02.2023 0:24;Air;"5,3"
06.02.2023 0:29;Air;"5,3"
06.02.2023 0:34;Air;"5,3"
06.02.2023 0:39;Air;"5,3"
06.02.2023 0:44;Air;"5,2"
06.02.2023 0:49;Air;"5,2"
06.02.2023 0:54;Air;"5,2"
06.02.2023 0:59;Air;"5,1"
06.02.2023 1:04;Air;"5,1"
06.02.2023 1:09;Air;"5,1"
06.02.2023 1:14;Air;5
06.02.2023 1:19;Air;5
06.02.2023 1:24;Air;5
06.02.2023 1:29;Air;5
06.02.2023 1:34;Air;5
06.02.2023 1:39;Air;"4,9"
06.02.2023 1:44;Air;"4,9"
06.02.2023 1:49;Air;"4,9"
06.02.2023 1:54;Air;"4,9"
06.02.2023 1:59;Air;"4,8"
06.02.2023 2:04;Air;"4,8"
06.02.2023 2:09;Air;"4,9"
06.02.2023 2:14;Air;"4,8"
06.02.2023 2:19;Air;"4,8"
06.02.2023 2:24;Air;"4,8"
06.02.2023 2:29;Air;"4,7"
06.02.2023 2:34;Air;"4,7"
06.02.2023 2:39;Air;"4,7"
06.02.2023 2:44;Air;"4,7"
06.02.2023 2:49;Air;"4,7"
06.02.2023 2:54;Air;"4,6"
06.02.2023 2:59;Air;"4,6"
06.02.2023 3:04;Air;"4,6"
06.02.2023 3:09;Air;"4,6"
06.02.2023 3:14;Air;"4,5"
06.02.2023 3:19;Air;"4,5"
06.02.2023 3:24;Air;"4,5"
06.02.2023 3:29;Air;"4,5"
06.02.2023 3:34;Air;"4,5"
06.02.2023 3:39;Air;"4,4"
06.02.2023 3:44;Air;"4,4"
06.02.2023 3:49;Air;"4,4"
06.02.2023 3:54;Air;"4,4"
06.02.2023 3:59;Air;"4,4"
06.02.2023 4:04;Air;"4,3"
06.02.2023 4:09;Air;"4,3"
06.02.2023 4:14;Air;"4,3"
06.02.2023 4:19;Air;"4,3"
06.02.2023 4:24;Air;"4,3"
06.02.2023 4:29;Air;"4,3"
06.02.2023 4:34;Air;"4,2"
06.02.2023 4:39;Air;"4,2"
06.02.2023 4:44;Air;"4,2"
06.02.2023 4:49;Air;"4,2"
06.02.2023 4:54;Air;"4,2"
06.02.2023 4:59;Air;"4,2"
06.02.2023 5:04;Air;"4,2"
06.02.2023 5:09;Air;"4,2"
06.02.2023 5:14;Air;"4,2"
06.02.2023 5:19;Air;"4,2"
06.02.2023 5:24;Air;"4,2"
06.02.2023 5:29;Air;"4,2"
06.02.2023 5:34;Air;"4,2"
06.02.2023 5:39;Air;"4,2"
06.02.2023 5:44;Air;"4,2"
06.02.2023 5:49;Air;"4,2"
06.02.2023 5:54;Air;"4,3"
06.02.2023 5:59;Air;"4,3"
06.02.2023 6:04;Air;"4,3"
06.02.2023 6:09;Air;"4,3"
06.02.2023 6:14;Air;"4,3"
06.02.2023 6:19;Air;"4,3"
06.02.2023 6:24;Air;"4,3"
06.02.2023 6:29;Air;"4,3"
06.02.2023 6:34;Air;"4,3"
06.02.2023 6:39;Air;"4,4"
06.02.2023 6:44;Air;"4,4"
06.02.2023 6:49;Air;"4,4"
06.02.2023 6:54;Air;"4,4"
06.02.2023 6:59;Air;"4,4"
06.02.2023 7:04;Air;"4,5"
06.02.2023 7:09;Air;"4,5"
06.02.2023 7:14;Air;"4,5"
06.02.2023 7:19;Air;"4,5"
06.02.2023 7:24;Air;"4,5"
06.02.2023 7:29;Air;"4,5"
06.02.2023 7:34;Air;"4,6"
06.02.2023 7:39;Air;"4,6"
06.02.2023 7:44;Air;"4,6"
06.02.2023 7:49;Air;"4,6"
06.02.2023 7:54;Air;"4,6"
06.02.2023 7:59;Air;"4,6"
06.02.2023 8:04;Air;"4,7"
06.02.2023 8:09;Air;"4,8"
06.02.2023 8:14;Air;"4,8"
06.02.2023 8:19;Air;"4,8"
06.02.2023 8:24;Air;"4,8"
06.02.2023 8:29;Air;"4,9"
06.02.2023 8:34;Air;"4,9"
06.02.2023 8:39;Air;"4,9"
06.02.2023 8:44;Air;"4,9"
06.02.2023 8:49;Air;"4,9"
06.02.2023 8:54;Air;5
06.02.2023 8:59;Air;5
06.02.2023 9:04;Air;5
06.02.2023 9:09;Air;5
06.02.2023 9:14;Air;5
06.02.2023 9:19;Air;"5,1"
06.02.2023 9:24;Air;"5,1"
06.02.2023 9:29;Air;"5,1"
06.02.2023 9:34;Air;"5,2"
06.02.2023 9:39;Air;"5,2"
06.02.2023 9:44;Air;"5,3"
06.02.2023 9:49;Air;"5,3"
06.02.2023 9:54;Air;"5,3"
06.02.2023 9:59;Air;"5,3"
06.02.2023 10:04;Air;"5,4"
06.02.2023 10:09;Air;"5,4"
06.02.2023 10:14;Air;"5,4"
06.02.2023 10:19;Air;"5,5"
06.02.2023 10:24;Air;"5,5"
06.02.2023 10:29;Air;"5,5"
06.02.2023 10:34;Air;"5,6"
06.02.2023 10:39;Air;"5,6"
06.02.2023 10:44;Air;"5,6"
06.02.2023 10:49;Air;"5,6"
06.02.2023 10:54;Air;"5,7"
06.02.2023 10:59;Air;"5,7"
06.02.2023 11:04;Air;"5,7"
06.02.2023 11:09;Air;"5,7"
06.02.2023 11:14;Air;"5,7"
06.02.2023 11:19;Air;"5,7"
06.02.2023 11:24;Air;"5,8"
06.02.2023 11:29;Air;"5,8"
06.02.2023 11:34;Air;"5,8"
06.02.2023 11:39;Air;"5,8"
06.02.2023 11:44;Air;"5,9"
06.02.2023 11:49;Air;"5,9"
06.02.2023 11:54;Air;"5,9"
06.02.2023 11:59;Air;6
06.02.2023 12:04;Air;6
06.02.2023 12:09;Air;"6,1"
06.02.2023 12:14;Air;"6,1"
06.02.2023 12:19;Air;"6,1"
06.02.2023 12:24;Air;"6,1"
06.02.2023 12:29;Air;"6,2"
06.02.2023 12:34;Air;"6,2"
06.02.2023 12:39;Air;"6,2"
06.02.2023 12:44;Air;"6,3"
06.02.2023 12:49;Air;"6,4"
06.02.2023 12:54;Air;"6,4"
06.02.2023 12:59;Air;"6,4"
06.02.2023 13:04;Air;"6,6"
06.02.2023 13:09;Air;"6,6"
06.02.2023 13:14;Air;"6,6"
06.02.2023 13:19;Air;"6,6"
06.02.2023 13:24;Air;"6,7"
06.02.2023 13:29;Air;"6,7"
06.02.2023 13:34;Air;"6,7"
06.02.2023 13:39;Air;"6,7"
06.02.2023 13:44;Air;"6,7"
06.02.2023 13:49;Air;"6,7"
06.02.2023 13:54;Air;"6,7"
06.02.2023 13:59;Air;"6,7"
06.02.2023 14:04;Air;"6,8"
06.02.2023 14:09;Air;"6,8"
06.02.2023 14:14;Air;"6,8"
06.02.2023 14:19;Air;"6,8"
06.02.2023 14:24;Air;"6,8"
06.02.2023 14:29;Air;"6,9"
06.02.2023 14:34;Air;"6,9"
06.02.2023 14:39;Air;"6,9"
06.02.2023 14:44;Air;"6,9"
06.02.2023 14:49;Air;7
06.02.2023 14:54;Air;7
06.02.2023 14:59;Air;7
06.02.2023 15:04;Air;7
06.02.2023 15:09;Air;"7,1"
06.02.2023 15:14;Air;7
06.02.2023 15:19;Air;7
06.02.2023 15:24;Air;7
06.02.2023 15:29;Air;7
06.02.2023 15:34;Air;"7,1"
06.02.2023 15:39;Air;"7,1"
06.02.2023 15:44;Air;"7,2"
06.02.2023 15:49;Air;"7,3"
06.02.2023 15:54;Air;"7,3"
06.02.2023 15:59;Air;"7,3"
06.02.2023 16:04;Air;"7,3"
06.02.2023 16:09;Air;"7,4"
06.02.2023 16:14;Air;"7,4"
06.02.2023 16:19;Air;"7,4"
06.02.2023 16:24;Air;"7,4"
06.02.2023 16:29;Air;"7,4"
06.02.2023 16:34;Air;"7,4"
06.02.2023 16:39;Air;"7,4"
06.02.2023 16:44;Air;"7,3"
06.02.2023 16:49;Air;"7,3"
06.02.2023 16:54;Air;"7,3"
06.02.2023 16:59;Air;"7,3"
06.02.2023 17:04;Air;"7,2"
06.02.2023 17:09;Air;"7,2"
06.02.2023 17:14;Air;"7,1"
06.02.2023 17:19;Air;"7,1"
06.02.2023 17:24;Air;"7,1"
06.02.2023 17:29;Air;"7,1"
06.02.2023 17:34;Air;"7,1"
06.02.2023 17:39;Air;"7,1"
06.02.2023 17:44;Air;"7,1"
06.02.2023 17:49;Air;"7,1"
06.02.2023 17:54;Air;"7,1"
06.02.2023 17:59;Air;"7,1"
06.02.2023 18:04;Air;"7,1"
06.02.2023 18:09;Air;"7,1"
06.02.2023 18:14;Air;"7,1"
06.02.2023 18:19;Air;"7,1"
06.02.2023 18:24;Air;"7,1"
06.02.2023 18:29;Air;"7,1"
06.02.2023 18:34;Air;7
06.02.2023 18:39;Air;"6,9"
06.02.2023 18:44;Air;"6,9"
06.02.2023 18:49;Air;"6,9"
06.02.2023 18:54;Air;"6,9"
06.02.2023 18:59;Air;"6,8"
06.02.2023 19:04;Air;"6,8"
06.02.2023 19:09;Air;"6,8"
06.02.2023 19:14;Air;"6,8"
06.02.2023 19:19;Air;"6,8"
06.02.2023 19:24;Air;"6,8"
