Date_Time;Object;Temperature
06.02.2023 0:04;Water;"6,6"
06.02.2023 0:09;Water;"6,6"
06.02.2023 0:14;Water;"6,6"
06.02.2023 0:19;Water;"6,6"
06.02.2023 0:24;Water;"6,6"
06.02.2023 0:29;Water;"6,6"
06.02.2023 0:34;Water;"6,6"
06.02.2023 0:39;Water;"6,6"
06.02.2023 0:44;Water;"6,6"
06.02.2023 0:49;Water;"6,6"
06.02.2023 0:54;Water;"6,5"
06.02.2023 0:59;Water;"6,4"
06.02.2023 1:04;Water;"6,4"
06.02.2023 1:09;Water;"6,4"
06.02.2023 1:14;Water;"6,3"
06.02.2023 1:19;Water;"6,3"
06.02.2023 1:24;Water;"6,3"
06.02.2023 1:29;Water;"6,3"
06.02.2023 1:34;Water;"6,3"
06.02.2023 1:39;Water;"6,3"
06.02.2023 1:44;Water;"6,3"
06.02.2023 1:49;Water;"6,3"
06.02.2023 1:54;Water;"6,3"
06.02.2023 1:59;Water;"6,3"
06.02.2023 2:04;Water;"6,3"
06.02.2023 2:09;Water;"6,3"
06.02.2023 2:14;Water;"6,3"
06.02.2023 2:19;Water;"6,2"
06.02.2023 2:24;Water;"6,2"
06.02.2023 2:29;Water;"6,2"
06.02.2023 2:34;Water;"6,2"
06.02.2023 2:39;Water;"6,2"
06.02.2023 2:44;Water;"6,3"
06.02.2023 2:49;Water;"6,3"
06.02.2023 2:54;Water;"6,3"
06.02.2023 2:59;Water;"6,3"
06.02.2023 3:04;Water;"6,3"
06.02.2023 3:09;Water;"6,2"
06.02.2023 3:14;Water;"6,2"
06.02.2023 3:19;Water;"6,2"
06.02.2023 3:24;Water;"6,2"
06.02.2023 3:29;Water;"6,2"
06.02.2023 3:34;Water;"6,2"
06.02.2023 3:39;Water;"6,2"
06.02.2023 3:44;Water;"6,2"
06.02.2023 3:49;Water;"6,2"
06.02.2023 3:54;Water;"6,2"
06.02.2023 3:59;Water;"6,2"
06.02.2023 4:04;Water;"6,2"
06.02.2023 4:09;Water;"6,2"
06.02.2023 4:14;Water;"6,2"
06.02.2023 4:19;Water;"6,2"
06.02.2023 4:24;Water;"6,2"
06.02.2023 4:29;Water;"6,2"
06.02.2023 4:34;Water;"6,2"
06.02.2023 4:39;Water;"6,1"
06.02.2023 4:44;Water;"6,1"
06.02.2023 4:49;Water;"6,2"
06.02.2023 4:54;Water;"6,2"
06.02.2023 4:59;Water;"6,2"
06.02.2023 5:04;Water;"6,2"
06.02.2023 5:09;Water;"6,2"
06.02.2023 5:14;Water;"6,2"
06.02.2023 5:19;Water;"6,2"
06.02.2023 5:24;Water;"6,2"
06.02.2023 5:29;Water;"6,1"
06.02.2023 5:34;Water;"6,1"
06.02.2023 5:39;Water;"6,1"
06.02.2023 5:44;Water;"6,1"
06.02.2023 5:49;Water;"6,1"
06.02.2023 5:54;Water;"6,1"
06.02.2023 5:59;Water;"6,1"
06.02.2023 6:04;Water;"6,1"
06.02.2023 6:09;Water;"6,1"
06.02.2023 6:14;Water;"6,1"
06.02.2023 6:19;Water;"6,1"
06.02.2023 6:24;Water;"6,1"
06.02.2023 6:29;Water;"6,1"
06.02.2023 6:34;Water;"6,1"
06.02.2023 6:39;Water;"6,1"
06.02.2023 6:44;Water;"6,1"
06.02.2023 6:49;Water;"6,1"
06.02.2023 6:54;Water;"6,1"
06.02.2023 6:59;Water;"6,1"
06.02.2023 7:04;Water;"6,2"
06.02.2023 7:09;Water;"6,2"
