"Year","Season","Bank","Sample","L","Status","Number_of_crushed"
1996,"August","vor4","2",38,"alive",NA
1996,"August","vor4","2",31,"alive",NA
1996,"August","vor4","2",27,"alive",NA
1996,"August","vor4","2",25,"alive",NA
1996,"August","vor4","2",31,"alive",NA
1996,"August","vor4","2",30,"alive",NA
1996,"August","vor4","2",27,"alive",NA
1996,"August","vor4","2",34,"alive",NA
1996,"August","vor4","2",27,"alive",NA
1996,"August","vor4","2",32,"alive",NA
1996,"August","vor4","2",27,"alive",NA
1996,"August","vor4","2",28,"alive",NA
1996,"August","vor4","2",27,"alive",NA
1996,"August","vor4","2",36,"alive",NA
1996,"August","vor4","2",26,"alive",NA
1996,"August","vor4","2",26,"alive",NA
1996,"August","vor4","2",30,"alive",NA
1996,"August","vor4","2",26,"alive",NA
1996,"August","vor4","2",23,"alive",NA
1996,"August","vor4","2",28,"alive",NA
1996,"August","vor4","2",29,"alive",NA
1996,"August","vor4","2",33,"alive",NA
1996,"August","vor4","2",22,"alive",NA
1996,"August","vor4","2",21,"alive",NA
1996,"August","vor4","2",24,"alive",NA
1996,"August","vor4","2",22,"alive",NA
1996,"August","vor4","2",21,"alive",NA
1996,"August","vor4","2",24,"alive",NA
1996,"August","vor4","2",23,"alive",NA
1996,"August","vor4","2",24,"alive",NA
1996,"August","vor4","2",21,"alive",NA
1996,"August","vor4","2",20,"alive",NA
1996,"August","vor4","2",30,"alive",NA
1996,"August","vor4","2",30,"alive",NA
1996,"August","vor4","2",26,"alive",NA
1996,"August","vor4","2",23,"alive",NA
1996,"August","vor4","2",19,"alive",NA
1996,"August","vor4","2",25,"alive",NA
1996,"August","vor4","2",24,"alive",NA
1996,"August","vor4","2",20,"alive",NA
1996,"August","vor4","2",22,"alive",NA
1996,"August","vor4","2",22,"alive",NA
1996,"August","vor4","2",19,"alive",NA
1996,"August","vor4","2",9,"alive",NA
1996,"August","vor4","2",20,"alive",NA
1996,"August","vor4","2",17,"alive",NA
1996,"August","vor4","2",18,"alive",NA
1996,"August","vor4","2",17,"alive",NA
1996,"August","vor4","2",18,"alive",NA
1996,"August","vor4","2",13,"alive",NA
1996,"August","vor4","2",14,"alive",NA
1996,"August","vor4","2",16,"alive",NA
1996,"August","vor4","2",13,"alive",NA
1996,"August","vor4","2",10,"alive",NA
1996,"August","vor4","2",16,"alive",NA
1996,"August","vor4","2",17,"alive",NA
1996,"August","vor4","2",13,"alive",NA
1996,"August","vor4","2",10,"alive",NA
1996,"August","vor4","2",12,"alive",NA
1996,"August","vor4","2",9,"alive",NA
1996,"August","vor4","2",14,"alive",NA
1996,"August","vor4","2",15,"alive",NA
1996,"August","vor4","2",15,"alive",NA
1996,"August","vor4","2",7,"alive",NA
1996,"August","vor4","2",2,"alive",NA
1996,"August","vor4","2",9,"alive",NA
1996,"August","vor4","2",7,"alive",NA
1996,"August","vor4","2",6,"alive",NA
1996,"August","vor4","2",9,"alive",NA
1996,"August","vor4","2",9,"alive",NA
1996,"August","vor4","2",9,"alive",NA
1996,"August","vor4","2",14,"alive",NA
1996,"August","vor4","2",6,"alive",NA
1996,"August","vor4","2",7,"alive",NA
1996,"August","vor4","2",5,"alive",NA
1996,"August","vor4","2",12,"alive",NA
1996,"August","vor4","2",7,"alive",NA
1996,"August","vor4","2",9,"alive",NA
1996,"August","vor4","2",6,"alive",NA
1996,"August","vor4","2",8,"alive",NA
1996,"August","vor4","2",11,"alive",NA
1996,"August","vor4","2",10,"alive",NA
1996,"August","vor4","2",8,"alive",NA
1996,"August","vor4","2",6,"alive",NA
1996,"August","vor4","2",7,"alive",NA
1996,"August","vor4","2",6,"alive",NA
1996,"August","vor4","2",6,"alive",NA
1996,"August","vor4","2",5,"alive",NA
