sample_ID,pop_ID,species,location,edulis,trossulus,L,l,a,MorphotypE
GR210,CBSC,edulis,Cobscook Bay Smalls Cove,0.999985,0.000015,61.5,31.5,31.5,E
GR211,CBSC,trossulus,Cobscook Bay Smalls Cove,3.90E-05,0.999961,62.6,32.3,25.9,E
GR213,CBSC,edulis,Cobscook Bay Smalls Cove,0.999985,0.000015,60.3,29.8,0,T
GR215,CBSC,edulis,Cobscook Bay Smalls Cove,0.999986,0.000014,54.3,25.2,20.2,E
GR216,CBSC,edulis,Cobscook Bay Smalls Cove,0.999985,0.000015,51.6,25.4,22.7,E
GR217,CBSC,edulis,Cobscook Bay Smalls Cove,0.999981,0.000019,57.2,26.9,26.9,E
GR218,CBSC,trossulus,Cobscook Bay Smalls Cove,4.80E-05,0.999952,51.9,27.6,24.6,E
GR219,CBSC,edulis,Cobscook Bay Smalls Cove,0.99996,0.00004,57.4,29.7,27.4,E
GR220,CBSC,edulis,Cobscook Bay Smalls Cove,0.999984,0.000016,58.2,29.6,26.1,E
GR221,CBSC,edulis,Cobscook Bay Smalls Cove,0.999984,0.000016,56,28.4,28.4,E
GR222,CBSC,edulis,Cobscook Bay Smalls Cove,0.99998,0.00002,55.5,28.5,28.5,E
GR223,CBSC,edulis,Cobscook Bay Smalls Cove,0.999977,0.000023,62.2,31.4,31.4,E
GR224,CBSC,edulis,Cobscook Bay Smalls Cove,0.999974,0.000026,51.3,25.9,23.7,E
GR226,CBSC,trossulus,Cobscook Bay Smalls Cove,0.133858,0.866142,58.9,28.3,23.4,E
GR227,CBSC,edulis,Cobscook Bay Smalls Cove,0.999949,0.000051,26.6,26.9,26.9,E
GR230,CBSC,edulis,Cobscook Bay Smalls Cove,0.999979,0.000021,45.9,23.9,23.9,E
GR231,CBSC,edulis,Cobscook Bay Smalls Cove,0.999983,0.000017,58,31.2,31.2,E
GR232,CBSC,trossulus,Cobscook Bay Smalls Cove,9.70E-05,0.999903,56.9,28.1,24.2,E
GR248,CBCP,trossulus,Cobscook Bay Comstock Point,1.90E-05,0.999981,50.7,27.1,19.9,E
GR249,CBCP,edulis,Cobscook Bay Comstock Point,0.999959,0.000041,46.7,23.5,23.5,E
GR250,CBCP,trossulus,Cobscook Bay Comstock Point,2.30E-05,0.999977,44.6,28,24.7,E
GR251,CBCP,edulis,Cobscook Bay Comstock Point,0.999965,0.000035,46.1,27.5,26.7,E
GR252,CBCP,edulis,Cobscook Bay Comstock Point,0.999929,0.000071,50.1,28.5,28.5,E
GR253,CBCP,trossulus,Cobscook Bay Comstock Point,2.10E-05,0.999979,40.9,24.9,21.2,E
GR254,CBCP,edulis,Cobscook Bay Comstock Point,0.999963,0.000037,42.9,21.9,16.1,E
GR255,CBCP,trossulus,Cobscook Bay Comstock Point,1.80E-05,0.999982,48.6,25.6,18.1,E
GR256,CBCP,trossulus,Cobscook Bay Comstock Point,1.80E-05,0.999982,47.5,26.5,24,E
GR257,CBCP,edulis,Cobscook Bay Comstock Point,0.999964,0.000036,26.7,28.9,16.3,E
GR258,CBCP,trossulus,Cobscook Bay Comstock Point,1.80E-05,0.999982,46.8,29.3,23.2,E
GR259,CBCP,trossulus,Cobscook Bay Comstock Point,2.40E-05,0.999976,44.8,27.5,21.4,E
GR260,CBCP,edulis,Cobscook Bay Comstock Point,0.999948,0.000052,42.1,23.7,23.7,E
GR261,CBCP,trossulus,Cobscook Bay Comstock Point,2.00E-05,0.99998,49.8,27.1,27.1,E
GR262,CBCP,trossulus,Cobscook Bay Comstock Point,1.80E-05,0.999982,42.3,23.4,16.1,E
GR263,CBCP,edulis,Cobscook Bay Comstock Point,0.999962,0.000038,52.5,29.4,26.3,E
GR265,CBCP,edulis,Cobscook Bay Comstock Point,0.999936,0.000064,44.4,25.9,25.9,E
GR266,CBCP,trossulus,Cobscook Bay Comstock Point,1.80E-05,0.999982,46.1,24.4,20.8,E
GR267,CBCP,edulis,Cobscook Bay Comstock Point,0.999908,0.000092,54.9,33.7,31,E
GR268,CBCP,trossulus,Cobscook Bay Comstock Point,2.40E-05,0.999976,50.9,29.7,19.2,E
GR271,CBCP,trossulus,Cobscook Bay Comstock Point,0.271863,0.728137,45.3,25,20.9,E
GR272,CBCP,trossulus,Cobscook Bay Comstock Point,1.90E-05,0.999981,54.9,29.9,16.4,E
GR273,CBCP,trossulus,Cobscook Bay Comstock Point,4.00E-05,0.99996,47,25.3,20.1,E
GR274,CBCP,trossulus,Cobscook Bay Comstock Point,1.80E-05,0.999982,52.9,29.7,29.7,E
GR275,CBCP,trossulus,Cobscook Bay Comstock Point,2.80E-05,0.999972,48.8,25.6,15.2,E
GR277,CBCP,trossulus,Cobscook Bay Comstock Point,1.90E-05,0.999981,55,31.1,24.4,E
GR278,CBCP,edulis,Cobscook Bay Comstock Point,0.999961,0.000039,53.4,27.1,27.1,E
GR280,CBCP,trossulus,Cobscook Bay Comstock Point,2.00E-05,0.99998,55.6,31.9,23.4,E
GR281,CBCP,trossulus,Cobscook Bay Comstock Point,8.60E-05,0.999914,45.7,24.2,17.5,E
GR282,CBCP,trossulus,Cobscook Bay Comstock Point,2.00E-05,0.99998,46.8,24.1,21.4,E
GR283,CBCP,trossulus,Cobscook Bay Comstock Point,2.50E-05,0.999975,45.9,24.4,14.4,E
GR284,CBCP,trossulus,Cobscook Bay Comstock Point,7.50E-05,0.999925,52.9,26.9,24.3,E
GR285,CBCP,trossulus,Cobscook Bay Comstock Point,3.30E-05,0.999967,55.3,33.3,26.1,E
GR286,CBCP,trossulus,Cobscook Bay Comstock Point,3.30E-05,0.999967,43.3,24.6,23.8,E
GR287,CBCP,trossulus,Cobscook Bay Comstock Point,2.20E-05,0.999978,46.8,24.3,17,E
GR288,CBCP,trossulus,Cobscook Bay Comstock Point,2.20E-05,0.999978,52.7,29.3,23.7,E
GR289,CBCP,edulis,Cobscook Bay Comstock Point,0.99996,0.00004,46.9,26.6,26.6,E
GR290,CBCP,edulis,Cobscook Bay Comstock Point,0.999778,0.000222,41.1,21.2,21.2,E
GR291,CBCP,trossulus,Cobscook Bay Comstock Point,2.20E-05,0.999978,45.6,24.7,20.2,E
GR292,CBCP,edulis,Cobscook Bay Comstock Point,0.999838,0.000162,51.3,25.9,25.9,E
GR293,CBCP,trossulus,Cobscook Bay Comstock Point,2.70E-05,0.999973,41.5,22.4,20.1,E
GROR313,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999983,0.000017,57.4,38.9,37.9,E
GROR314,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999985,0.000015,74.9,44.5,44.5,E
