sample_ID,L,l,a,MorphotypE
REBL243,48.2,25.2,0,T
REBL242,52.5,24.4,0,T
REBL247,42.5,20.4,0,T
REBL229,42.3,20.4,0,T
REBL253,48,22.8,0,T
REBL231,51.2,24.9,0,T
REBL225,62.1,28.6,0,T
REBL235,43.9,22.7,0,T
REBL230,35.5,16.3,10.3,E
REBL240,54.8,26.4,0,T
REBL226,47.6,21.4,0,T
REBL223,44.6,22.2,0,T
REBL219,54.3,27.2,0,T
REBL241,53.3,23.7,0,T
REBL251,49.1,23.8,0,T
REBL216,43.2,20.1,14,E
REBL218,45,22.3,0,T
REBL217,42.4,20.8,13.8,E
REBL221,48.5,26.5,19,E
REBL233,46.3,24.7,20.2,E
REBL224,44.2,22.8,0,T
REBL222,53.8,25.4,0,T
REBL215,51.9,27.3,0,T
REBL248,47.3,22.2,0,T
REBL246,54,25.3,0,T
REBL244,45.9,22.3,0.96,E
REBL250,40.4,20.2,0.68,E
REBL249,51.5,24.8,0,T
REBL239,54.4,24.7,0,T
REBL245,63,28.9,28.9,E
REBL234,39.6,19.4,0,T
REBL227,53.7,29.1,29.1,E
REBL255,48.5,22.6,0,T
REBL214,47.1,23.6,0,T
REBL237,45.4,22.6,14.5,E
REBL232,58.4,30.4,0,T
GYO394,75.3,39.1,21.8,E
GYO387,71.2,39.5,24.7,E
GYO341,62.9,31.4,25.6,E
GYO388,81.8,41.5,32.6,E
GYO395,66.2,36.3,28.1,E
GYO385,79,41.1,32.9,E
GYO377,72.7,39.3,0,T
GYO396,78,40.1,31.2,E
GYO340,76.6,39.5,31.3,E
GYO392,71,42.5,31.8,E
GYO379,60.3,32.7,32.7,E
GYO390,71,40,24.9,E
GYO391,64.1,33.7,21.5,E
GYO398,62.3,43.6,35.8,E
GYO369,76.4,33.2,28.9,E
GYO380,44.4,22.4,14,E
GYO368,81,35.9,29.6,E
GYO389,68.7,39,29.9,E
GYO378,69.4,35.2,24.6,E
GYO383,71.4,36.9,31.4,E
GYO371,78.5,43.4,41.6,E
GYO397,77.8,39.8,34.9,E
GYO370,78.6,42.9,33.7,E
GYO381,81.4,43.9,36.5,E
GYO374,43.1,26,26,E
GYO376,71.4,36.8,24.4,E
GYO382,71.6,35.4,27.6,E
GYO338,87.8,45.4,36.2,E
GYO372,77.5,41.1,28,E
GYO375,71.7,38.2,0,T
GYO393,79.3,44.7,33.5,E
GYO373,78.2,41.4,35.3,E
GR287,46.8,24.3,17,E
GR285,55.3,33.3,26.1,E
GR281,45.7,24.2,17.5,E
GR249,46.7,23.5,23.5,E
GR253,40.9,24.9,21.2,E
GR284,52.9,26.9,24.3,E
GR290,41.1,21.2,21.2,E
GR293,41.5,22.4,20.1,E
