sea,dataset,sal_place,sal_place2,place,pop,pop_sub,dat_sub,substrate,horizont,str,size,age,ind,sal_low,sens,spec
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.026,16.1,3,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.02,16.9,4,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.226,18.5,4,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.036,19,4,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.021,22.1,5,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.021,23.8,4,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.021,24.2,4,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.335,24.3,5,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.095,24.8,5,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.021,25.2,4,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.138,25.6,5,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.021,26.5,4,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.037,28.1,5,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.021,30,5,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.028,32.5,5,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.022,33.5,5,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.026,37.7,6,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.021,41.2,7,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.022,43.9,7,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.027,45.8,10,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.021,46.5,8,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.02,47.9,8,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.021,48.1,10,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.021,53.7,9,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.096,53.7,13,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.021,55,10,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.027,55,11,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.021,58.7,10,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.021,63,10,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.021,73.7,13,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.021,13.6,2,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.979,15.3,3,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.021,16,3,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.294,17.5,4,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.977,20.5,4,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.979,22.2,5,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.022,25.9,5,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.134,29.2,6,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.909,30.1,5,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.889,32.9,6,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.021,39.3,6,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.096,40.4,6,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.021,42.2,9,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_ba,yes,algae,intertidal,0.908,45.1,10,1,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.021,11.1,3,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.027,11.9,3,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.021,12.2,3,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.036,12.5,3,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.295,12.8,4,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.265,13,3,0,30,0.875,0.7125
barents,testing,normal,coast,dz,dz_banka,dz_bb,yes,bottom,intertidal,0.021,13.2,3,0,30,0.875,0.7125
