Sample,ID,N_dots,Morphotype
Kuz3,1,8,E
Kuz3,2,2,E
Kuz3,3,25,E
Kuz3,4,14,E
Kuz3,5,24,E
Kuz3,6,33,E
Kuz3,7,2,E
Kuz3,8,19,E
Kuz3,9,11,E
Kuz3,10,23,E
Kuz3,11,25,E
Kuz3,12,0,E
Kuz3,13,24,E
Kuz3,14,64,E
Kuz3,15,194,E
Kuz3,16,1,E
Kuz3,17,7,E
Kuz3,18,102,E
Kuz3,19,22,E
Kuz3,20,34,E
Kuz3,21,6,E
Kuz3,22,16,E
Kuz3,23,3,E
Kuz3,24,12,E
Kuz3,25,4,E
Kuz3,26,18,E
Kuz3,27,17,E
Kuz3,28,30,E
Kuz3,29,22,E
Kuz3,30,8,E
Kuz3,31,10,E
Kuz3,32,51,E
Kuz3,33,25,E
Kuz3,34,44,E
Kuz3,35,20,E
Kuz3,36,2,E
Kuz3,37,12,E
Kuz3,38,27,E
Kuz3,39,14,E
Kuz3,40,28,E
Kuz3,41,25,E
Kuz3,42,8,E
Kuz3,43,16,E
Kuz3,44,11,E
Kuz3,45,34,E
Kuz3,46,4,E
Kuz3,47,12,E
Kuz3,48,10,E
Kuz3,49,8,E
Kuz3,50,27,E
Kuz3,51,18,E
Kuz3,52,4,E
Kuz3,53,8,E
Kuz3,54,16,E
Kuz3,55,7,E
Kuz3,56,28,E
Kuz3,57,19,E
Kuz3,58,0,E
Kuz3,59,11,E
Kuz3,60,7,E
Kuz3,61,4,E
Kuz3,62,14,E
Kuz3,63,2,E
Kuz3,64,0,E
Kuz3,65,4,E
Kuz3,66,15,E
Kuz3,67,7,E
Kuz3,68,9,E
Kuz3,69,30,E
Kuz3,70,7,E
Kuz3,71,5,E
Kuz3,72,0,E
Kuz3,73,21,E
Kuz3,74,21,E
Kuz3,75,13,E
Kuz3,76,1,E
Kuz3,77,21,E
Kuz3,78,21,E
Kuz3,79,1,E
Kuz3,80,3,E
Kuz3,81,21,E
Kuz3,82,17,E
Kuz3,83,8,E
Kuz3,84,3,E
Kuz3,85,7,E
Kuz1,1,15,E
Kuz1,2,14,E
Kuz1,3,14,E
Kuz1,4,20,E
Kuz1,5,70,E
Kuz1,6,16,E
Kuz1,7,0,E
Kuz1,8,11,E
Kuz1,9,1,E
Kuz1,10,41,E
Kuz1,11,4,E
Kuz1,12,5,E
Kuz1,13,7,E
Kuz1,14,4,E
Kuz1,15,71,E
Kuz1,16,8,E
Kuz1,17,80,E
Kuz1,18,22,E
Kuz1,19,7,E
Kuz1,20,9,E
Kuz1,21,23,E
Kuz1,22,14,E
Kuz1,23,5,E
Kuz1,24,9,E
Kuz1,25,2,E
Kuz1,26,19,E
Kuz1,27,15,E
