Sample,Discription,Lat,Lon
Buytred 1,Буй 19,67.00343333,32.55425
Buytred 2,Буй 20,67.00255,32.5508
Buytred 3,Буй 14,66.9806,32.57553333
Buytred 4,Буй 13 ,66.98101667,32.57916667
Buytred 5,Буй 13.14,66.97805,32.5695
Buytred 6,Первая Поперечная,66.98391667,32.58553333
Buytred 7,"Буй 19, 20",67.00078333,32.54333333
Buytred 8,Западный берег о.Ряшков,67.00471667,32.56206667
Buytred 9,Буй 40,67.0715,32.38216667
Buytred 10,"о.Олений, сбор с фукоидов",67.07553333,32.41138333
Buytred 11,"о.Глов, сбор с фукоидов",67.0598,32.39273333
Buytred 12,Буй 38,67.06575,32.4199
Buytred 13,Буй 35 ,67.06675,32.59866667
Buytred 14,Буй 12,66.97018333,32.58638333
Buytred 15,Сбор с фукоидов,66.97126667,32.57395
Buytred 16,Буй 6,66.94798333,32.61233333
Buytred 17,Буй 5,66.94888333,32.61643333
Buytred 18,Буй 7,66.95446667,32.60886667
Buytred 19,Буй 8,66.95371667,32.60416667
Buytred 20,Буй 32,67.04135,32.47105
Buytred 21,Буй 22,67.04303333,32.47345
Buytred 22,Буй 30,67.03663333,32.48248333
Kuz1,Kuzreka,66.60283889,34.80873333
Kuz3,Kuzreka,66.60283889,34.80873333
