"","species","Lat","Lon","Temp","Sal"
"1","Acartia bifilosa",51.22835,2.9518,12.352328,34.201191
"2","Acartia bifilosa",59.928587,23.387347,7.812291,6.444204
"3","Acartia bifilosa",59.852,23.27,7.598885,6.456528
"4","Acartia bifilosa",66.88,32.43,3.257857,29.058445
"5","Acartia bifilosa",60.09,21.71,7.267964,6.716879
"6","Acartia bifilosa",45.4216,-0.89307,15.437107,35.095551
"7","Acartia bifilosa",44.979852,-65.806016,6.579347,32.648617
"8","Acartia bifilosa",58.8029999991648,17.62533,6.720625,6.68803
"9","Acartia bifilosa",58.5833299991615,18.23333,3.002038,10.691505
"10","Acartia bifilosa",56.6666699991345,12.11667,8.986888,34.545261
"11","Acartia bifilosa",58.8031699991648,17.62533,6.720625,6.68803
"12","Acartia bifilosa",55.249999999117,15.98333,4.700901,10.59171
"13","Acartia bifilosa",56.3708299991307,16.20167,8.068979,8.361973
"14","Acartia bifilosa",54.9999999991142,14.08333,8.141903,8.822933
"15","Acartia bifilosa",57.3333299991434,20.05,3.004346,10.815009
"16","Acartia bifilosa",62.654169999231,18.952,2.499454,10.61981
"17","Acartia bifilosa",63.5071699992476,19.7985,5.448203,5.359873
"18","Acartia bifilosa",62.653169999231,18.95233,2.499454,10.61981
"19","Acartia bifilosa",62.1004999992206,18.55067,2.818004,6.139409
"20","Acartia bifilosa",62.1003299992206,18.54783,2.818004,6.139409
"21","Acartia bifilosa",62.654669999231,18.96533,2.499454,10.61981
"22","Acartia bifilosa",64.7083299992721,22.06633,2.570104,10.323195
"23","Acartia bifilosa",63.5078299992476,19.79733,5.448203,5.359873
"24","Acartia bifilosa",57.3149999991432,19.91,3.006689,10.814529
"25","Acartia bifilosa",63.5001699992475,19.81867,5.448203,5.359873
"26","Acartia bifilosa",63.524999999248,19.80817,5.448203,5.359873
"27","Acartia bifilosa",58.2749999991569,10.51333,6.663638,35.126244
"28","Acartia bifilosa",58.8033299991648,17.62367,6.720625,6.68803
"29","Acartia bifilosa",62.652999999231,18.9535,2.499454,10.61981
"30","Acartia bifilosa",63.4996699992475,19.81933,4.553736,5.455514
"31","Acartia bifilosa",65.1664999992818,23.23317,2.576512,6.304968
"32","Acartia bifilosa",63.4996699992475,19.819,4.553736,5.455514
"33","Acartia bifilosa",56.9399999991381,12.21167,9.674706,31.799595
"34","Acartia bifilosa",58.2583299991566,11.43333,9.791713,31.960474
"35","Acartia bifilosa",63.5246699992479,19.808,5.448203,5.359873
"36","Acartia bifilosa",62.652829999231,18.95183,2.499454,10.61981
"37","Acartia bifilosa",62.0996699992206,18.54917,2.818004,6.139409
"38","Acartia bifilosa",62.863669999235,18.26383,5.729694,5.481621
"39","Acartia bifilosa",62.863669999235,18.264,5.729694,5.481621
"40","Acartia bifilosa",62.863669999235,18.26467,5.729694,5.481621
"41","Acartia bifilosa",62.863669999235,18.26333,5.729694,5.481621
"42","Acartia bifilosa",62.863829999235,18.26383,5.729694,5.481621
"43","Acartia bifilosa",62.863669999235,18.2635,5.729694,5.481621
"44","Acartia bifilosa",62.862669999235,18.2675,5.729694,5.481621
"45","Acartia bifilosa",62.653499999231,18.95183,2.499454,10.61981
"46","Acartia bifilosa",62.652999999231,18.95283,2.499454,10.61981
"47","Acartia bifilosa",64.7076699992721,22.06567,2.570104,10.323195
"48","Acartia bifilosa",63.4999999992475,19.81917,4.553736,5.455514
"49","Acartia bifilosa",62.863829999235,18.26183,5.729694,5.481621
"50","Acartia bifilosa",62.0984999992206,18.5475,2.818004,6.139409
"51","Acartia bifilosa",63.5246699992479,19.80867,5.448203,5.359873
"52","Acartia bifilosa",62.1001699992206,18.54933,2.818004,6.139409
"53","Acartia bifilosa",64.7084999992721,22.06583,2.570104,10.323195
"54","Acartia bifilosa",63.4999999992475,19.8185,4.553736,5.455514
"55","Acartia bifilosa",62.864829999235,18.26383,5.729694,5.481621
"56","Acartia bifilosa",63.4994999992475,19.81917,4.553736,5.455514
"57","Acartia bifilosa",63.5248299992479,19.80733,5.448203,5.359873
"58","Acartia bifilosa",62.652829999231,18.95217,2.499454,10.61981
"59","Acartia bifilosa",62.0996699992206,18.548,2.818004,6.139409
