"","species","Lat","Lon"
"1","Daphnia galeata",40.439932,-74.72421
"2","Daphnia galeata",60.987341,-150.427545
"3","Daphnia galeata",63.345511,10.571453
"4","Daphnia galeata",55.701179,37.955606
"5","Daphnia galeata",63.300829,9.824403
"6","Daphnia galeata",63.23063,9.758463
"7","Daphnia galeata",63.387501,10.548733
"8","Daphnia galeata",63.370039,10.585793
"9","Daphnia galeata",63.229427,9.75857
"10","Daphnia galeata",55.694667,37.657145
"11","Daphnia galeata",63.013251,9.71787
"12","Daphnia galeata",62.725188,10.958899
"13","Daphnia galeata",63.301958,9.824296
"14","Daphnia galeata",53.283793,49.11448
"15","Daphnia galeata",47.854541,15.056175
"16","Daphnia galeata",60.833372,10.948001
"17","Daphnia galeata",60.651428,11.101658
"18","Daphnia galeata",55.903726,48.727289
"19","Daphnia galeata",60.347672,9.634163
"20","Daphnia galeata",58.75696,5.76594
"21","Daphnia galeata",58.75755,5.771039
"22","Daphnia galeata",58.75653,5.76569
"23","Daphnia galeata",60.163977,9.733918
"24","Daphnia galeata",60.325028,9.668546
"25","Daphnia galeata",61.919783,11.622304
"26","Daphnia galeata",69.662407,24.108376
"27","Daphnia galeata",60.372412,9.631287
"28","Daphnia galeata",64.619487,12.149937
"29","Daphnia galeata",69.1933,22.725501
"30","Daphnia galeata",69.157281,22.726384
"31","Daphnia galeata",69.099127,22.806828
"32","Daphnia galeata",63.2604,10.8102
"33","Daphnia galeata",60.156533,9.643337
"34","Daphnia galeata",69.106557,19.117823
"35","Daphnia galeata",61.963012,11.540091
"36","Daphnia galeata",59.684425,7.445353
"37","Daphnia galeata",59.679408,7.446489
"38","Daphnia galeata",63.234137,9.659916
"39","Daphnia galeata",69.318699,18.368098
"40","Daphnia galeata",69.599255,24.224586
"41","Daphnia galeata",69.662378,24.204411
"42","Daphnia galeata",69.612717,24.129949
"43","Daphnia galeata",69.11055,22.83862
"44","Daphnia galeata",69.692341,24.294112
"45","Daphnia galeata",69.71521,24.169985
"46","Daphnia galeata",47.630001,9.39
"47","Daphnia galeata",63.402559,10.317427
"48","Daphnia galeata",69.61682,30.696537
"49","Daphnia galeata",68.92,20.200001
"50","Daphnia galeata",60.338725,9.617986
"51","Daphnia galeata",68.917405,20.181183
"52","Daphnia galeata",60.122024,9.770577
"53","Daphnia galeata",69.086485,22.844073
"54","Daphnia galeata",68.987114,19.614171
"55","Daphnia galeata",69.12049,19.127077
"56","Daphnia galeata",69.130028,19.006647
"57","Daphnia galeata",69.553608,30.585359
"58","Daphnia galeata",69.0117,19.601501
"59","Daphnia galeata",60.369216,9.608053
"60","Daphnia galeata",60.470001,11.18
"61","Daphnia galeata",69.138661,22.777064
"62","Daphnia galeata",60.213939,9.630304
"63","Daphnia galeata",69.094463,19.113127
"64","Daphnia galeata",69.618983,24.305948
"65","Daphnia galeata",69.655078,24.323472
"66","Daphnia galeata",60.249571,9.616988
"67","Daphnia galeata",69.698379,24.111072
"68","Daphnia galeata",69.107113,19.044997
"69","Daphnia galeata",69.137212,19.055015
"70","Daphnia galeata",68.91537,20.17918
"71","Daphnia galeata",69.676127,24.266542
"72","Daphnia galeata",68.494368,19.69529
"73","Daphnia galeata",69.122106,19.084832
"74","Daphnia galeata",69.695246,24.248053
"75","Daphnia galeata",59.817005,11.18988
"76","Daphnia galeata",64.578564,12.222597
"77","Daphnia galeata",61.4266,6.0286
"78","Daphnia galeata",61.42897,6.010597
"79","Daphnia galeata",64.585304,12.246764
"80","Daphnia galeata",61.846313,9.352849
"81","Daphnia galeata",61.432649,6.033095
"82","Daphnia galeata",63.623186,11.209875
"83","Daphnia galeata",61.808251,9.080946
"84","Daphnia galeata",61.807309,9.08111
"85","Daphnia galeata",63.16956,10.17096
"86","Daphnia galeata",63.322877,9.667775
"87","Daphnia galeata",61.845031,9.349081
"88","Daphnia galeata",63.622563,11.181035
"89","Daphnia galeata",63.168615,10.163868
"90","Daphnia galeata",63.318595,9.674771
"91","Daphnia galeata",62.687545,10.815242
"92","Daphnia galeata",61.8456,9.353299
"93","Daphnia galeata",61.806831,9.07888
"94","Daphnia galeata",62.395451,10.418671
"95","Daphnia galeata",62.58755,11.4088
"96","Daphnia galeata",62.64985,11.87141
"97","Daphnia galeata",62.30788,11.27428
"98","Daphnia galeata",60.6921,8.3921
"99","Daphnia galeata",60.870579,10.698659
"100","Daphnia galeata",59.7077,11.230716
"101","Daphnia galeata",60.96065,10.663421
"102","Daphnia galeata",60.743905,10.827005
"103","Daphnia galeata",60.758313,11.077976
"104","Daphnia galeata",60.595043,11.206353
"105","Daphnia galeata",60.871846,10.899346
"106","Daphnia galeata",61.1467,10.7164
"107","Daphnia galeata",61.177772,10.716283
"108","Daphnia galeata",61.207906,10.769245
"109","Daphnia galeata",61.01808,10.70721
"110","Daphnia galeata",61.15926,10.841498
"111","Daphnia galeata",60.989749,10.775497
"112","Daphnia galeata",61.133403,10.867829
"113","Daphnia galeata",35.25,136.070007
"114","Daphnia galeata",60.398243,11.226657
"115","Daphnia galeata",58.318921,7.679732
"116","Daphnia galeata",62.052275,11.872603
"117","Daphnia galeata",60.043191,10.06076
"118","Daphnia galeata",59.99228,10.25465
"119","Daphnia galeata",60.052032,10.277995
"120","Daphnia galeata",62.11364,11.8829
"121","Daphnia galeata",64.7695,13.6199
"122","Daphnia galeata",62.414288,11.886152
"123","Daphnia galeata",61.920826,11.922869
"124","Daphnia galeata",62.147756,11.788522
"125","Daphnia galeata",62.006731,11.929081
"126","Daphnia galeata",62.306743,11.911202
"127","Daphnia galeata",62.070967,11.817096
"128","Daphnia galeata",66.053358,13.387267
"129","Daphnia galeata",66.054819,13.395722
"130","Daphnia galeata",66.056681,13.402231
"131","Daphnia galeata",60.162384,11.966775
"132","Daphnia galeata",64.88492,13.55305
"133","Daphnia galeata",62.223802,11.949215
"134","Daphnia galeata",62.359919,11.982285
"135","Daphnia galeata",62.127378,11.712257
"136","Daphnia galeata",63.24131,11.0414
"137","Daphnia galeata",63.27511,11.07671
"138","Daphnia galeata",63.27701,10.66762
"139","Daphnia galeata",63.21944,10.96715
"140","Daphnia galeata",60.08202,10.11345
"141","Daphnia galeata",59.996865,10.282699
"142","Daphnia galeata",59.9954,10.041435
"143","Daphnia galeata",59.898323,10.308709
"144","Daphnia galeata",59.977245,10.266041
"145","Daphnia galeata",60.014215,10.162507
"146","Daphnia galeata",62.543049,11.445878
"147","Daphnia galeata",62.543561,11.443235
"148","Daphnia galeata",60.3662,10.386941
"149","Daphnia galeata",59.646295,9.949233
"150","Daphnia galeata",38.93,-1.11
"151","Daphnia galeata",52.930423,-3.696689
"152","Daphnia galeata",59.016863,9.488446
"153","Daphnia galeata",59.9498,41.3207
"154","Daphnia galeata",59.044559,-3.316717
"155","Daphnia galeata",57.167882,-3.705726
"156","Daphnia galeata",-35.454756,138.772152
"157","Daphnia galeata",31.02,121.43
"158","Daphnia galeata",-35.57826,139.0856
"159","Daphnia galeata",39.22,-0.72
"160","Daphnia galeata",31.15,120.42
"161","Daphnia galeata",31.15,120.419998
"162","Daphnia galeata",61.365782,9.186465
"163","Daphnia galeata",54.574835,-3.134649
"164","Daphnia galeata",54.538646,-3.15992
"165","Daphnia galeata",50.648331,-3.692339
"166","Daphnia galeata",66.067413,13.41603
"167","Daphnia galeata",62.941345,11.824084
"168","Daphnia galeata",65.920011,13.387072
"169","Daphnia galeata",56.472921,-4.289769
"170","Daphnia galeata",56.237471,-4.430616
"171","Daphnia galeata",63.378184,10.408192
"172","Daphnia galeata",63.380038,10.402281
"173","Daphnia galeata",63.380974,10.398326
"174","Daphnia galeata",63.376882,10.404843
"175","Daphnia galeata",63.378075,10.395744
"176","Daphnia galeata",63.377513,10.401561
"177","Daphnia galeata",54.347102,-3.074519
"178","Daphnia galeata",52.657288,6.680595
"179","Daphnia galeata",51.496236,-0.178375
"180","Daphnia galeata",63.052666,9.968416
"181","Daphnia galeata",63.181008,10.088069
"182","Daphnia galeata",65.50876,14.274706
"183","Daphnia galeata",66.048449,13.38729
"184","Daphnia galeata",65.503064,14.212182
"185","Daphnia galeata",63.170129,10.216396
"186","Daphnia galeata",65.510491,14.261685
"187","Daphnia galeata",65.521659,14.221394
"188","Daphnia galeata",62.238309,10.007713
"189","Daphnia galeata",65.532521,14.183162
"190","Daphnia galeata",63.180356,10.08419
"191","Daphnia galeata",65.512058,14.216235
"192","Daphnia galeata",62.238551,10.012763
"193","Daphnia galeata",60.794513,10.203319
"194","Daphnia galeata",53.488731,-2.541771
"195","Daphnia galeata",63.28164,10.471472
"196","Daphnia galeata",63.278801,10.466462
"197","Daphnia galeata",63.281158,10.471248
"198","Daphnia galeata",63.281355,10.469815
"199","Daphnia galeata",51.953351,4.498378
"200","Daphnia galeata",51.950003,4.479039
"201","Daphnia galeata",51.935914,4.515316
"202","Daphnia galeata",53.127621,6.694442
"203","Daphnia galeata",52.675743,6.769063
"204","Daphnia galeata",52.71414,7.038488
"205","Daphnia galeata",51.978841,4.562385
"206","Daphnia galeata",51.98256,4.573685
"207","Daphnia galeata",63.40012,8.77683
"208","Daphnia galeata",52.152777,5.07913
"209","Daphnia galeata",52.217856,4.952454
"210","Daphnia galeata",52.227296,4.962988
"211","Daphnia galeata",52.144619,5.094249
"212","Daphnia galeata",52.141644,5.087154
"213","Daphnia galeata",52.24843,4.95157
"214","Daphnia galeata",52.148859,5.076016
"215","Daphnia galeata",52.613335,6.540194
"216","Daphnia galeata",63.449158,11.887581
"217","Daphnia galeata",63.459632,12.006375
"218","Daphnia galeata",63.078918,12.027162
"219","Daphnia galeata",63.093667,11.989572
"220","Daphnia galeata",52.162348,5.118949
"221","Daphnia galeata",63.460578,11.995632
"222","Daphnia galeata",63.454168,11.914679
"223","Daphnia galeata",69.286147,17.825503
"224","Daphnia galeata",52.270293,5.082112
"225","Daphnia galeata",52.294285,5.125072
"226","Daphnia galeata",52.289678,5.11481
"227","Daphnia galeata",52.218601,5.081002
"228","Daphnia galeata",52.271771,5.060316
"229","Daphnia galeata",52.306725,5.109706
"230","Daphnia galeata",52.234516,5.080234
"231","Daphnia galeata",52.272394,5.088441
"232","Daphnia galeata",52.237734,5.094325
"233","Daphnia galeata",52.285938,5.130441
"234","Daphnia galeata",52.244799,5.098393
"235","Daphnia galeata",52.227296,5.062369
"236","Daphnia galeata",51.504577,4.319909
"237","Daphnia galeata",38.6,-0.11
"238","Daphnia galeata",51.555759,4.31366
"239","Daphnia galeata",64.329074,10.860097
"240","Daphnia galeata",64.456504,10.919431
"241","Daphnia galeata",52.82,98.099998
"242","Daphnia galeata",62.844555,10.019381
"243","Daphnia galeata",54.279999,82.230003
"244","Daphnia galeata",63.037364,11.696315
"245","Daphnia galeata",63.008189,11.787763
"246","Daphnia galeata",63.155384,10.109758
"247","Daphnia galeata",52.245663,4.925841
"248","Daphnia galeata",52.30672,4.996658
"249","Daphnia galeata",50.590848,5.194518
"250","Daphnia galeata",50.585716,5.193063
"251","Daphnia galeata",50.592815,5.184302
"252","Daphnia galeata",50.585639,5.231524
"253","Daphnia galeata",50.585513,5.194836
"254","Daphnia galeata",50.585553,5.192678
"255","Daphnia galeata",50.58269,5.180147
"256","Daphnia galeata",50.590233,5.200787
"257","Daphnia galeata",50.590904,5.193043
"258","Daphnia galeata",50.590297,5.20107
"259","Daphnia galeata",50.583992,5.193073
"260","Daphnia galeata",50.590233,5.192951
"261","Daphnia galeata",50.58589,5.191456
"262","Daphnia galeata",50.585025,5.194994
"263","Daphnia galeata",50.584772,5.193797
"264","Daphnia galeata",50.584305,5.193227
"265","Daphnia galeata",51.954717,4.488851
