"","species","Lat","Lon","Temp","Sal"
"1","Acanthocyclops capillatus",58.183025,8.028536,8.660345,34.717651
"2","Acanthocyclops capillatus",58.18612,8.021293,8.660345,34.717651
"3","Acanthocyclops capillatus",58.188912,8.029008,8.660345,34.717651
"4","Acanthocyclops capillatus",63.422241,10.348524,6.89156,35.173698
"5","Acanthocyclops capillatus",69.694675,30.364056,5.449779,34.588417
"6","Acanthocyclops capillatus",69.694529,30.362897,5.449779,34.588417
"7","Acanthocyclops capillatus",58.310589,6.495274,7.153983,35.108398
"8","Acanthocyclops capillatus",58.409836,8.604971,8.934278,34.002514
"9","Acanthocyclops capillatus",69.697592,30.358394,5.449779,34.588417
"10","Acanthocyclops capillatus",69.697489,30.36027,5.449779,34.588417
"11","Acanthocyclops robustus",59.635589,5.198071,7.410456,35.188015
"12","Acanthocyclops robustus",59.632901,5.19405,7.410456,35.188015
"13","Acanthocyclops robustus",59.75744,5.273229,7.346067,35.140236
"14","Acanthocyclops robustus",59.755815,5.272909,7.346067,35.140236
"15","Acanthocyclops robustus",60.572345,5.118225,7.601694,35.209801
"16","Acanthocyclops robustus",58.310589,6.495274,7.153983,35.108398
"17","Acanthocyclops robustus",61.936461,6.423154,9.261779,33.929363
"18","Acanthocyclops robustus",62.817366,7.529234,8.66928,34.877735
"19","Acanthocyclops robustus",64.13154,11.64322,8.770425,33.752556
"20","Acanthocyclops robustus",64.236958,12.160272,8.57427,33.571625
"21","Acanthocyclops robustus",64.676402,11.709169,8.608957,33.478966
"22","Acanthocyclops robustus",64.131744,11.745728,8.735825,33.705708
"23","Acanthocyclops robustus",64.163472,11.978313,8.646668,33.634087
"24","Acanthocyclops robustus",64.665985,11.613465,8.571308,34.421879
"25","Acanthocyclops robustus",64.173662,11.851399,8.648635,33.623314
"26","Acanthocyclops robustus",64.698774,11.450505,6.900868,35.22263
"27","Acanthocyclops robustus",64.697856,11.574523,7.239593,34.985844
"28","Acanthocyclops robustus",64.72227,11.794372,8.543548,33.46862
"29","Acanthocyclops robustus",64.718532,11.560273,7.239593,34.985844
"30","Acanthocyclops robustus",64.101337,11.585461,8.770425,33.752556
"31","Acanthocyclops robustus",59.642749,5.211051,7.410456,35.188015
"32","Acanthocyclops robustus",64.213354,12.215786,8.508574,33.55447
"33","Acanthocyclops robustus",69.440285,17.932425,7.313118,34.746994
