"","species","Lat","Lon","Temp","Sal"
"1","Daphnia galeata",63.423229,10.347548,6.89156,35.173698
"2","Daphnia galeata",63.41777,10.319788,6.560905,35.115295
"3","Daphnia galeata",63.422241,10.348524,6.89156,35.173698
"4","Daphnia galeata",66.70337,32.811098,3.261298,28.720993
"5","Daphnia galeata",59.635589,5.198071,7.410456,35.188015
"6","Daphnia galeata",59.760679,5.281071,7.346067,35.140236
"7","Daphnia galeata",60.623739,5.11634,7.497159,35.124115
"8","Daphnia galeata",60.632269,5.100481,7.497159,35.124115
"9","Daphnia galeata",60.572345,5.118225,7.601694,35.209801
"10","Daphnia galeata",59.634046,5.196712,7.410456,35.188015
"11","Daphnia galeata",63.419006,10.322663,6.560905,35.115295
"12","Daphnia galeata",69.440285,17.932425,7.313118,34.746994
"13","Daphnia galeata",69.682094,30.079844,5.171446,34.695221
"14","Daphnia galeata",69.685224,30.083772,5.845401,34.559425
"15","Daphnia galeata",69.44357,17.9219,7.313118,34.746994
"16","Daphnia galeata",69.4408,17.92312,7.313118,34.746994
"17","Daphnia galeata",60.633052,5.100537,7.497159,35.124115
"18","Daphnia galeata",61.939612,6.369323,9.261533,33.903408
"19","Daphnia galeata",71.035345,27.92879,5.827383,34.828209
"20","Daphnia galeata",71.036195,27.938674,5.827383,34.828209
"21","Daphnia galeata",71.039122,27.931958,5.827383,34.828209
"22","Daphnia galeata",59.642749,5.211051,7.410456,35.188015
"23","Daphnia galeata",62.0993299992206,18.5495,2.818004,6.139409
"24","Daphnia galeata",63.425791,10.281744,6.560905,35.115295
"25","Daphnia galeata",56.153128,-4.642677,10.799585,34.575176
"26","Daphnia galeata",63.525169999248,19.80867,5.448203,5.359873
"27","Daphnia galeata",63.4996699992475,19.819,4.553736,5.455514
"28","Daphnia galeata",63.524999999248,19.80817,5.448203,5.359873
"29","Daphnia galeata",62.863669999235,18.26383,5.729694,5.481621
"30","Daphnia galeata",62.0998299992206,18.5485,2.818004,6.139409
"31","Daphnia galeata",62.652829999231,18.95167,2.499454,10.61981
"32","Daphnia galeata",63.271,10.043,8.746759,34.845295
"33","Daphnia galeata",63.269848,10.054222,8.746759,34.845295
"34","Daphnia galeata",68.085919,13.527125,7.921459,34.250317
"35","Daphnia galeata",66.74364,13.595604,5.979823,35.021217
"36","Daphnia galeata",55.18,20.549999,8.754084,6.5955
"37","Daphnia galeata",64.174355,10.371093,7.590623,35.094543
"38","Daphnia galeata",64.438653,10.782336,7.409264,35.053116
"39","Daphnia galeata",52.4228,5.407553,11.756265,32.709454
"40","Daphnia galeata",52.358452,5.221798,11.818658,32.754833
"41","Daphnia galeata",51.350565,3.330452,12.261943,34.383057
"42","Daphnia galeata",51.334766,3.348128,12.247045,34.334007
"43","Daphnia galeata",51.356343,3.342405,12.247045,34.334007
"44","Daphnia galeata",51.294534,3.116292,12.312485,34.065548
"45","Daphnia galeata",51.277636,3.094287,12.312485,34.065548
"46","Daphnia galeata",51.287751,3.127633,12.312485,34.065548
"47","Daphnia galeata",51.506001,3.885418,12.126906,34.191349
"48","Daphnia galeata",51.502618,3.895037,12.126906,34.191349
"49","Daphnia galeata",52.398846,5.194378,11.818658,32.754833
"50","Daphnia galeata",52.423905,5.4102,11.756265,32.709454
"51","Daphnia galeata",51.730479,3.764171,12.13691,33.328884
"52","Daphnia galeata",64.111147,11.607408,8.770425,33.752556
"53","Daphnia galeata",64.131492,11.722369,8.735825,33.705708
"54","Daphnia galeata",64.217589,12.166212,8.57427,33.571625
"55","Daphnia galeata",64.171568,11.890844,8.648635,33.623314
"56","Daphnia galeata",52.889277,5.66995,11.663025,32.6091
"57","Daphnia galeata",52.986172,5.660453,11.646481,32.671459
"58","Daphnia galeata",52.939203,5.544583,11.653588,32.718781
"59","Daphnia galeata",52.860623,5.622548,11.686082,32.667316
"60","Daphnia galeata",51.718049,3.718302,12.157439,34.19957
"61","Daphnia galeata",52.625816,4.922985,11.810857,32.819408
"62","Daphnia galeata",53.375668,5.188577,11.667002,32.995224
"63","Daphnia galeata",68.164579,13.624256,7.279723,34.445152
"64","Daphnia galeata",52.963296,5.41757,11.677481,32.760098
"65","Daphnia galeata",53.157495,-4.353293,11.560937,34.347111
"66","Daphnia galeata",52.889999,5.8,11.635678,32.583134
"67","Daphnia galeata",51.550002,-3.804204,12.3024,35.013622
"68","Daphnia galeata",52.894114,5.798812,11.635678,32.583134
"69","Daphnia galeata",58.956234,5.722338,8.931362,34.757511
"70","Daphnia galeata",63.789029,9.710229,9.053917,34.594067
"71","Daphnia galeata",62.462946,6.377376,7.609244,35.191887
"72","Daphnia galeata",68.093271,13.837236,6.795711,34.765533
"73","Daphnia galeata",69.352678,17.89773,7.438696,34.591133
"74","Daphnia galeata",63.436585,8.508986,7.196825,35.207539
"75","Daphnia galeata",63.445559,8.508833,7.196825,35.207539
"76","Daphnia galeata",63.493018,8.879516,8.598616,34.97525
"77","Daphnia galeata",63.522683,9,8.440721,35.000172
"78","Daphnia galeata",63.45464,8.540764,7.196825,35.207539
"79","Daphnia galeata",63.585412,8.838833,8.718164,34.815125
"80","Daphnia galeata",63.607895,8.889111,8.718164,34.815125
"81","Daphnia galeata",63.485338,8.602506,7.15407,35.207527
"82","Daphnia galeata",63.488899,8.592418,7.15407,35.207527
"83","Daphnia galeata",63.541501,9.090517,7.276197,35.173534
"84","Daphnia galeata",63.537904,9.100562,7.276197,35.173534
"85","Daphnia galeata",63.607919,8.925402,8.81562,34.816494
"86","Daphnia galeata",63.549595,9.056338,8.440721,35.000172
"87","Daphnia galeata",63.607931,8.955644,8.81562,34.816494
"88","Daphnia galeata",63.49355,8.654604,7.15407,35.207527
