species,lon,lat
Daphnia galeata,-74.72421,40.439932
Daphnia galeata,-150.427545,60.987341
Daphnia galeata,10.571453,63.345511
Daphnia galeata,37.955606,55.701179
Daphnia galeata,9.824403,63.300829
Daphnia galeata,9.758463,63.23063
Daphnia galeata,10.548733,63.387501
Daphnia galeata,10.585793,63.370039
Daphnia galeata,9.75857,63.229427
Daphnia galeata,37.657145,55.694667
Daphnia galeata,9.71787,63.013251
Daphnia galeata,10.958899,62.725188
Daphnia galeata,9.824296,63.301958
Daphnia galeata,49.11448,53.283793
Daphnia galeata,15.056175,47.854541
Daphnia galeata,10.948001,60.833372
Daphnia galeata,11.101658,60.651428
Daphnia galeata,48.727289,55.903726
Daphnia galeata,10.347548,63.423229
Daphnia galeata,10.319788,63.41777
Daphnia galeata,10.348524,63.422241
Daphnia galeata,32.811098,66.70337
Daphnia galeata,9.634163,60.347672
Daphnia galeata,5.76594,58.75696
Daphnia galeata,5.771039,58.75755
Daphnia galeata,5.76569,58.75653
Daphnia galeata,9.733918,60.163977
Daphnia galeata,9.668546,60.325028
Daphnia galeata,11.622304,61.919783
Daphnia galeata,24.108376,69.662407
Daphnia galeata,5.198071,59.635589
Daphnia galeata,9.631287,60.372412
Daphnia galeata,12.149937,64.619487
Daphnia galeata,22.725501,69.1933
Daphnia galeata,22.726384,69.157281
Daphnia galeata,22.806828,69.099127
Daphnia galeata,5.281071,59.760679
Daphnia galeata,10.8102,63.2604
Daphnia galeata,5.11634,60.623739
Daphnia galeata,5.100481,60.632269
Daphnia galeata,9.643337,60.156533
Daphnia galeata,19.117823,69.106557
Daphnia galeata,11.540091,61.963012
Daphnia galeata,5.118225,60.572345
Daphnia galeata,5.196712,59.634046
Daphnia galeata,7.445353,59.684425
Daphnia galeata,7.446489,59.679408
Daphnia galeata,9.659916,63.234137
Daphnia galeata,18.368098,69.318699
Daphnia galeata,24.224586,69.599255
Daphnia galeata,24.204411,69.662378
Daphnia galeata,24.129949,69.612717
Daphnia galeata,22.83862,69.11055
Daphnia galeata,24.294112,69.692341
Daphnia galeata,24.169985,69.71521
Daphnia galeata,9.39,47.630001
Daphnia galeata,10.317427,63.402559
Daphnia galeata,10.322663,63.419006
Daphnia galeata,30.696537,69.61682
Daphnia galeata,20.200001,68.92
Daphnia galeata,17.932425,69.440285
Daphnia galeata,9.617986,60.338725
Daphnia galeata,20.181183,68.917405
Daphnia galeata,9.770577,60.122024
Daphnia galeata,22.844073,69.086485
Daphnia galeata,19.614171,68.987114
Daphnia galeata,19.127077,69.12049
Daphnia galeata,19.006647,69.130028
Daphnia galeata,30.585359,69.553608
Daphnia galeata,30.079844,69.682094
Daphnia galeata,30.083772,69.685224
Daphnia galeata,19.601501,69.0117
Daphnia galeata,17.9219,69.44357
Daphnia galeata,9.608053,60.369216
Daphnia galeata,17.92312,69.4408
Daphnia galeata,11.18,60.470001
Daphnia galeata,22.777064,69.138661
Daphnia galeata,9.630304,60.213939
Daphnia galeata,19.113127,69.094463
Daphnia galeata,24.305948,69.618983
Daphnia galeata,24.323472,69.655078
Daphnia galeata,9.616988,60.249571
Daphnia galeata,24.111072,69.698379
Daphnia galeata,19.044997,69.107113
Daphnia galeata,19.055015,69.137212
Daphnia galeata,20.17918,68.91537
Daphnia galeata,5.100537,60.633052
Daphnia galeata,24.266542,69.676127
Daphnia galeata,19.69529,68.494368
Daphnia galeata,19.084832,69.122106
Daphnia galeata,24.248053,69.695246
Daphnia galeata,11.18988,59.817005
Daphnia galeata,12.222597,64.578564
Daphnia galeata,6.0286,61.4266
Daphnia galeata,6.010597,61.42897
Daphnia galeata,12.246764,64.585304
Daphnia galeata,9.352849,61.846313
Daphnia galeata,6.033095,61.432649
Daphnia galeata,11.209875,63.623186
Daphnia galeata,9.080946,61.808251
Daphnia galeata,9.08111,61.807309
Daphnia galeata,10.17096,63.16956
Daphnia galeata,9.667775,63.322877
Daphnia galeata,9.349081,61.845031
Daphnia galeata,11.181035,63.622563
Daphnia galeata,10.163868,63.168615
Daphnia galeata,9.674771,63.318595
Daphnia galeata,6.369323,61.939612
Daphnia galeata,27.92879,71.035345
Daphnia galeata,10.815242,62.687545
Daphnia galeata,27.938674,71.036195
Daphnia galeata,9.353299,61.8456
Daphnia galeata,9.07888,61.806831
Daphnia galeata,10.418671,62.395451
Daphnia galeata,11.4088,62.58755
Daphnia galeata,11.87141,62.64985
Daphnia galeata,11.27428,62.30788
Daphnia galeata,8.3921,60.6921
Daphnia galeata,10.698659,60.870579
Daphnia galeata,11.230716,59.7077
Daphnia galeata,10.663421,60.96065
Daphnia galeata,10.827005,60.743905
Daphnia galeata,11.077976,60.758313
Daphnia galeata,11.206353,60.595043
Daphnia galeata,10.899346,60.871846
Daphnia galeata,10.7164,61.1467
Daphnia galeata,10.716283,61.177772
Daphnia galeata,10.769245,61.207906
Daphnia galeata,10.70721,61.01808
Daphnia galeata,10.841498,61.15926
Daphnia galeata,10.775497,60.989749
Daphnia galeata,10.867829,61.133403
Daphnia galeata,136.070007,35.25
Daphnia galeata,11.226657,60.398243
Daphnia galeata,27.931958,71.039122
Daphnia galeata,7.679732,58.318921
Daphnia galeata,5.211051,59.642749
Daphnia galeata,11.872603,62.052275
Daphnia galeata,10.06076,60.043191
Daphnia galeata,10.25465,59.99228
Daphnia galeata,10.277995,60.052032
Daphnia galeata,11.8829,62.11364
Daphnia galeata,13.6199,64.7695
Daphnia galeata,11.886152,62.414288
Daphnia galeata,11.922869,61.920826
Daphnia galeata,11.788522,62.147756
Daphnia galeata,11.929081,62.006731
Daphnia galeata,11.911202,62.306743
Daphnia galeata,11.817096,62.070967
Daphnia galeata,13.387267,66.053358
Daphnia galeata,13.395722,66.054819
Daphnia galeata,13.402231,66.056681
Daphnia galeata,11.966775,60.162384
Daphnia galeata,13.55305,64.88492
