scientificname,authority,kingdom,phylum,class,order,family,genus
Ampharete vega,"(Wiren, 1883)",Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharete
Amphibalanus eburneus,"(Gould, 1841)",Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Amphibalanus
Amphibalanus improvisus,"(Darwin, 1854)",Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Amphibalanus
Anadara kagoshimensis,"(Tokunaga, 1906)",Animalia,Mollusca,Bivalvia,Arcida,Arcidae,Anadara
Arcuatula senhousia,"(Benson, 1842)",Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Arcuatula
Botrylloides violaceus,"Oka, 1927",Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botrylloides
Botryllus schlosseri,"(Pallas, 1766)",Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botryllus
Carcinus maenas,"(Linnaeus, 1758)",Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus
Chionoecetes opilio,"(O. Fabricius, 1788)",Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes
Ciona intestinalis,"(Linnaeus, 1767)",Animalia,Chordata,Ascidiacea,Phlebobranchia,Cionidae,Ciona
Corbicula fluminalis,"(O. F. Muller, 1774)",Animalia,Mollusca,Bivalvia,Venerida,Cyrenidae,Corbicula
Corbicula fluminea,"(O. F. Muller, 1774)",Animalia,Mollusca,Bivalvia,Venerida,Cyrenidae,Corbicula
Chelicorophium curvispinum,"(G.O. Sars, 1895)",Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Chelicorophium
Dikerogammarus villosus,"(Sowinsky, 1894)",Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Dikerogammarus
Dreissena rostriformis,"(Deshayes, 1838)",Animalia,Mollusca,Bivalvia,Myida,Dreissenidae,Dreissena
Dreissena polymorpha,"(Pallas, 1771)",Animalia,Mollusca,Bivalvia,Myida,Dreissenidae,Dreissena
Eriocheir sinensis,"H. Milne Edwards, 1853",Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Eriocheir
Gammaracanthus lacustris,"Sars, 1867",Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaracanthidae,Gammaracanthus
Gammaracanthus,"Spence Bate, 1862",Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaracanthidae,Gammaracanthus
Gammarus tigrinus,"Sexton, 1939",Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus
Halicryptus spinulosus,"von Siebold, 1849",Animalia,Priapulida,NA,Halicryptomorpha,Halicryptidae,Halicryptus
Limnodrilus hoffmeisteri,"Claparede, 1862",Animalia,Annelida,Clitellata,Tubificida,Naididae,Limnodrilus
Lithoglyphus naticoides,"(C. Pfeiffer, 1828)",Animalia,Mollusca,Gastropoda,Littorinimorpha,Lithoglyphidae,Lithoglyphus
Littorina littorea,"(Linnaeus, 1758)",Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina
Magallana gigas,"(Thunberg, 1793)",Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Magallana
Marenzelleria,"Mesnil, 1896",Animalia,Annelida,Polychaeta,Spionida,Spionidae,Marenzelleria
Molgula manhattensis,"(De Kay, 1843)",Animalia,Chordata,Ascidiacea,Stolidobranchia,Molgulidae,Molgula
Monocorophium acherusicum,"(Costa, 1853)",Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Monocorophium
Monoporeia affinis,"(Lindstrom, 1855)",Animalia,Arthropoda,Malacostraca,Amphipoda,Pontoporeiidae,Monoporeia
Mysis oculata,"(Fabricius, 1780)",Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Mysis
Mysis relicta,"Loven, 1862",Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Mysis
Mytilopsis leucophaeata,"(Conrad, 1831)",Animalia,Mollusca,Bivalvia,Myida,Dreissenidae,Mytilopsis
Paralithodes camtschaticus,"(Tilesius, 1815)",Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes
Platorchestia platensis,"(Kroyer, 1845)",Animalia,Arthropoda,Malacostraca,Amphipoda,Talitridae,Platorchestia
Pontogammarus robustoides,"(Sars, 1894)",Animalia,Arthropoda,Malacostraca,Amphipoda,Pontogammaridae,Pontogammarus
