"Station";"Lat";"Long";"Depth";"Transparency";"Surf_Salinity";"Bot_Salinity";"Surf_Turbidity";"Bot_Turbidity";"Surf_Susp";"Interm_Susp";"Bot_Susp";"Chla_surface";"Chla_intermed";"Chla_bottom";"Org";"Fine_particles";"Coarce_particles";"Bot_Color";"Bot_O2";"Bot_pH";"Bot_Amon_N";"Bot_Nitrit_N";"Bot_Nitrat_N";"Bot_Total_N";"Bot_Mineral_P";"Bot_Total_P";"Bot_Si";"Bot_Organic_N";"Bot_Organic_P";"Int_Color";"Int_O2";"Int_pH";"Int_Amon_N";"Int_Nitrit_N";"Int_Nitrat_N";"Int_Total_N";"Int_Mineral_P";"Int_Total_P";"Int_Si";"Int_Organic_N";"Int_Organic_P";"Surf_Color";"Surf_O2";"Surf_pH";"Surf_Amon_N";"Surf_Nitrit_N";"Surf_Nitrat_N";"Surf_Total_N";"Surf_Mineral_P";"Surf_Total_P";"Surf_Si";"Surf_Organic_N";"Surf_Organic_P"
"O1";72.6825728303676;73.1319105191017;16.6;0.5;9.737;30.829;99.3653;98.164;21.5;48;51;1.52;0.74;1.33;0.23;41.3;58.705;27.27;12.41;7.87;11.36;1.62;11.21;74.09;0;65.71;297.27;49.9;65.71;52.73;13.25;7.784;9.82;0.93;11.1;50.45;0.9438;54.29;256.36;28.6;53.35;85.45;13.56;7.813;4.18;0.83;12.29;55.91;0.4719;47.14;175.91;38.61;46.67
"O10";72.5511168816705;74.1665935052859;15.4;1.4;10.691;31.217;64.6419;96.5691;2.5;39;47;0.15;1.23;3.69;0.19;82.2;17.805;12.73;12.83;7.875;27.27;1.32;41;84.55;6.8343;69.29;509.55;14.96;62.46;31.36;13.2;7.836;38.36;0.74;29.84;89.09;5.4219;59.29;314.09;20.15;53.87;59.55;13.35;7.81;34.64;0.64;24.36;95.45;4.0062;46.43;228.18;35.81;42.42
"O100";70.9994556976017;73.6490064721931;12.5;0.2;0.037;0.036;124.6229;124.6229;154;176;78.0000000000003;NA;NA;NA;0.12;93.5;6.506;190.87;7.96;7.372;34.18;7.21;40.83;192.27;29.7;117.14;753.18;110.05;87.44;212.83;8;7.361;90;3.28;40.27;204.55;24.5157;95;716.36;71;70.48;202.09;8.01;7.354;59.64;2.65;32.71;146.36;25.9281;87.14;483.18;51.36;61.21
"O101";70.9948573659749;73.6529617012555;12;0.1;0.036;0.036;124.6229;124.621;170;61.9999999999998;88.0000000000003;5.91;5.91;5.86;0.14;80.9;19.105;188.26;7.85;7.362;35.09;3.53;42.85;211.82;20.7438;106.43;813.18;130.35;85.69;211.78;8.07;7.341;105.64;2.79;39.75;179.09;19.0938;100.71;483.18;30.91;81.62;201.61;8.09;7.345;82.73;2.5;31.85;171.82;19.3281;88.57;418.18;54.74;69.24
"O102";71.0026506694739;73.71556593503;11.5;0.1;0.036;0.037;124.6229;124.621;118;194;142;7.41;4.48;5.95;0.21;89.5;10.506;186.78;7.87;7.351;99.09;3.92;43.62;278.18;30.1719;107.14;809.55;131.55;76.97;210.65;8.1;7.39;154.82;2.7;39.04;239.55;24.75;97.14;699.55;42.99;72.39;200.92;8.1;7.324;136.45;2.06;33.81;235.91;24.9843;94.29;622.73;63.59;69.31
"O103";70.9979439893858;73.7071400944176;12;0.1;0.036;0.036;124.6229;124.621;148;174;120;NA;NA;NA;0.22;82.3;17.706;188.57;7.99;7.366;51;8.09;39.08;161.82;30.4062;138.57;539.09;63.65;108.16;211.83;8.012;7.374;134.27;6.62;37.15;220.45;32.5281;134.29;309.55;42.41;101.76;201.85;8.03;7.363;126.91;5.74;29.48;267.73;31.8219;123.57;243.64;105.6;91.75
"O104";70.9910531339053;73.7019992362869;11.5;0.2;0.036;0.036;124.6229;124.621;140;108;114;5.95;4.44;7.36;0.36;91.1;8.906;186.67;7.56;7.372;37;6.18;40.92;135.45;25.4562;120;416.36;51.35;94.54;209.71;8.03;7.367;94;4.46;37.86;180.91;29.4657;110.71;285;44.59;81.24;200.05;8.03;7.362;74.09;3.92;31.66;152.73;29.9343;105;242.27;43.06;75.07
"O105";71.0014275731138;73.7698151132434;11;0;0.04;0.04;124.5885;124.5828;76;236;126;10.45;4.45;5.94;0.12;58.2;41.805;259.09;6.87;7.32;93.55;7.89;41.53;260;30.4062;134.29;749.09;117.03;103.88;203.64;6.89;7.33;157.88;6.13;36.33;239.55;33.4719;126.43;367.27;39.21;92.96;206.82;7.23;7.345;129.55;5.74;30.06;215;32.5281;102.14;290.45;49.65;69.61
"O106";70.9964777532001;73.767284560198;12;0;0.041;0.04;124.5885;124.5866;68;212;118;NA;NA;NA;0.14;64.6;35.405;260.12;6.78;7.351;91.18;9.61;39.38;224.55;49.9719;143.57;400.45;84.38;93.6;204.74;6.9;7.325;156;7.25;35.14;242.27;40.0719;131.43;353.18;43.88;91.36;207.82;7.26;7.338;118;4.95;29.62;208.64;44.55;120.71;199.55;56.07;76.16
"O107";70.9896721916697;73.7711489169493;11;0;0.04;0.041;124.5866;124.5828;80;248;134;1.49;2.99;1.5;0.12;68.9;31.105;259.76;6.79;7.314;44.09;8.87;39.32;201.36;32.2938;137.14;995.64;109.08;104.85;204.1;6.83;7.325;63.55;7.16;36.1;204.09;29.7;130;814.09;97.28;100.3;206.91;7.2;7.338;85.36;5.15;30.14;213.18;31.35;123.57;694.55;92.53;92.22
