Station,x,y,TSM_mg_l,Ships,dumping_are,dredging_ar
O92,73.8026107260,70.8672052390,62.4130700000,1.0000000000,18894.3691040000,13833.3784290000
O75,72.6997175570,70.9477032890,100.0000000000,0.0000000000,30098.0198300000,34282.0456900000
O79,73.5221053770,70.9541606340,45.0342800000,0.0000000000,7516.2439257000,6307.7442793000
O87,72.9832714850,70.8600785870,100.0000000000,0.0000000000,26321.1078390000,28176.5588020000
O67,72.9634894590,71.0390618350,100.0000000000,1.0000000000,18809.9234070000,24495.1922350000
O58,72.5826322150,71.1675228260,100.0000000000,1.0000000000,35650.7121630000,42146.7341380000
O90,73.5286517580,70.8652346560,50.2096700000,1.0000000000,17360.9319530000,15310.4316500000
O60,73.1408072360,71.1733555980,52.0637500000,0.0000000000,19630.5082360000,26096.0467040000
O76,72.9734932360,70.9489775020,100.0000000000,0.0000000000,20880.6026550000,24492.6215720000
O55,73.0515359610,71.2821889150,100.0000000000,0.0000000000,31498.2936440000,37649.2805620000
O59,72.8581386190,71.1707619360,89.6924600000,1.0000000000,27075.9036090000,33690.8964880000
O54,72.7709814810,71.2794969930,41.8839100000,1.0000000000,37309.2119590000,43843.4937720000
O81,73.7965086200,70.9561431230,100.0000000000,3.0000000000,10634.9013590000,4049.3706981000
O53,72.4932309580,71.2760392450,43.4305400000,3.0000000000,44552.8050350000,51174.5093100000
O70,73.5170847700,71.0444487590,38.9539200000,8.0000000000,812.1312000000,6316.2412768000
O56,73.3299209770,71.2853172270,100.0000000000,0.0000000000,28295.7604270000,33505.7496400000
O77,73.2477631200,70.9517725660,69.5856400000,1.0000000000,12295.1665670000,14836.2572440000
O88,73.2593376040,70.8633009470,100.0000000000,0.0000000000,19933.5693750000,20242.7932640000
O68,73.2390699730,71.0412779330,77.5824900000,0.0000000000,8828.7053748000,14820.2506290000
O62,73.4147128900,71.1764114400,100.0000000000,0.0000000000,15800.9608600000,21051.2279230000
O52,72.2143536390,71.2733046310,80.4473500000,2.0000000000,52791.0335230000,59378.6694920000
O69,73.3803103390,71.0424667130,62.4130700000,11.0000000000,3750.6491764000,10119.0280980000
O71,73.6331058330,71.0452270560,100.0000000000,0.0000000000,2545.6510383000,4949.9842000000
O72,73.3837036590,71.0012048810,58.0469700000,0.0000000000,5053.1452315000,8874.7838539000
O73,73.5178581790,71.0006026880,43.4305400000,19.0000000000,2382.2839540000,4000.2040026000
O78,73.3875806460,70.9538367920,58.0469700000,0.0000000000,8817.6833788000,10116.1352320000
O80,73.6429007680,70.9550833780,52.0637500000,2.0000000000,7613.3473412000,4744.0276541000
O84,73.5247496850,70.9143985280,55.9798200000,0.0000000000,11920.1148320000,10132.5920620000
O85,73.6543115820,70.9161213560,40.3923500000,0.0000000000,11917.4272230000,9040.5128441000
O86,73.7977168650,70.9185085010,100.0000000000,0.0000000000,13837.5659500000,8155.6410766000
O91,73.6624109190,70.8663506430,43.4305400000,2.0000000000,17417.8039330000,14555.0816480000
O83,73.3899589630,70.9126619630,72.1552000000,0.0000000000,12989.0020070000,12957.1935850000
O89,73.3974536610,70.8643416930,80.4473500000,0.0000000000,18096.2879180000,17195.6518450000
O66,72.6915302430,71.0368456260,72.1552000000,0.0000000000,28673.0303060000,34231.9692960000
O100,73.6490064720,70.9994556980,100.0000000000,219.0000000000,3415.1133775000,0.0000000000
O61,73.2778702370,71.1748464300,93.0045000000,0.0000000000,17111.1175230000,23178.2740640000
O57,73.6169715830,71.1670687370,100.0000000000,0.0000000000,14513.1826480000,18549.2632950000
O74,73.7520697440,71.0255283640,46.6972500000,44.0000000000,6271.5398440000,3010.4821829000
O82,73.8718700620,70.9804120080,,371.0000000000,11503.5371670000,1900.9460861000
O93,73.9067894270,70.8537187380,100.0000000000,39.0000000000,22062.4166070000,15556.8378940000
O49,72.5329688870,71.4610952430,64.7177800000,0.0000000000,58335.8951210000,64668.7361350000
O50,72.7970869440,71.4512888990,64.7177800000,0.0000000000,52396.3295650000,58441.5530630000
O51,73.0008912100,71.4416784400,96.4388400000,0.0000000000,48387.6428880000,54089.8364430000
O103,73.7071400940,70.9979439890,100.0000000000,395.0000000000,5248.9617806000,0.0000000000
O110,73.8097486670,70.9956187310,62.4130700000,5578.0000000000,8791.4132376000,0.0000000000
O109,73.7896248310,71.0032002010,67.1075900000,1736.0000000000,7853.2094295000,272.7515167600
O111,73.8290943450,70.9886234420,100.0000000000,1034.0000000000,9717.6780002000,260.8374094900
O102,73.7155659350,71.0026506690,100.0000000000,96.0000000000,5305.1791294000,386.9627151700
O104,73.7019992360,70.9910531340,100.0000000000,803.0000000000,5501.4311018000,595.7427000000
O99,73.6452669070,71.0061910810,100.0000000000,120.0000000000,2844.3365170000,595.3448197000
O101,73.6529617010,70.9948573660,100.0000000000,403.0000000000,3878.1721196000,303.1890138600
O105,73.7698151130,71.0014275730,93.0045000000,2401.0000000000,7212.1883711000,359.6828101400
O106,73.7672845600,70.9964777530,100.0000000000,866.0000000000,7306.1104957000,0.0000000000
O107,73.7711489170,70.9896721920,100.0000000000,987.0000000000,7740.4531337000,552.1380000000
O108,73.7909960000,71.0075190000,,1736.0000000000,7799.4051764000,666.1750640900
O112,73.8354893270,70.9827169670,100.0000000000,371.0000000000,10187.7878870000,936.6234901300
