Station,x,y,TSM_mg_l,Ships,dumping_are,dredging_ar
O81,73.7965086200,70.9561431230,100.0000000000,3.0000000000,10634.9013590000,4049.3706981000
O56,73.3299209770,71.2853172270,100.0000000000,0.0000000000,28295.7604270000,33505.7496400000
O62,73.4147128900,71.1764114400,100.0000000000,0.0000000000,15800.9608600000,21051.2279230000
O71,73.6331058330,71.0452270560,100.0000000000,0.0000000000,2545.6510383000,4949.9842000000
O80,73.6429007680,70.9550833780,52.0637500000,2.0000000000,7613.3473412000,4744.0276541000
O85,73.6543115820,70.9161213560,40.3923500000,0.0000000000,11917.4272230000,9040.5128441000
O86,73.7977168650,70.9185085010,100.0000000000,0.0000000000,13837.5659500000,8155.6410766000
O100,73.6490064720,70.9994556980,100.0000000000,219.0000000000,3415.1133775000,0.0000000000
O57,73.6169715830,71.1670687370,100.0000000000,0.0000000000,14513.1826480000,18549.2632950000
O74,73.7520697440,71.0255283640,46.6972500000,44.0000000000,6271.5398440000,3010.4821829000
O82,73.8718700620,70.9804120080,,371.0000000000,11503.5371670000,1900.9460861000
O103,73.7071400940,70.9979439890,100.0000000000,395.0000000000,5248.9617806000,0.0000000000
O110,73.8097486670,70.9956187310,62.4130700000,5578.0000000000,8791.4132376000,0.0000000000
O109,73.7896248310,71.0032002010,67.1075900000,1736.0000000000,7853.2094295000,272.7515167600
O111,73.8290943450,70.9886234420,100.0000000000,1034.0000000000,9717.6780002000,260.8374094900
O102,73.7155659350,71.0026506690,100.0000000000,96.0000000000,5305.1791294000,386.9627151700
O104,73.7019992360,70.9910531340,100.0000000000,803.0000000000,5501.4311018000,595.7427000000
O99,73.6452669070,71.0061910810,100.0000000000,120.0000000000,2844.3365170000,595.3448197000
O101,73.6529617010,70.9948573660,100.0000000000,403.0000000000,3878.1721196000,303.1890138600
O105,73.7698151130,71.0014275730,93.0045000000,2401.0000000000,7212.1883711000,359.6828101400
O106,73.7672845600,70.9964777530,100.0000000000,866.0000000000,7306.1104957000,0.0000000000
O107,73.7711489170,70.9896721920,100.0000000000,987.0000000000,7740.4531337000,552.1380000000
O108,73.7909960000,71.0075190000,,1736.0000000000,7799.4051764000,666.1750640900
O112,73.8354893270,70.9827169670,100.0000000000,371.0000000000,10187.7878870000,936.6234901300
