"species";"lon";"lat"
"Cylichna alba";6.46332;62.71802
"Cylichna alba";18.038469;69.5078
"Cylichna alba";23.20715;70.121667
"Cylichna alba";23.213919;70.12247
"Cylichna alba";23.232567;70.124567
"Cylichna alba";23.238131;70.123099
"Cylichna alba";23.293667;70.1102
"Cylichna alba";20.51447;69.58048
"Cylichna alba";20.52602;69.57802
"Cylichna alba";20.51573;69.57938
"Cylichna alba";20.51965;69.57872
"Cylichna alba";20.50467;69.58193
"Cylichna alba";17.04002;69.24287
"Cylichna alba";22.3249;70.20525
"Cylichna alba";25.016829;70.894829
"Cylichna alba";25.006419;70.891679
"Cylichna alba";25.018799;70.895699
"Cylichna alba";4.815351;60.781699
"Cylichna alba";4.810801;60.781299
"Cylichna alba";5.9914;58.42505
"Cylichna alba";6.00657;58.4164
"Cylichna alba";14.7809;68.27288
"Cylichna alba";14.76755;68.26058
"Cylichna alba";25.164249;70.912782
"Cylichna alba";20.52433;69.57627
"Cylichna alba";20.509932;69.581417
"Cylichna alba";23.339267;70.7162
"Cylichna alba";8.14083;63.0791
"Cylichna alba";8.14927;63.07048
"Cylichna alba";8.14415;63.08092
"Cylichna alba";8.14833;63.07677
"Cylichna alba";8.14843;63.07417
"Cylichna alba";29.943515;70.055634
"Cylichna alba";29.918983;70.054684
"Cylichna alba";29.923499;70.055251
"Cylichna alba";29.927849;70.055951
"Cylichna alba";29.949065;70.057067
"Cylichna alba";29.954082;70.057017
"Cylichna alba";29.88205;70.052001
"Cylichna alba";23.021783;70.334217
"Cylichna alba";29.446098;70.087945
"Cylichna alba";29.454069;70.087801
"Cylichna alba";29.055913;70.065573
"Cylichna alba";6.20272;62.64378
"Cylichna alba";29.29657;70.027978
"Cylichna alba";29.304681;70.031584
"Cylichna alba";29.28436;70.026806
"Cylichna alba";29.28276;70.025906
"Cylichna alba";13.599249;66.8658
"Cylichna alba";19.585983;70.10075
"Cylichna alba";19.534333;69.833733
"Cylichna alba";15.33917;67.22388
"Cylichna alba";15.35045;67.231
"Cylichna alba";15.27887;67.20445
"Cylichna alba";15.340167;67.227367
"Cylichna alba";18.249719;69.75378
"Cylichna alba";4.918581;61.679769
"Cylichna alba";4.917651;61.681519
"Cylichna alba";14.95852;68.3016
"Cylichna alba";14.958865;68.304899
"Cylichna alba";20.68242;69.98365
"Cylichna alba";20.676379;69.98492
