"species";"lon";"lat"
"Cylichna occulta";16.30783;78.43028
"Cylichna occulta";16.45627;78.42303
"Cylichna occulta";16.4642;78.41879
"Cylichna occulta";16.52422;78.4158
"Cylichna occulta";16.4943;78.41006
"Cylichna occulta";16.56673;78.41181
"Cylichna occulta";16.56245;78.4083
"Cylichna occulta";14.62099;78.49433
"Cylichna occulta";14.58506;78.50902
"Cylichna occulta";12.07703;66.07193
"Cylichna occulta";17.65587;69.14835
"Cylichna occulta";6.3577;62.679266
"Cylichna occulta";-145.923;70.7385
"Cylichna occulta";31.313833;70.2965
"Cylichna occulta";5.600455;62.171131
"Cylichna occulta";5.604134;62.177266
"Cylichna occulta";33;66.6
"Cylichna occulta";24.27083;70.48716
"Cylichna occulta";22.229546;80.087602
"Cylichna occulta";16.499267;78.608767
"Cylichna occulta";64.308;75.387
"Cylichna occulta";-50.73;64.68
"Cylichna occulta";-53.369999;63.880001
"Cylichna occulta";15.61333;78.23333
"Cylichna occulta";15.59166;78.25666
"Cylichna occulta";18.2;74.5
"Cylichna occulta";10.4756;63.4448
"Cylichna occulta";12.1067;78.9167
"Cylichna occulta";139.995;77.51
"Cylichna occulta";129.98;75.998333
"Cylichna occulta";129.9856;75.9983
"Cylichna occulta";129.979996;75.998337
"Cylichna occulta";139.994995;77.510002
"Cylichna occulta";130.039993;77.93
"Cylichna occulta";130.04;77.93
"Cylichna occulta";130.0411;77.9296
"Cylichna occulta";135.246667;78.355
"Cylichna occulta";135.2466;78.355
"Cylichna occulta";135.246674;78.355003
"Cylichna occulta";22.8;78.6667
"Cylichna occulta";22.135;80.355
"Cylichna occulta";-150.3017;70.5667
"Cylichna occulta";-148.5783;70.4567
"Cylichna occulta";-144.605;69.9767
"Cylichna occulta";-146.9683;70.18
"Cylichna occulta";-144.7717;70.0117
"Cylichna occulta";-144.8667;69.9767
"Cylichna occulta";-146.2167;70.195
"Cylichna occulta";-146.9717;70.2
"Cylichna occulta";-146.8833;70.2317
"Cylichna occulta";-147.1017;70.2567
"Cylichna occulta";-145.3067;70.0583
"Cylichna occulta";-8.5417;70.38
"Cylichna occulta";-152.391667;57.775
"Cylichna occulta";-165.106667;71.616667
"Cylichna occulta";-168.256667;71.87
"Cylichna occulta";-73.7469;37.8969
"Cylichna occulta";-151.4;59.558333
"Cylichna occulta";-30.75;82.18333
"Cylichna occulta";-145.75;60.55
"Cylichna occulta";-138.949997;69.57
"Cylichna occulta";-79.0333;53.9167
"Cylichna occulta";-134.130005;69.550003
"Cylichna occulta";-135.570007;70.029999
"Cylichna occulta";-132.279999;70.120003
"Cylichna occulta";-78.9583;53.8
"Cylichna occulta";-137.080002;69.940002
"Cylichna occulta";-133.449997;69.940002
"Cylichna occulta";-135.169998;70.300003
"Cylichna occulta";-135.570007;70.139999
"Cylichna occulta";-135.800003;69.940002
"Cylichna occulta";-139.610001;70.349998
"Cylichna occulta";-136.839996;70.120003
"Cylichna occulta";-136.970001;69.550003
"Cylichna occulta";-135.350006;70
"Cylichna occulta";-131.429993;70.019997
"Cylichna occulta";-130.020004;70.379997
"Cylichna occulta";-130.229996;70.720001
"Cylichna occulta";-135.279999;69.800003
"Cylichna occulta";-159.733333;58.688333
"Cylichna occulta";-131.100006;70.220001
"Cylichna occulta";-129.220001;69.989998
"Cylichna occulta";-132.690002;69.82
"Cylichna occulta";-132.949997;69.970001
"Cylichna occulta";-142.2;69.866667
"Cylichna occulta";-162.95;70.15
"Cylichna occulta";-105.867;69.1083
"Cylichna occulta";-68.397;63.672
"Cylichna occulta";29.635;69.72667
"Cylichna occulta";-134.333333;58.19
"Cylichna occulta";-86;80
"Cylichna occulta";-94.066667;72.75
"Cylichna occulta";-93.916667;72.771667
"Cylichna occulta";-94.216667;72.775
"Cylichna occulta";-78.0667;72.6667
"Cylichna occulta";-78.066667;72.666667
"Cylichna occulta";-160.1194;70.6306
"Cylichna occulta";-93.533333;69.533333
"Cylichna occulta";-93.5333;69.5333
"Cylichna occulta";-156.75;71.3333
"Cylichna occulta";-62.75;67.05
"Cylichna occulta";-19.516667;74.423261
"Cylichna occulta";-79.8067;53.125
"Cylichna occulta";20.2127;70.0353
"Cylichna occulta";10.4459;63.4128
"Cylichna occulta";-163.467;55.1
"Cylichna occulta";-73.7333;38.0208
"Cylichna occulta";-70.5333;39.95
"Cylichna occulta";-70.5;39.975
"Cylichna occulta";-70.7417;39.0917
"Cylichna occulta";-68.475;39.8167
"Cylichna occulta";-67.0875;40.2806
"Cylichna occulta";-70.8;41.35
"Cylichna occulta";44.3347;76.85
"Cylichna occulta";-70.975;39.8833
"Cylichna occulta";-63.3;44.47
"Cylichna occulta";14.966667;78.266667
"Cylichna occulta";-40;72
"Cylichna occulta";-66.8333;45.056946
"Cylichna occulta";-151;70.55
"Cylichna occulta";-169.528;62.995
"Cylichna occulta";-70.03645;43.67465
"Cylichna occulta";-91;79.75
"Cylichna occulta";-21;82.375
"Cylichna occulta";-54.666668;70.066666
"Cylichna occulta";-70.2558;43.6614
"Cylichna occulta";-70.353829;43.695396
