"species";"lon";"lat"
"Thraustochytrium aureum";20.0762;57.3122
"Thraustochytrium aureum";18.40023;55.55528
"Thraustochytrium aureum";18.23333;58.58333
"Thraustochytrium aureum";17.62367;58.80333
"Thraustochytrium aureum";20.07623;57.31215
"Thraustochytrium aureum";16.20198;56.37078
"Thraustochytrium aureum";19.509;57.2137
"Thraustochytrium aureum";151.2325;-33.9911
"Thraustochytrium aureum";151.1984;-33.8472
"Thraustochytrium aureum";151.2323;-33.992
"Thraustochytrium aureum";23.2538;59.8822
"Thraustochytrium aureum";21.3169;38.4844
"Thraustochytrium aureum";10.1082;55.0048
"Thraustochytrium aureum";17.676;57.427
"Thraustochytrium aureum";13.901;55.038
"Thraustochytrium aureum";13.791;55.185
"Thraustochytrium aureum";14.813;55.434
"Thraustochytrium aureum";16.65;56.032
"Thraustochytrium aureum";17.529;57.04
"Thraustochytrium aureum";18.55597;54.5181
"Thraustochytrium aureum";-53.4215;13.1623
"Thraustochytrium aureum";-3.512892;51.464199
"Thraustochytrium aureum";-0.628398;51.645783
"Thraustochytrium aureum";-2.496568;50.663612
"Thraustochytrium aureum";-0.794226;50.838296
"Thraustochytrium aureum";-1.079981;50.750971
"Thraustochytrium aureum";-1.078214;50.840885
"Thraustochytrium aureum";-1.081738;50.661056
"Thraustochytrium aureum";-72.5267;44.7669
