"species";"lon";"lat"
"Calanus hyperboreus";9.597713;79.562007
"Calanus hyperboreus";11.915185;78.961449
"Calanus hyperboreus";9.6099;79.9278
"Calanus hyperboreus";11.852327;78.969659
"Calanus hyperboreus";9.382658;79.072909
"Calanus hyperboreus";13.510651;78.08367
"Calanus hyperboreus";8.816667;58.383329
"Calanus hyperboreus";-8.681622;70.97183
"Calanus hyperboreus";-65.897896;81.535209
"Calanus hyperboreus";5.3185;60.0953
"Calanus hyperboreus";10.51333;58.275
"Calanus hyperboreus";11.43567;58.25984
"Calanus hyperboreus";30.8487;81.5464
"Calanus hyperboreus";29.9964;82.002
"Calanus hyperboreus";29.98;81.9974
"Calanus hyperboreus";31.4369;81.5542
"Calanus hyperboreus";31.2198;76
"Calanus hyperboreus";31.2199;76
"Calanus hyperboreus";29.5975;82.0531
"Calanus hyperboreus";30.6513;81.57
"Calanus hyperboreus";30.6076;81.5686
"Calanus hyperboreus";29.7511;82.0253
"Calanus hyperboreus";34.0081;80.5276
"Calanus hyperboreus";34.0162;80.5269
"Calanus hyperboreus";33.9712;79.7452
"Calanus hyperboreus";33.9546;79.742
"Calanus hyperboreus";33.946;78.7343
"Calanus hyperboreus";33.9687;77.4997
"Calanus hyperboreus";33.9406;78.7345
"Calanus hyperboreus";33.966;77.4992
"Calanus hyperboreus";33.9606;80.502
"Calanus hyperboreus";33.9995;77.4999
"Calanus hyperboreus";34.0009;78.7501
"Calanus hyperboreus";30.0666;81.9861
"Calanus hyperboreus";33.9975;79.7502
"Calanus hyperboreus";30.1979;82.0294
"Calanus hyperboreus";34;79.75
"Calanus hyperboreus";30.7683;81.5487
"Calanus hyperboreus";30.7324;81.5488
"Calanus hyperboreus";33.9527;80.5015
"Calanus hyperboreus";31.2195;76
"Calanus hyperboreus";34.0008;78.7501
"Calanus hyperboreus";31.2196;76
"Calanus hyperboreus";-17.3967;87.4595
"Calanus hyperboreus";4.6302;85.5082
"Calanus hyperboreus";-11.1897;86.6281
"Calanus hyperboreus";9.5135;84.9675
"Calanus hyperboreus";-60.578;45.222
"Calanus hyperboreus";-56.065;46.318
"Calanus hyperboreus";-61.898;44.86
"Calanus hyperboreus";-68.850962;48.553031
"Calanus hyperboreus";-57.865;45.948
"Calanus hyperboreus";-58.312;45.83
"Calanus hyperboreus";-58.757;45.708
"Calanus hyperboreus";-59.642;45.46
"Calanus hyperboreus";-62.673;44.538
"Calanus hyperboreus";-56.058;46.41
"Calanus hyperboreus";-64.75;43.478
"Calanus hyperboreus";-50.483;48.333
"Calanus hyperboreus";-50.143;48.58
"Calanus hyperboreus";-46.172;51.208
"Calanus hyperboreus";-62.67;44.223
"Calanus hyperboreus";-62.252;44.37
"Calanus hyperboreus";-61.832;44.513
"Calanus hyperboreus";-61.408;44.657
"Calanus hyperboreus";-60.983;44.798
"Calanus hyperboreus";-60.557;44.938
"Calanus hyperboreus";-58.39;45.613
"Calanus hyperboreus";-55.272;46.487
"Calanus hyperboreus";-46.748;50.948
"Calanus hyperboreus";-47.118;50.712
"Calanus hyperboreus";-47.487;50.472
"Calanus hyperboreus";8.2172;64.7108
"Calanus hyperboreus";-60.045;45.045
"Calanus hyperboreus";-59.615;45.187
"Calanus hyperboreus";-58.752;45.462
"Calanus hyperboreus";-58.317;45.597
"Calanus hyperboreus";-56.557;46.122
"Calanus hyperboreus";-64.215;43.558
"Calanus hyperboreus";-63.807;43.715
"Calanus hyperboreus";-65.082;43.243
"Calanus hyperboreus";-30.287;60.773
"Calanus hyperboreus";-30.74;60.525
"Calanus hyperboreus";-31.188;60.277
"Calanus hyperboreus";-31.628;60.025
"Calanus hyperboreus";-32.492;59.52
"Calanus hyperboreus";-33.737;58.75
"Calanus hyperboreus";-34.14;58.492
"Calanus hyperboreus";-34.775;58.125
"Calanus hyperboreus";-37.033;56.98
"Calanus hyperboreus";-37.468;56.747
"Calanus hyperboreus";-35.238;57.9
"Calanus hyperboreus";-41.913;54.083
"Calanus hyperboreus";-42.288;53.835
"Calanus hyperboreus";-42.66;53.583
"Calanus hyperboreus";-43.027;53.332
"Calanus hyperboreus";-43.388;53.078
"Calanus hyperboreus";-43.747;52.825
"Calanus hyperboreus";-44.1;52.57
"Calanus hyperboreus";-35.695;57.672
"Calanus hyperboreus";-36.147;57.443
"Calanus hyperboreus";-36.593;57.213
"Calanus hyperboreus";-44.603;52.233
"Calanus hyperboreus";-46.537;51.077
"Calanus hyperboreus";-46.912;50.842
"Calanus hyperboreus";-48.373;49.89
"Calanus hyperboreus";-48.73;49.648
"Calanus hyperboreus";-49.083;49.407
"Calanus hyperboreus";-49.433;49.163
"Calanus hyperboreus";-44.997;52.005
"Calanus hyperboreus";-50.123;48.673
"Calanus hyperboreus";-50.463;48.428
"Calanus hyperboreus";-50.798;48.18
"Calanus hyperboreus";-45.388;51.775
"Calanus hyperboreus";-45.775;51.543
"Calanus hyperboreus";-46.158;51.31
"Calanus hyperboreus";-39.826;55.404
"Calanus hyperboreus";-49.798;48.898
"Calanus hyperboreus";-51.148;47.914
"Calanus hyperboreus";8.1604;73.5667
"Calanus hyperboreus";-46.658;52.338
"Calanus hyperboreus";19.035;69.525
"Calanus hyperboreus";-67.868533;48.973678
"Calanus hyperboreus";-14.5;63.573
"Calanus hyperboreus";4.405;58.953
"Calanus hyperboreus";4.907;58.743
"Calanus hyperboreus";5.403;58.533
"Calanus hyperboreus";5.893;58.32
"Calanus hyperboreus";9.867;57.638
"Calanus hyperboreus";9.352;57.45
