"species";"lon";"lat"
"Actinastrum hantzschii";4.85;52.05
"Actinastrum hantzschii";144.364808;-38.182211
"Actinastrum hantzschii";83.11351;54.874086
"Actinastrum hantzschii";152.950297;-27.087625
"Actinastrum hantzschii";-79.752308;43.247697
"Actinastrum hantzschii";14.358657;50.084874
"Actinastrum hantzschii";14.331575;50.088267
"Actinastrum hantzschii";-76.846203;0.305056
"Actinastrum hantzschii";25.287278;54.727045
"Actinastrum hantzschii";17.0715;58.7385
"Actinastrum hantzschii";22.26549;65.63597
"Actinastrum hantzschii";0.55;41.3
"Actinastrum hantzschii";0.43;41.29
"Actinastrum hantzschii";153.000987;-27.540982
"Actinastrum hantzschii";-87.982822;43.226796
"Actinastrum hantzschii";120.682265;36.375926
"Actinastrum hantzschii";0.54;41.48
"Actinastrum hantzschii";-71.287887;42.630302
"Actinastrum hantzschii";-99.734478;32.478462
"Actinastrum hantzschii";11.04677;59.345379
"Actinastrum hantzschii";19.817;63.5
"Actinastrum hantzschii";19.80817;63.525
"Actinastrum hantzschii";19.81817;63.49933
"Actinastrum hantzschii";22.44667;65.73
"Actinastrum hantzschii";22.375;65.8075
"Actinastrum hantzschii";20.33597;63.71049
"Actinastrum hantzschii";22.3745;65.80783
"Actinastrum hantzschii";-97.572123;30.439157
"Actinastrum hantzschii";-71.829817;42.290324
"Actinastrum hantzschii";3.386024;6.496022
"Actinastrum hantzschii";-5.273612;6.818385
"Actinastrum hantzschii";-5.263597;6.825114
"Actinastrum hantzschii";-5.273612;6.818385
"Actinastrum hantzschii";-5.268818;6.822395
"Actinastrum hantzschii";13.307819;52.452544
"Actinastrum hantzschii";128.87004;71.74669
"Actinastrum hantzschii";35.193;50.0549
"Actinastrum hantzschii";6.465848;2.599924
"Actinastrum hantzschii";6.465848;2.599924
"Actinastrum hantzschii";11.972561;48.995291
"Actinastrum hantzschii";5.85;53.2
"Actinastrum hantzschii";5.9;53
"Actinastrum hantzschii";5.17179;51.231107
"Actinastrum hantzschii";13.30824;52.452471
"Actinastrum hantzschii";18.96;54.38
"Actinastrum hantzschii";4.951277;52.278313
"Actinastrum hantzschii";13.323425;52.404497
"Actinastrum hantzschii";27.48742;58.23278
"Actinastrum hantzschii";13.315945;52.407394
"Actinastrum hantzschii";4.863088;52.424195
"Actinastrum hantzschii";4.930885;52.290702
"Actinastrum hantzschii";5.127883;52.284827
"Actinastrum hantzschii";4.944748;52.201119
"Actinastrum hantzschii";4.904869;52.273001
"Actinastrum hantzschii";5.998474;52.72071
"Actinastrum hantzschii";4.683367;52.463565
"Actinastrum hantzschii";4.763275;52.524642
"Actinastrum hantzschii";4.765018;52.4469
"Actinastrum hantzschii";4.831191;52.587622
"Actinastrum hantzschii";5.018184;52.426568
"Actinastrum hantzschii";4.939153;52.479556
"Actinastrum hantzschii";4.803535;52.504257
"Actinastrum hantzschii";4.863819;52.515386
"Actinastrum hantzschii";5.026414;52.587521
"Actinastrum hantzschii";5.031741;52.543608
"Actinastrum hantzschii";4.923804;52.874694
"Actinastrum hantzschii";4.721922;52.57393
"Actinastrum hantzschii";4.860731;52.487718
"Actinastrum hantzschii";4.944789;52.576722
"Actinastrum hantzschii";4.861558;53.14708
"Actinastrum hantzschii";4.704186;52.823493
"Actinastrum hantzschii";4.676799;52.518836
"Actinastrum hantzschii";4.724944;52.520022
"Actinastrum hantzschii";18.93;54.38
"Actinastrum hantzschii";20.361;63.66433
"Actinastrum hantzschii";4.72221;52.461911
"Actinastrum hantzschii";11.567639;53.038142
"Actinastrum hantzschii";5.088441;52.272394
"Actinastrum hantzschii";6.448775;53.192955
"Actinastrum hantzschii";6.57768;53.162988
"Actinastrum hantzschii";6.428823;52.879763
"Actinastrum hantzschii";18.96;54.46
"Actinastrum hantzschii";-39.223611;-14.659722
"Actinastrum hantzschii";4.338931;51.616665
"Actinastrum hantzschii";4.239958;51.550564
"Actinastrum hantzschii";6.694442;53.127621
"Actinastrum hantzschii";4.329767;51.852754
"Actinastrum hantzschii";4.310366;51.846438
"Actinastrum hantzschii";4.284024;51.829267
"Actinastrum hantzschii";4.306435;51.810643
"Actinastrum hantzschii";4.254526;51.676385
"Actinastrum hantzschii";4.328473;51.697806
"Actinastrum hantzschii";4.245696;51.738101
"Actinastrum hantzschii";4.490179;51.879527
"Actinastrum hantzschii";4.823114;52.236031
"Actinastrum hantzschii";5.12657;52.745811
"Actinastrum hantzschii";4.783682;51.528389
"Actinastrum hantzschii";4.492358;51.678525
"Actinastrum hantzschii";6.826228;53.271698
"Actinastrum hantzschii";4.29955;51.84116
"Actinastrum hantzschii";4.214642;51.682186
