"species";"lon";"lat"
"Actinoptychus octonarius";18.26417;62.8635
"Actinoptychus octonarius";16.20202;56.37093
"Actinoptychus octonarius";29.783889;45.603056
"Actinoptychus octonarius";20.07617;57.31222
"Actinoptychus octonarius";24.96889;60.18083
"Actinoptychus octonarius";-53.96449;5.73213
"Actinoptychus octonarius";-52.57801;5.27752
"Actinoptychus octonarius";-52.60041;5.2401
"Actinoptychus octonarius";-122.358333;37.788333
"Actinoptychus octonarius";-51.93334;4.825
"Actinoptychus octonarius";20.873;63.556
"Actinoptychus octonarius";19.54;59.88
"Actinoptychus octonarius";13.901;55.038
"Actinoptychus octonarius";19.176;60.744
"Actinoptychus octonarius";20.251;62.973
"Actinoptychus octonarius";-122.37;38.028333
"Actinoptychus octonarius";-122.421667;37.846667
"Actinoptychus octonarius";139.001593;34.644973
"Actinoptychus octonarius";-122.19;37.555
"Actinoptychus octonarius";-9.01;41.08
"Actinoptychus octonarius";151.9052;-23.4467
