"species";"lon";"lat"
"Ankistrodesmus arcuatus";-48.779389;-26.328864
"Ankistrodesmus arcuatus";-48.782558;-26.327109
"Ankistrodesmus arcuatus";-48.777781;-26.330825
"Ankistrodesmus arcuatus";17.66432;59.81625
"Ankistrodesmus arcuatus";17.0715;58.7385
"Ankistrodesmus arcuatus";20.3359;63.7105
"Ankistrodesmus arcuatus";20.3333;63.6728
"Ankistrodesmus arcuatus";17.4911;60.6585
"Ankistrodesmus arcuatus";22.375;65.8075
"Ankistrodesmus arcuatus";17.16636;60.95757
"Ankistrodesmus arcuatus";17.28398;60.69692
"Ankistrodesmus arcuatus";18.57657;60.10986
"Ankistrodesmus arcuatus";18.48382;60.17682
"Ankistrodesmus arcuatus";18.41649;60.24931
"Ankistrodesmus arcuatus";18.75731;59.52486
"Ankistrodesmus arcuatus";18.63224;59.12155
"Ankistrodesmus arcuatus";18.33801;60.29853
"Ankistrodesmus arcuatus";17.66253;60.53203
"Ankistrodesmus arcuatus";17.8602;58.85202
"Ankistrodesmus arcuatus";17.62249;59.02449
"Ankistrodesmus arcuatus";17.59841;58.86936
"Ankistrodesmus arcuatus";18.28706;59.36413
"Ankistrodesmus arcuatus";18.27479;60.35582
"Ankistrodesmus arcuatus";18.70181;60.15101
"Ankistrodesmus arcuatus";19.17208;59.41931
"Ankistrodesmus arcuatus";18.76939;59.33389
"Ankistrodesmus arcuatus";17.01491;58.67112
"Ankistrodesmus arcuatus";20.33334;63.67278
"Ankistrodesmus arcuatus";18.34321;59.36615
"Ankistrodesmus arcuatus";18.39062;59.43943
"Ankistrodesmus arcuatus";18.15263;59.3192
"Ankistrodesmus arcuatus";18.6734;59.37828
"Ankistrodesmus arcuatus";18.31974;59.29523
"Ankistrodesmus arcuatus";18.37725;59.32534
"Ankistrodesmus arcuatus";16.84155;58.59636
"Ankistrodesmus arcuatus";18.38358;59.26851
"Ankistrodesmus arcuatus";0.55;41.3
"Ankistrodesmus arcuatus";16.30782;58.62837
"Ankistrodesmus arcuatus";18.9025;60.14133
"Ankistrodesmus arcuatus";18.44778;60.3464
"Ankistrodesmus arcuatus";18.87949;59.77715
"Ankistrodesmus arcuatus";18.31829;59.29366
"Ankistrodesmus arcuatus";18.75732;59.52487
"Ankistrodesmus arcuatus";18.92883;59.52675
"Ankistrodesmus arcuatus";18.39213;59.22278
"Ankistrodesmus arcuatus";18.5543;59.15906
"Ankistrodesmus arcuatus";17.74215;59.08473
"Ankistrodesmus arcuatus";16.51354;58.6469
"Ankistrodesmus arcuatus";18.44225;59.37692
"Ankistrodesmus arcuatus";17.28443;58.7154
"Ankistrodesmus arcuatus";17.42774;58.77192
"Ankistrodesmus arcuatus";0.54;41.48
"Ankistrodesmus arcuatus";18.8527;59.31379
"Ankistrodesmus arcuatus";22.44617;65.73
"Ankistrodesmus arcuatus";0.87;42.38
"Ankistrodesmus arcuatus";17.0715;58.73833
"Ankistrodesmus arcuatus";16.56369;58.44863
"Ankistrodesmus arcuatus";16.64293;58.43786
"Ankistrodesmus arcuatus";16.71167;58.40898
"Ankistrodesmus arcuatus";16.75591;58.61597
"Ankistrodesmus arcuatus";18.57889;59.3845
"Ankistrodesmus arcuatus";18.18221;59.32579
"Ankistrodesmus arcuatus";19.80817;63.525
"Ankistrodesmus arcuatus";16.62688;58.19066
"Ankistrodesmus arcuatus";0.43;41.29
"Ankistrodesmus arcuatus";22.44667;65.72983
"Ankistrodesmus arcuatus";22.06483;64.70917
"Ankistrodesmus arcuatus";22.37533;65.80733
"Ankistrodesmus arcuatus";0.54;41.57
"Ankistrodesmus arcuatus";18.26283;62.86333
"Ankistrodesmus arcuatus";22.27369;65.63152
"Ankistrodesmus arcuatus";22.24809;65.66089
"Ankistrodesmus arcuatus";22.28167;65.68336
"Ankistrodesmus arcuatus";22.3745;65.80783
"Ankistrodesmus arcuatus";22.3745;65.80733
"Ankistrodesmus arcuatus";21.5379;65.3371
"Ankistrodesmus arcuatus";21.6553;65.3035
"Ankistrodesmus arcuatus";17.94033;62.65917
"Ankistrodesmus arcuatus";17.87467;62.666
"Ankistrodesmus arcuatus";21.5055;65.3241
"Ankistrodesmus arcuatus";23.4262;65.8027
"Ankistrodesmus arcuatus";23.4496;65.8044
"Ankistrodesmus arcuatus";23.0407;65.7613
"Ankistrodesmus arcuatus";21.6544;65.3141
"Ankistrodesmus arcuatus";18.9025;60.139
"Ankistrodesmus arcuatus";17.94;62.64183
"Ankistrodesmus arcuatus";22.0675;64.70783
"Ankistrodesmus arcuatus";19.80767;63.525
"Ankistrodesmus arcuatus";18.38648;59.43668
"Ankistrodesmus arcuatus";18.95156;59.77823
"Ankistrodesmus arcuatus";17.16637;60.95757
"Ankistrodesmus arcuatus";48.905305;38.385822
"Ankistrodesmus arcuatus";49.487167;37.509344
"Ankistrodesmus arcuatus";48.931879;37.99157
"Ankistrodesmus arcuatus";49.944422;37.502589
"Ankistrodesmus arcuatus";50.658;36.948844
"Ankistrodesmus arcuatus";51.117456;36.744637
"Ankistrodesmus arcuatus";51.594952;36.673665
"Ankistrodesmus arcuatus";52.551509;36.741668
"Ankistrodesmus arcuatus";53.090122;36.844685
"Ankistrodesmus arcuatus";53.280635;36.919432
"Ankistrodesmus arcuatus";52.971545;36.810257
"Ankistrodesmus arcuatus";53.919634;36.951744
"Ankistrodesmus arcuatus";22.44767;65.73033
"Ankistrodesmus arcuatus";18.87417;63.26733
"Ankistrodesmus arcuatus";17.09299;61.31102
"Ankistrodesmus arcuatus";18.32533;62.87
"Ankistrodesmus arcuatus";18.27478;60.35582
"Ankistrodesmus arcuatus";22.37517;65.8085
"Ankistrodesmus arcuatus";22.43167;65.79233
"Ankistrodesmus arcuatus";22.0675;64.70833
"Ankistrodesmus arcuatus";22.44667;65.7295
"Ankistrodesmus arcuatus";18.51717;63.0675
"Ankistrodesmus arcuatus";20.32083;63.60971
"Ankistrodesmus arcuatus";18.85083;63.28667
"Ankistrodesmus arcuatus";18.627;63.08433
"Ankistrodesmus arcuatus";18.56283;63.09017
"Ankistrodesmus arcuatus";18.5485;63.071
"Ankistrodesmus arcuatus";18.329;62.87117
"Ankistrodesmus arcuatus";17.723;62.987
"Ankistrodesmus arcuatus";18.85833;63.28283
"Ankistrodesmus arcuatus";18.87417;63.2745
"Ankistrodesmus arcuatus";18.33067;62.87283
"Ankistrodesmus arcuatus";18.44667;63.039
"Ankistrodesmus arcuatus";18.41625;62.97395
"Ankistrodesmus arcuatus";18.2925;63.0035
"Ankistrodesmus arcuatus";17.66273;60.53168
"Ankistrodesmus arcuatus";18.75583;63.2285
"Ankistrodesmus arcuatus";18.87117;63.2645
"Ankistrodesmus arcuatus";72.07487;40.44944
"Ankistrodesmus arcuatus";22.27467;65.63079
"Ankistrodesmus arcuatus";22.25494;65.66078
"Ankistrodesmus arcuatus";22.25156;65.66445
"Ankistrodesmus arcuatus";22.23952;65.66597
"Ankistrodesmus arcuatus";71.71053;41.16061
"Ankistrodesmus arcuatus";18.57657;60.10985
"Ankistrodesmus arcuatus";20.399;63.698
"Ankistrodesmus arcuatus";20.4055;63.686
"Ankistrodesmus arcuatus";21.088;64.20733
"Ankistrodesmus arcuatus";21.0875;64.20767
"Ankistrodesmus arcuatus";16.38398;58.62708
"Ankistrodesmus arcuatus";16.40717;58.60015
"Ankistrodesmus arcuatus";22.27617;65.69183
"Ankistrodesmus arcuatus";21.5045;65.32583
"Ankistrodesmus arcuatus";21.27583;64.617
"Ankistrodesmus arcuatus";23.67133;65.77933
"Ankistrodesmus arcuatus";23.9195;65.744
"Ankistrodesmus arcuatus";20.4205;63.73817
"Ankistrodesmus arcuatus";20.33733;63.70217
"Ankistrodesmus arcuatus";18.4292;59.30265
"Ankistrodesmus arcuatus";18.33802;60.29853
"Ankistrodesmus arcuatus";73.06461;40.77178
"Ankistrodesmus arcuatus";22.80517;65.80483
"Ankistrodesmus arcuatus";22.673;65.8885
"Ankistrodesmus arcuatus";18.47713;60.2155
"Ankistrodesmus arcuatus";17.69382;60.57623
"Ankistrodesmus arcuatus";18.64783;63.17067
"Ankistrodesmus arcuatus";49.467432;37.466347
"Ankistrodesmus arcuatus";2.1;41.41
"Ankistrodesmus arcuatus";1.39;41.13
"Ankistrodesmus arcuatus";1;42.11
"Ankistrodesmus arcuatus";0.69;40.67
"Ankistrodesmus arcuatus";2.21;41.77
"Ankistrodesmus arcuatus";31.805741;46.586576
"Ankistrodesmus arcuatus";31.95183;46.58802
"Ankistrodesmus arcuatus";31.944064;46.703967
