"species";"lon";"lat"
"Asterionella formosa";-72.313996;41.767013
"Asterionella formosa";4.85;52.05
"Asterionella formosa";5.95;52.5
"Asterionella formosa";-73.960937;40.819175
"Asterionella formosa";4.9;52.1
"Asterionella formosa";11.0816;53.582111
"Asterionella formosa";-93.309916;44.933455
"Asterionella formosa";-119.250674;46.264599
"Asterionella formosa";5.383834;50.92841
"Asterionella formosa";-74.380267;39.891553
"Asterionella formosa";-74.347853;39.885291
"Asterionella formosa";-92.478284;35.287782
"Asterionella formosa";-123.050664;45.043042
"Asterionella formosa";-122.584508;45.531181
"Asterionella formosa";14.415966;50.106031
"Asterionella formosa";-97.255508;49.698055
"Asterionella formosa";-73.213158;41.722336
"Asterionella formosa";9.948114;54.275837
"Asterionella formosa";7.633674;52.351626
"Asterionella formosa";83.136238;54.872431
"Asterionella formosa";-122.670172;45.620333
"Asterionella formosa";-76.494482;40.951235
"Asterionella formosa";-76.480247;40.949037
"Asterionella formosa";19.573383;49.091268
"Asterionella formosa";19.359411;49.119243
"Asterionella formosa";36.745678;55.680307
"Asterionella formosa";-89.261119;48.421118
"Asterionella formosa";-95.120662;43.370657
"Asterionella formosa";-73.748195;41.045115
"Asterionella formosa";-95.174598;43.423907
"Asterionella formosa";-122.394047;45.596028
"Asterionella formosa";25.023637;60.222218
"Asterionella formosa";-89.378575;48.622901
"Asterionella formosa";11.1571;60.2225
"Asterionella formosa";47.302523;56.26823
"Asterionella formosa";-1.745257;54.067667
"Asterionella formosa";-73.892873;40.889205
"Asterionella formosa";12.08514;57.66928
"Asterionella formosa";16.56324;58.99588
"Asterionella formosa";15.54016;58.14396
"Asterionella formosa";-121.473308;46.420625
"Asterionella formosa";-122.414967;45.608708
"Asterionella formosa";140.85085;38.336048
"Asterionella formosa";14.076228;49.109662
"Asterionella formosa";14.349189;50.043937
"Asterionella formosa";2.448382;48.78282
"Asterionella formosa";2.469587;41.769383
"Asterionella formosa";36.250616;49.881439
"Asterionella formosa";16.84088;59.08294
"Asterionella formosa";-84.556754;42.717195
"Asterionella formosa";-123.468291;48.465094
"Asterionella formosa";-72.135732;40.966893
"Asterionella formosa";-72.032084;41.430929
"Asterionella formosa";14.977001;67.2743
"Asterionella formosa";11.438594;53.69191
"Asterionella formosa";-122.602672;49.141439
"Asterionella formosa";-122.603501;49.14054
"Asterionella formosa";-73.999852;45.880583
"Asterionella formosa";11.314266;59.111717
"Asterionella formosa";10.72905;59.28868
"Asterionella formosa";11.161667;59.114334
"Asterionella formosa";10.653178;59.191948
"Asterionella formosa";12.72;56.565
"Asterionella formosa";-75.516963;40.067702
"Asterionella formosa";-77.03525;35.11375
"Asterionella formosa";-73.220922;44.476151
"Asterionella formosa";7.633653;52.351856
"Asterionella formosa";10.569373;59.81498
"Asterionella formosa";12.6521;56.3155
"Asterionella formosa";-73.220963;44.476205
"Asterionella formosa";14.404957;50.033339
"Asterionella formosa";10.147886;54.327836
"Asterionella formosa";5.603363;58.692626
"Asterionella formosa";22.4465;65.73
"Asterionella formosa";18.31974;59.29523
"Asterionella formosa";18.34321;59.36615
