"species";"lon";"lat"
"Aulacoseira ambigua";-48.921897;-26.294087
"Aulacoseira ambigua";-48.905669;-26.302786
"Aulacoseira ambigua";11.0816;53.582111
"Aulacoseira ambigua";-48.804247;-26.217333
"Aulacoseira ambigua";-48.802331;-26.213242
"Aulacoseira ambigua";-48.912361;-26.298191
"Aulacoseira ambigua";-48.818358;-26.218206
"Aulacoseira ambigua";10.678084;59.484333
"Aulacoseira ambigua";17.66646;59.81445
"Aulacoseira ambigua";17.4911;60.6585
"Aulacoseira ambigua";11.161667;59.114334
"Aulacoseira ambigua";-118.102501;34.194609
"Aulacoseira ambigua";-106.533333;35.9
"Aulacoseira ambigua";-51.452574;-23.347042
"Aulacoseira ambigua";23.5082;65.7717
"Aulacoseira ambigua";20.3359;63.7105
"Aulacoseira ambigua";-51.426328;-23.32008
"Aulacoseira ambigua";-51.43928;-23.336383
"Aulacoseira ambigua";24.11752;65.75391
"Aulacoseira ambigua";152.930992;-26.384006
"Aulacoseira ambigua";3.30075;50.70259
"Aulacoseira ambigua";3.55446;50.73112
"Aulacoseira ambigua";4.40422;50.46167
"Aulacoseira ambigua";2.425529;45.794541
"Aulacoseira ambigua";10.42897;59.413425
"Aulacoseira ambigua";8.70094;41.93473
"Aulacoseira ambigua";22.2785;65.6837
"Aulacoseira ambigua";21.56563;65.11497
"Aulacoseira ambigua";22.2492;65.6639
"Aulacoseira ambigua";21.54771;65.38509
"Aulacoseira ambigua";21.89184;65.52339
"Aulacoseira ambigua";22.40178;65.68358
"Aulacoseira ambigua";23.91366;65.74157
"Aulacoseira ambigua";22.32293;65.48424
"Aulacoseira ambigua";3.64925;50.46641
"Aulacoseira ambigua";5.30106;49.73846
"Aulacoseira ambigua";23.88068;65.69992
"Aulacoseira ambigua";24.14155;65.70077
"Aulacoseira ambigua";24.14358;65.65237
"Aulacoseira ambigua";22.36667;65.72562
"Aulacoseira ambigua";20.32912;63.67898
"Aulacoseira ambigua";3.38797;50.58685
"Aulacoseira ambigua";4.11747;50.30472
"Aulacoseira ambigua";3.42299;50.51583
"Aulacoseira ambigua";5.52331;50.21636
"Aulacoseira ambigua";5.56716;50.53236
"Aulacoseira ambigua";5.6125;50.60935
"Aulacoseira ambigua";8.8654;46.1516
"Aulacoseira ambigua";8.6191;45.8512
"Aulacoseira ambigua";8.5913;45.7536
"Aulacoseira ambigua";18.34321;59.36615
"Aulacoseira ambigua";18.15263;59.3192
"Aulacoseira ambigua";22.37517;65.8075
"Aulacoseira ambigua";-0.462772;43.43097
"Aulacoseira ambigua";-73.259205;-37.977215
"Aulacoseira ambigua";-73.359216;-37.897712
"Aulacoseira ambigua";-73.385319;-37.892923
"Aulacoseira ambigua";-73.258938;-37.964049
"Aulacoseira ambigua";-73.259911;-37.950305
"Aulacoseira ambigua";-73.287547;-37.951915
"Aulacoseira ambigua";-73.278685;-37.929038
"Aulacoseira ambigua";-73.293486;-37.921671
"Aulacoseira ambigua";-73.319701;-37.920475
"Aulacoseira ambigua";-73.343986;-37.91667
"Aulacoseira ambigua";-73.323321;-37.904217
"Aulacoseira ambigua";3.35222;50.70087
"Aulacoseira ambigua";3.38828;50.72864
"Aulacoseira ambigua";39.6064;60.7081
"Aulacoseira ambigua";5.98866;50.71791
"Aulacoseira ambigua";4.00916;50.47536
"Aulacoseira ambigua";4.30622;50.48921
"Aulacoseira ambigua";3.50304;50.48788
"Aulacoseira ambigua";4.85594;50.46429
"Aulacoseira ambigua";3.6831;50.48807
"Aulacoseira ambigua";3.91659;50.47998
"Aulacoseira ambigua";3.86296;50.7382
"Aulacoseira ambigua";10.420983;59.627766
"Aulacoseira ambigua";10.355416;59.202835
"Aulacoseira ambigua";-6.709996;41.432183
"Aulacoseira ambigua";1.24;42.03
"Aulacoseira ambigua";36.9499;59.9926
"Aulacoseira ambigua";22.44667;65.73
"Aulacoseira ambigua";9.618;59.10437
"Aulacoseira ambigua";2.95061;50.75161
"Aulacoseira ambigua";3.40768;50.6077
"Aulacoseira ambigua";4.11043;50.42505
"Aulacoseira ambigua";4.3821;50.40809
"Aulacoseira ambigua";5.3519;49.81511
"Aulacoseira ambigua";4.9441;49.87796
"Aulacoseira ambigua";5.65482;49.73223
"Aulacoseira ambigua";10.051567;59.019299
"Aulacoseira ambigua";22.3745;65.80783
"Aulacoseira ambigua";3.77476;50.63635
"Aulacoseira ambigua";3.77476;50.63635
"Aulacoseira ambigua";10.168;59.4635
"Aulacoseira ambigua";19.428173;50.41881
"Aulacoseira ambigua";11.04677;59.345379
"Aulacoseira ambigua";10.164999;59.1726
"Aulacoseira ambigua";0.55;41.3
"Aulacoseira ambigua";39.5854;60.4521
"Aulacoseira ambigua";39.6282;60.4664
"Aulacoseira ambigua";37.7722;59.8614
"Aulacoseira ambigua";10.156597;59.515494
"Aulacoseira ambigua";-73.229198;-38.02912
"Aulacoseira ambigua";-73.416179;-37.896426
"Aulacoseira ambigua";-73.226342;-38.006361
"Aulacoseira ambigua";-73.27009;-37.985806
"Aulacoseira ambigua";5.69026;50.73729
"Aulacoseira ambigua";5.89017;50.57849
"Aulacoseira ambigua";3.85441;50.44475
"Aulacoseira ambigua";3.6911;50.38483
"Aulacoseira ambigua";5.61684;49.7473
"Aulacoseira ambigua";3.28206;50.69742
"Aulacoseira ambigua";20.42041;63.73809
"Aulacoseira ambigua";-46.705556;-23.866667
"Aulacoseira ambigua";39.1792;60.5679
"Aulacoseira ambigua";39.1045;59.7985
"Aulacoseira ambigua";3.68134;50.44916
"Aulacoseira ambigua";3.65396;50.489
"Aulacoseira ambigua";11.429901;53.662594
"Aulacoseira ambigua";3.34222;50.64048
"Aulacoseira ambigua";5.53736;50.39367
"Aulacoseira ambigua";5.53126;50.38238
"Aulacoseira ambigua";4.69432;50.39334
"Aulacoseira ambigua";120.971857;24.908907
"Aulacoseira ambigua";5.03751;50.32609
"Aulacoseira ambigua";-89.47245;43.09742
"Aulacoseira ambigua";-6.670665;41.455692
"Aulacoseira ambigua";-6.660076;41.491651
"Aulacoseira ambigua";-121.917;36.625
"Aulacoseira ambigua";-122.486;37.79
"Aulacoseira ambigua";-4.925136;51.615233
"Aulacoseira ambigua";4.15717;50.66987
"Aulacoseira ambigua";4.2254;50.60585
"Aulacoseira ambigua";4.50192;50.03745
"Aulacoseira ambigua";4.88334;50.38973
"Aulacoseira ambigua";4.71857;50.17149
"Aulacoseira ambigua";-74.92697;3.84386
"Aulacoseira ambigua";-75.887116;4.89397
"Aulacoseira ambigua";-74.39417;5.20022
"Aulacoseira ambigua";-75.20803;7.95597
"Aulacoseira ambigua";-74.82717;11.04469
"Aulacoseira ambigua";-86.48864;52.8376
"Aulacoseira ambigua";-86.54469;52.84389
"Aulacoseira ambigua";-86.70755;52.79017
"Aulacoseira ambigua";-86.76367;52.63018
"Aulacoseira ambigua";-85.85557;52.73203
"Aulacoseira ambigua";-85.88654;52.56343
"Aulacoseira ambigua";-86.01665;52.5488
"Aulacoseira ambigua";-86.08858;52.56557
"Aulacoseira ambigua";-86.16822;52.54689
"Aulacoseira ambigua";-86.20304;52.59654
"Aulacoseira ambigua";-86.14187;52.62429
"Aulacoseira ambigua";-86.31126;52.69878
"Aulacoseira ambigua";-85.80751;52.72983
"Aulacoseira ambigua";-85.61712;52.73263
"Aulacoseira ambigua";-85.53465;52.72758
"Aulacoseira ambigua";-85.50613;52.69875
"Aulacoseira ambigua";-85.4917;52.71384
"Aulacoseira ambigua";-85.46288;52.71329
"Aulacoseira ambigua";-85.44016;52.70445
"Aulacoseira ambigua";-85.41056;52.56204
