"species";"lon";"lat"
"Aulacoseira granulata";-48.777781;-26.330825
"Aulacoseira granulata";-48.779389;-26.328864
"Aulacoseira granulata";-48.782558;-26.327109
"Aulacoseira granulata";82.971621;54.988469
"Aulacoseira granulata";-81.710315;28.086738
"Aulacoseira granulata";-79.879529;43.111131
"Aulacoseira granulata";-41.325306;-21.751598
"Aulacoseira granulata";-41.325285;-21.751612
"Aulacoseira granulata";16.56324;58.99588
"Aulacoseira granulata";120.48302;23.467162
"Aulacoseira granulata";120.482996;23.467147
"Aulacoseira granulata";113.008288;23.72407
"Aulacoseira granulata";14.34214;50.096513
"Aulacoseira granulata";113.277346;22.898449
"Aulacoseira granulata";113.265971;22.937808
"Aulacoseira granulata";-95.120499;43.37102
"Aulacoseira granulata";-95.365264;43.438822
"Aulacoseira granulata";10.420983;59.627766
"Aulacoseira granulata";71.492693;40.939077
"Aulacoseira granulata";11.032425;59.330515
"Aulacoseira granulata";-76.547944;0.396639
"Aulacoseira granulata";-76.846203;0.305056
"Aulacoseira granulata";17.0715;58.7385
"Aulacoseira granulata";15.78459;58.04679
"Aulacoseira granulata";10.723783;59.7863
"Aulacoseira granulata";10.678084;59.484333
"Aulacoseira granulata";17.6066;60.6633
"Aulacoseira granulata";17.4071;60.6623
"Aulacoseira granulata";-72.448005;-36.754362
"Aulacoseira granulata";10.742951;59.689797
"Aulacoseira granulata";72.807389;21.189722
"Aulacoseira granulata";72.706944;21.0795
"Aulacoseira granulata";-95.120666;43.370654
"Aulacoseira granulata";0.76;41.93
"Aulacoseira granulata";0.79;41.3
"Aulacoseira granulata";0.55;41.3
"Aulacoseira granulata";0.54;41.48
"Aulacoseira granulata";0.43;41.29
"Aulacoseira granulata";22.2785;65.6837
"Aulacoseira granulata";22.38523;65.63696
"Aulacoseira granulata";21.54771;65.38509
"Aulacoseira granulata";22.26549;65.63597
"Aulacoseira granulata";23.42507;65.79643
"Aulacoseira granulata";22.01776;65.51054
"Aulacoseira granulata";23.02927;65.73167
"Aulacoseira granulata";17.6066;60.6633
"Aulacoseira granulata";7.599192;51.946487
