"species";"lon";"lat"
"Aulacoseira italica";11.314266;59.111717
"Aulacoseira italica";10.678084;59.484333
"Aulacoseira italica";10.883702;59.730005
"Aulacoseira italica";11.032425;59.330515
"Aulacoseira italica";10.313697;59.970247
"Aulacoseira italica";10.331285;59.916709
"Aulacoseira italica";5.677955;58.748379
"Aulacoseira italica";5.637175;58.971798
"Aulacoseira italica";10.42897;59.413425
"Aulacoseira italica";10.355416;59.202835
"Aulacoseira italica";10.420983;59.627766
"Aulacoseira italica";11.7683;57.6788
"Aulacoseira italica";23.91366;65.74157
"Aulacoseira italica";17.4911;60.6585
"Aulacoseira italica";17.4071;60.6623
"Aulacoseira italica";18.15263;59.3192
"Aulacoseira italica";18.34321;59.36615
"Aulacoseira italica";18.6734;59.37828
"Aulacoseira italica";18.39062;59.43943
"Aulacoseira italica";22.06467;64.709
"Aulacoseira italica";10.590569;59.35867
"Aulacoseira italica";39.6077;60.7048
"Aulacoseira italica";22.44633;65.72867
"Aulacoseira italica";11.04677;59.345379
"Aulacoseira italica";39.7666;60.6495
"Aulacoseira italica";22.24809;65.66089
"Aulacoseira italica";-95.17266;43.3719
"Aulacoseira italica";22.44767;65.72967
"Aulacoseira italica";8.654774;59.480377
"Aulacoseira italica";8.495267;59.393213
"Aulacoseira italica";39.5854;60.4521
"Aulacoseira italica";39.7815;60.4042
"Aulacoseira italica";37.7722;59.8614
"Aulacoseira italica";8.630438;59.529871
"Aulacoseira italica";8.812061;59.311018
"Aulacoseira italica";5.545606;58.759531
"Aulacoseira italica";11.532832;59.848034
"Aulacoseira italica";39.1792;60.5679
"Aulacoseira italica";39.1045;59.7985
"Aulacoseira italica";3.50304;50.48788
"Aulacoseira italica";8.1781;59.6718
"Aulacoseira italica";39.0537;60.4272
"Aulacoseira italica";39.0161;60.4021
"Aulacoseira italica";36.3692;60.5879
"Aulacoseira italica";36.3101;60.6868
"Aulacoseira italica";17.70367;62.99317
"Aulacoseira italica";17.70217;62.97983
"Aulacoseira italica";18.85083;63.28667
"Aulacoseira italica";17.723;62.987
"Aulacoseira italica";18.85833;63.28283
"Aulacoseira italica";17.699;62.99733
"Aulacoseira italica";18.87117;63.2645
"Aulacoseira italica";5.200833;51.225278
"Aulacoseira italica";5.17179;51.231107
"Aulacoseira italica";5.9962;47.91706
"Aulacoseira italica";-1.364408;52.748915
"Aulacoseira italica";5.91739;47.84026
"Aulacoseira italica";6.84366;47.52176
"Aulacoseira italica";128.60253;71.79854
"Aulacoseira italica";126.03104;72.25583
"Aulacoseira italica";126.0668;72.24956
"Aulacoseira italica";124.83843;72.69729
"Aulacoseira italica";22.217511;60.43437
"Aulacoseira italica";2.71819;49.93675
"Aulacoseira italica";16.38398;58.62708
"Aulacoseira italica";-6.422699;52.361988
"Aulacoseira italica";22.263;65.6365
"Aulacoseira italica";21.441;65.304
"Aulacoseira italica";21.2845;65.33517
"Aulacoseira italica";21.6505;65.30133
"Aulacoseira italica";7.914758;45.325697
"Aulacoseira italica";7.91529;45.3253
"Aulacoseira italica";5.809172;51.114548
"Aulacoseira italica";3.908611;51.804335
"Aulacoseira italica";3.908074;51.79595
"Aulacoseira italica";4.494687;51.868973
"Aulacoseira italica";4.298701;52.010702
"Aulacoseira italica";4.165889;51.971932
"Aulacoseira italica";4.354294;52.095059
"Aulacoseira italica";5.68893;52.36708
"Aulacoseira italica";4.547081;51.863283
"Aulacoseira italica";4.18099;51.73863
"Aulacoseira italica";19.8095;63.525
"Aulacoseira italica";5.062369;52.227296
"Aulacoseira italica";6.420556;52.517368
"Aulacoseira italica";4.697517;52.803288
"Aulacoseira italica";4.599453;52.378992
"Aulacoseira italica";4.718176;52.431905
"Aulacoseira italica";6.086898;52.601079
"Aulacoseira italica";4.920158;51.710226
"Aulacoseira italica";4.984107;51.710463
"Aulacoseira italica";5.59729;51.233876
"Aulacoseira italica";5.086517;52.171177
"Aulacoseira italica";5.607225;51.230433
"Aulacoseira italica";5.492106;51.375349
"Aulacoseira italica";-3.12894;48.00795
"Aulacoseira italica";19.1375;63.2975
"Aulacoseira italica";19.11821;63.34001
"Aulacoseira italica";19.13652;63.29612
"Aulacoseira italica";4.168391;51.749997
"Aulacoseira italica";3.945887;51.80542
"Aulacoseira italica";5.468855;52.851661
"Aulacoseira italica";6.374229;52.166153
"Aulacoseira italica";4.627021;51.623926
"Aulacoseira italica";4.289679;51.521736
"Aulacoseira italica";6.763668;52.288744
"Aulacoseira italica";6.027877;51.857132
"Aulacoseira italica";5.725106;52.843805
"Aulacoseira italica";5.860964;52.733398
"Aulacoseira italica";5.751912;52.575052
"Aulacoseira italica";5.980729;52.658376
"Aulacoseira italica";5.215389;52.341825
"Aulacoseira italica";5.291676;52.363931
"Aulacoseira italica";4.1705;51.762577
"Aulacoseira italica";6.164554;52.17733
"Aulacoseira italica";2.5666;46.14276
"Aulacoseira italica";6.521092;53.143317
"Aulacoseira italica";4.492358;51.678525
"Aulacoseira italica";6.720195;52.735307
"Aulacoseira italica";22.4475;65.73
"Aulacoseira italica";11.43333;58.25833
"Aulacoseira italica";4.632813;51.614345
"Aulacoseira italica";5.796148;51.740913
"Aulacoseira italica";5.770767;52.77517
"Aulacoseira italica";5.940731;52.653374
"Aulacoseira italica";22.37533;65.80717
"Aulacoseira italica";22.44633;65.72967
"Aulacoseira italica";4.134222;51.823745
"Aulacoseira italica";4.140659;51.728383
"Aulacoseira italica";-3.14623;48.63176
"Aulacoseira italica";4.201996;51.900929
"Aulacoseira italica";22.37483;65.8075
"Aulacoseira italica";4.339803;51.818173
"Aulacoseira italica";22.375;65.8075
"Aulacoseira italica";-121.688333;38.151667
"Aulacoseira italica";-4.944158;54.906637
"Aulacoseira italica";-4.949553;54.916395
"Aulacoseira italica";-4.956048;54.919833
"Aulacoseira italica";5.981195;53.083767
"Aulacoseira italica";-122.066667;37.471667
"Aulacoseira italica";-4.67618;56.21802
"Aulacoseira italica";4.894759;51.720063
"Aulacoseira italica";6.114762;51.318596
"Aulacoseira italica";5.076247;52.182915
"Aulacoseira italica";5.063651;52.232162
"Aulacoseira italica";5.065706;52.217167
"Aulacoseira italica";4.20593;51.749986
"Aulacoseira italica";4.090788;51.803613
"Aulacoseira italica";-4.585192;56.064465
"Aulacoseira italica";6.0466;52.377132
"Aulacoseira italica";6.074057;52.443036
"Aulacoseira italica";5.995614;52.29282
"Aulacoseira italica";6.031836;52.361664
