"species";"lon";"lat"
"Chlamydomonas globosa";-3.27052;53.085425
"Chlamydomonas globosa";72.021749;41.070782
"Chlamydomonas globosa";9.694856;63.286361
"Chlamydomonas globosa";10.115123;63.16624
"Chlamydomonas globosa";10.792586;63.795666
"Chlamydomonas globosa";71.7133;41.16559
"Chlamydomonas globosa";118.1992;39.5117
"Chlamydomonas globosa";128.432706;35.561386
"Chlamydomonas globosa";-88.0113;30.4374
"Chlamydomonas globosa";56.52;57.6
"Chlamydomonas globosa";128.895169;35.104797
"Chlamydomonas globosa";139.78;38.7
"Chlamydomonas globosa";139.783333;38.7
"Chlamydomonas globosa";129.101728;35.132278
"Chlamydomonas globosa";162;72
"Chlamydomonas globosa";158;68
"Chlamydomonas globosa";73.14729;40.792377
"Chlamydomonas globosa";24.43861;48.06417
"Chlamydomonas globosa";35.45389;48.76694
"Chlamydomonas globosa";23.654722;48.195833
"Chlamydomonas globosa";31.52522;49.7236
"Chlamydomonas globosa";31.561111;49.744167
"Chlamydomonas globosa";-86.864715;39.572071
"Chlamydomonas globosa";13.35414;51.05125
"Chlamydomonas globosa";29.40547;50.615539
"Chlamydomonas globosa";31.805741;46.586576
"Chlamydomonas globosa";31.95183;46.58802
"Chlamydomonas globosa";31.749001;46.580443
"Chlamydomonas globosa";31.944064;46.703967
"Chlamydomonas globosa";18.006867;59.30778
