"species";"lon";"lat"
"Cryptomonas erosa";-48.788307;-26.271177
"Cryptomonas erosa";-48.779735;-26.273446
"Cryptomonas erosa";-48.755798;-26.268281
"Cryptomonas erosa";1.24;42.12
"Cryptomonas erosa";0.79;41.3
"Cryptomonas erosa";0.43;41.29
"Cryptomonas erosa";1.12;42.03
"Cryptomonas erosa";0.55;41.3
"Cryptomonas erosa";2.009787;45.161244
"Cryptomonas erosa";1.44622;45.094828
"Cryptomonas erosa";0.69;40.67
"Cryptomonas erosa";3.022352;50.335659
"Cryptomonas erosa";0.76;41.93
"Cryptomonas erosa";0.79;41.12
"Cryptomonas erosa";0.87;42.38
"Cryptomonas erosa";2.008621;45.162005
"Cryptomonas erosa";0.74;42.56
"Cryptomonas erosa";4.116663;45.308505
"Cryptomonas erosa";0.77;41.84
"Cryptomonas erosa";0.64;42.11
"Cryptomonas erosa";0.88;42.11
"Cryptomonas erosa";0.76;42.02
"Cryptomonas erosa";0.86;42.56
"Cryptomonas erosa";0.86;42.65
"Cryptomonas erosa";0.87;42.29
"Cryptomonas erosa";0.54;41.48
"Cryptomonas erosa";0.74;42.65
"Cryptomonas erosa";0.54;41.57
"Cryptomonas erosa";0.42;41.38
"Cryptomonas erosa";1.24;42.03
"Cryptomonas erosa";1.24;42.21
"Cryptomonas erosa";-7.003889;41.238611
"Cryptomonas erosa";8.119657;59.12048
"Cryptomonas erosa";36.3692;60.5879
"Cryptomonas erosa";-1.36;52.12
"Cryptomonas erosa";4.392004;51.066341
"Cryptomonas erosa";6.160584;60.310902
"Cryptomonas erosa";5.136633;60.543054
"Cryptomonas erosa";4.994345;60.706626
"Cryptomonas erosa";5.336234;60.482934
"Cryptomonas erosa";5.419863;59.551894
"Cryptomonas erosa";5.760524;59.850904
"Cryptomonas erosa";5.288148;60.343506
"Cryptomonas erosa";5.340367;60.271681
"Cryptomonas erosa";5.043567;60.320812
"Cryptomonas erosa";5.03041;60.691819
"Cryptomonas erosa";5.3655;59.535899
"Cryptomonas erosa";5.049186;60.68826
"Cryptomonas erosa";5.405826;60.270605
"Cryptomonas erosa";4.94273;60.702162
"Cryptomonas erosa";6.160672;60.298416
"Cryptomonas erosa";5.095705;60.636317
"Cryptomonas erosa";-72.0632;41.3156
"Cryptomonas erosa";-46.5652003;-24.1046797
"Cryptomonas erosa";-46.4723996;-24.0732799
"Cryptomonas erosa";5.17179;51.231107
"Cryptomonas erosa";5.200833;51.225278
"Cryptomonas erosa";126.693694;35.950647
"Cryptomonas erosa";7.391339;45.053778
"Cryptomonas erosa";7.883769;45.486222
"Cryptomonas erosa";3.322521;50.843523
"Cryptomonas erosa";8.033892;45.417997
"Cryptomonas erosa";7.126744;45.458692
"Cryptomonas erosa";8.464408;45.9558
"Cryptomonas erosa";4.19653;52.007412
"Cryptomonas erosa";4.181909;52.008953
"Cryptomonas erosa";4.171708;51.993512
"Cryptomonas erosa";4.291948;52.098649
"Cryptomonas erosa";4.233094;52.044019
"Cryptomonas erosa";4.217678;52.035957
"Cryptomonas erosa";4.243876;51.995135
"Cryptomonas erosa";4.250063;51.990017
"Cryptomonas erosa";4.146409;52.011631
"Cryptomonas erosa";4.313001;52.080784
"Cryptomonas erosa";4.31461;52.021572
"Cryptomonas erosa";4.488763;51.794006
"Cryptomonas erosa";4.583819;51.714775
"Cryptomonas erosa";4.52294;51.801849
"Cryptomonas erosa";4.553001;51.783496
"Cryptomonas erosa";4.526629;51.80148
"Cryptomonas erosa";4.332697;51.768535
"Cryptomonas erosa";4.396756;51.827621
"Cryptomonas erosa";4.589275;51.717159
"Cryptomonas erosa";4.566835;51.798209
"Cryptomonas erosa";4.55393;51.742621
"Cryptomonas erosa";4.318003;51.75517
"Cryptomonas erosa";4.330252;51.769609
"Cryptomonas erosa";4.299354;51.776563
"Cryptomonas erosa";4.449804;51.82927
"Cryptomonas erosa";4.4355;51.817559
"Cryptomonas erosa";4.544431;51.750409
"Cryptomonas erosa";4.539573;51.74997
"Cryptomonas erosa";4.574399;51.802441
"Cryptomonas erosa";4.483431;51.796059
"Cryptomonas erosa";4.298701;52.010702
"Cryptomonas erosa";4.322978;51.943454
"Cryptomonas erosa";4.337838;52.091102
"Cryptomonas erosa";4.196622;52.011655
"Cryptomonas erosa";4.419553;51.939461
"Cryptomonas erosa";4.430335;51.976718
"Cryptomonas erosa";4.284113;52.055942
"Cryptomonas erosa";4.239795;52.077208
"Cryptomonas erosa";7.914758;45.325697
"Cryptomonas erosa";7.91529;45.3253
"Cryptomonas erosa";5.54274;51.43237
"Cryptomonas erosa";4.295009;51.933849
"Cryptomonas erosa";4.379369;52.021119
"Cryptomonas erosa";4.120482;51.986275
"Cryptomonas erosa";4.238273;51.992743
"Cryptomonas erosa";5.130484;51.524847
"Cryptomonas erosa";5.130566;51.5282
"Cryptomonas erosa";4.37087;51.991788
"Cryptomonas erosa";4.474487;51.715791
"Cryptomonas erosa";4.372737;51.750703
"Cryptomonas erosa";4.299886;51.799598
"Cryptomonas erosa";4.388737;51.815058
"Cryptomonas erosa";4.41274;51.822424
"Cryptomonas erosa";4.429901;51.797109
"Cryptomonas erosa";4.439155;51.740985
"Cryptomonas erosa";4.437378;51.727712
"Cryptomonas erosa";4.438076;51.736527
"Cryptomonas erosa";4.532671;51.75658
"Cryptomonas erosa";4.585516;51.770041
"Cryptomonas erosa";4.578191;51.762387
"Cryptomonas erosa";4.564391;51.737472
"Cryptomonas erosa";4.56696;51.798551
"Cryptomonas erosa";4.497476;51.71603
"Cryptomonas erosa";4.343352;52.0205
"Cryptomonas erosa";4.206556;51.990667
"Cryptomonas erosa";4.256171;52.016288
"Cryptomonas erosa";4.19278;51.974878
"Cryptomonas erosa";4.303603;52.071817
"Cryptomonas erosa";4.302467;52.081371
"Cryptomonas erosa";4.30679;52.096314
"Cryptomonas erosa";4.27608;52.082347
"Cryptomonas erosa";4.393314;52.078828
"Cryptomonas erosa";4.345614;52.034138
