"species";"lon";"lat"
"Cryptomonas ovata";-125.319252;49.741361
"Cryptomonas ovata";-125.56773;49.692232
"Cryptomonas ovata";-125.567736;49.692233
"Cryptomonas ovata";1.24;42.12
"Cryptomonas ovata";0.79;41.12
"Cryptomonas ovata";0.43;41.29
"Cryptomonas ovata";0.87;42.38
"Cryptomonas ovata";1.22;42.75
"Cryptomonas ovata";1.1;42.75
"Cryptomonas ovata";1.12;42.03
"Cryptomonas ovata";9.709635;63.4666
"Cryptomonas ovata";9.694856;63.286361
"Cryptomonas ovata";11.850497;63.540526
"Cryptomonas ovata";10.650108;63.766661
"Cryptomonas ovata";10.792586;63.795666
"Cryptomonas ovata";10.115123;63.16624
"Cryptomonas ovata";10.133592;63.202824
"Cryptomonas ovata";0.76;41.93
"Cryptomonas ovata";0.54;41.48
"Cryptomonas ovata";0.79;41.3
"Cryptomonas ovata";0.74;42.56
"Cryptomonas ovata";-73.259205;-37.977215
"Cryptomonas ovata";-73.359216;-37.897712
"Cryptomonas ovata";-73.385319;-37.892923
"Cryptomonas ovata";-73.258938;-37.964049
"Cryptomonas ovata";-73.259911;-37.950305
"Cryptomonas ovata";-73.287547;-37.951915
"Cryptomonas ovata";-73.278685;-37.929038
"Cryptomonas ovata";-73.293486;-37.921671
"Cryptomonas ovata";-73.319701;-37.920475
"Cryptomonas ovata";-73.343986;-37.91667
"Cryptomonas ovata";-73.323321;-37.904217
"Cryptomonas ovata";0.64;42.11
"Cryptomonas ovata";0.55;41.3
"Cryptomonas ovata";0.77;41.84
"Cryptomonas ovata";0.87;42.29
"Cryptomonas ovata";0.88;42.11
"Cryptomonas ovata";0.76;42.02
"Cryptomonas ovata";0.86;42.56
"Cryptomonas ovata";0.86;42.65
"Cryptomonas ovata";22.375;65.8075
"Cryptomonas ovata";0.42;41.38
"Cryptomonas ovata";1.24;42.03
"Cryptomonas ovata";1.24;42.21
"Cryptomonas ovata";151.2334;-33.9914
"Cryptomonas ovata";39.3942;60.5846
"Cryptomonas ovata";115.22;24.29
"Cryptomonas ovata";35.2683;50.0615
"Cryptomonas ovata";-7.003889;41.238611
"Cryptomonas ovata";17.6223;59.8425
"Cryptomonas ovata";17.8735;60.2872
"Cryptomonas ovata";2.367101;45.446
"Cryptomonas ovata";35.2242;50.0664
"Cryptomonas ovata";4.392004;51.066341
"Cryptomonas ovata";35.2694;50.062
"Cryptomonas ovata";118.1992;39.5117
"Cryptomonas ovata";5.17179;51.231107
"Cryptomonas ovata";-88.0113;30.4374
"Cryptomonas ovata";7.883769;45.486222
"Cryptomonas ovata";8.033892;45.417997
"Cryptomonas ovata";7.391339;45.053778
"Cryptomonas ovata";8.464408;45.9558
"Cryptomonas ovata";4.19653;52.007412
"Cryptomonas ovata";4.181909;52.008953
"Cryptomonas ovata";4.171708;51.993512
"Cryptomonas ovata";4.291948;52.098649
"Cryptomonas ovata";4.233094;52.044019
"Cryptomonas ovata";4.217678;52.035957
"Cryptomonas ovata";4.379369;52.021119
"Cryptomonas ovata";4.120482;51.986275
"Cryptomonas ovata";4.250063;51.990017
"Cryptomonas ovata";4.168938;51.978095
"Cryptomonas ovata";4.238273;51.992743
"Cryptomonas ovata";4.146409;52.011631
"Cryptomonas ovata";4.284113;52.055942
"Cryptomonas ovata";4.313001;52.080784
"Cryptomonas ovata";4.31461;52.021572
"Cryptomonas ovata";4.239795;52.077208
"Cryptomonas ovata";4.488763;51.794006
"Cryptomonas ovata";4.583819;51.714775
"Cryptomonas ovata";4.52294;51.801849
"Cryptomonas ovata";4.553001;51.783496
"Cryptomonas ovata";4.526629;51.80148
"Cryptomonas ovata";4.396756;51.827621
"Cryptomonas ovata";4.589275;51.717159
"Cryptomonas ovata";7.914758;45.325697
"Cryptomonas ovata";7.91529;45.3253
"Cryptomonas ovata";4.55393;51.742621
"Cryptomonas ovata";4.318003;51.75517
"Cryptomonas ovata";4.330252;51.769609
"Cryptomonas ovata";4.299354;51.776563
"Cryptomonas ovata";4.449804;51.82927
"Cryptomonas ovata";4.4355;51.817559
"Cryptomonas ovata";4.474487;51.715791
"Cryptomonas ovata";4.544431;51.750409
"Cryptomonas ovata";4.539573;51.74997
"Cryptomonas ovata";4.574399;51.802441
"Cryptomonas ovata";4.483431;51.796059
"Cryptomonas ovata";4.298701;52.010702
"Cryptomonas ovata";4.322978;51.943454
"Cryptomonas ovata";4.337838;52.091102
"Cryptomonas ovata";4.196622;52.011655
"Cryptomonas ovata";4.37087;51.991788
"Cryptomonas ovata";4.419553;51.939461
"Cryptomonas ovata";4.430335;51.976718
"Cryptomonas ovata";4.243876;51.995135
"Cryptomonas ovata";5.54274;51.43237
"Cryptomonas ovata";4.295009;51.933849
"Cryptomonas ovata";4.566835;51.798209
"Cryptomonas ovata";5.130484;51.524847
"Cryptomonas ovata";5.130566;51.5282
"Cryptomonas ovata";18.66238;59.6213
"Cryptomonas ovata";4.372737;51.750703
"Cryptomonas ovata";4.299886;51.799598
"Cryptomonas ovata";4.332697;51.768535
"Cryptomonas ovata";4.388737;51.815058
"Cryptomonas ovata";4.41274;51.822424
"Cryptomonas ovata";4.429901;51.797109
"Cryptomonas ovata";4.439155;51.740985
"Cryptomonas ovata";4.47469;51.741554
"Cryptomonas ovata";4.585516;51.770041
"Cryptomonas ovata";4.578191;51.762387
"Cryptomonas ovata";4.56696;51.798551
"Cryptomonas ovata";4.497476;51.71603
"Cryptomonas ovata";4.343352;52.0205
"Cryptomonas ovata";4.206556;51.990667
"Cryptomonas ovata";4.256171;52.016288
"Cryptomonas ovata";4.19278;51.974878
"Cryptomonas ovata";4.303603;52.071817
"Cryptomonas ovata";4.302467;52.081371
"Cryptomonas ovata";4.30679;52.096314
"Cryptomonas ovata";4.27608;52.082347
"Cryptomonas ovata";4.393314;52.078828
"Cryptomonas ovata";4.345614;52.034138
"Cryptomonas ovata";4.224757;52.03218
"Cryptomonas ovata";4.237335;52.03669
"Cryptomonas ovata";4.239254;52.019243
"Cryptomonas ovata";4.168183;52.007508
"Cryptomonas ovata";4.53785;52.208987
"Cryptomonas ovata";5.086023;52.168596
"Cryptomonas ovata";4.409734;51.978975
"Cryptomonas ovata";4.435238;52.00562
"Cryptomonas ovata";4.403707;52.03479
"Cryptomonas ovata";4.439767;52.045611
"Cryptomonas ovata";4.386012;51.929868
"Cryptomonas ovata";4.376495;52.054883
"Cryptomonas ovata";4.384762;52.056194
"Cryptomonas ovata";4.621732;52.177275
"Cryptomonas ovata";4.723243;52.240941
"Cryptomonas ovata";4.827695;52.322328
"Cryptomonas ovata";4.491444;51.948705
"Cryptomonas ovata";4.479039;51.950003
"Cryptomonas ovata";4.515316;51.935914
"Cryptomonas ovata";4.498378;51.953351
"Cryptomonas ovata";4.49924;51.984782
"Cryptomonas ovata";4.553022;51.997004
"Cryptomonas ovata";4.514851;51.966571
"Cryptomonas ovata";4.667903;52.015802
"Cryptomonas ovata";4.588085;51.961985
"Cryptomonas ovata";4.550478;51.92656
"Cryptomonas ovata";4.392147;51.948293
"Cryptomonas ovata";4.488851;51.954717
"Cryptomonas ovata";4.515933;52.191758
"Cryptomonas ovata";4.530175;51.975672
"Cryptomonas ovata";4.550438;52.005929
"Cryptomonas ovata";4.146972;51.929683
"Cryptomonas ovata";4.5681;52.31358
"Cryptomonas ovata";4.768046;52.270314
"Cryptomonas ovata";4.54752;52.2036
"Cryptomonas ovata";4.756032;52.363249
"Cryptomonas ovata";4.730063;52.106157
"Cryptomonas ovata";4.683727;52.005345
"Cryptomonas ovata";4.302973;51.917194
"Cryptomonas ovata";4.373189;52.027026
"Cryptomonas ovata";4.252009;51.989667
"Cryptomonas ovata";4.218459;51.976961
"Cryptomonas ovata";4.181054;51.959504
"Cryptomonas ovata";4.258716;51.984644
"Cryptomonas ovata";4.332253;51.999978
"Cryptomonas ovata";4.280909;51.923577
"Cryptomonas ovata";4.254104;51.921704
"Cryptomonas ovata";4.300703;51.938908
"Cryptomonas ovata";4.297112;51.943064
"Cryptomonas ovata";4.31102;51.971444
"Cryptomonas ovata";4.288003;51.988984
"Cryptomonas ovata";4.328077;51.999177
"Cryptomonas ovata";4.254996;51.976321
"Cryptomonas ovata";4.306929;51.935217
"Cryptomonas ovata";4.271634;51.935876
"Cryptomonas ovata";4.303244;51.965602
"Cryptomonas ovata";4.276083;51.969996
"Cryptomonas ovata";4.290211;51.932609
"Cryptomonas ovata";4.326497;51.950865
"Cryptomonas ovata";4.376348;52.02974
"Cryptomonas ovata";4.393511;51.987181
"Cryptomonas ovata";4.663606;52.097858
"Cryptomonas ovata";4.656131;52.199738
"Cryptomonas ovata";4.454314;52.113555
"Cryptomonas ovata";4.68316;52.136895
"Cryptomonas ovata";4.43779;52.16082
"Cryptomonas ovata";4.717385;52.2138
"Cryptomonas ovata";4.774773;52.276578
"Cryptomonas ovata";4.753163;52.0531
"Cryptomonas ovata";4.781874;52.028074
"Cryptomonas ovata";4.559086;52.009271
"Cryptomonas ovata";4.555287;52.006791
"Cryptomonas ovata";4.434195;51.940974
"Cryptomonas ovata";4.342272;51.915581
"Cryptomonas ovata";4.200184;52.046559
"Cryptomonas ovata";4.795421;52.152972
"Cryptomonas ovata";4.83893;52.298608
"Cryptomonas ovata";4.81798;52.331854
"Cryptomonas ovata";4.751471;52.346516
"Cryptomonas ovata";4.591842;51.989705
"Cryptomonas ovata";4.441574;51.064583
"Cryptomonas ovata";4.214667;51.938244
"Cryptomonas ovata";4.404437;52.121689
"Cryptomonas ovata";4.679653;52.404107
"Cryptomonas ovata";4.552894;52.280694
"Cryptomonas ovata";5.125887;50.8414
