"species";"lon";"lat"
"Cyclostephanos dubius";9.410305;51.313339
"Cyclostephanos dubius";71.918422;40.973165
"Cyclostephanos dubius";72.212913;40.989348
"Cyclostephanos dubius";11.438594;53.69191
"Cyclostephanos dubius";11.488309;53.794147
"Cyclostephanos dubius";5.27623;50.46333
"Cyclostephanos dubius";5.38919;49.82203
"Cyclostephanos dubius";3.30075;50.70259
"Cyclostephanos dubius";4.40422;50.46167
"Cyclostephanos dubius";3.33173;50.67396
"Cyclostephanos dubius";3.38797;50.58685
"Cyclostephanos dubius";4.11747;50.30472
"Cyclostephanos dubius";3.42299;50.51583
"Cyclostephanos dubius";3.38828;50.72864
"Cyclostephanos dubius";11.438298;53.682518
"Cyclostephanos dubius";3.35222;50.70087
"Cyclostephanos dubius";4.15717;50.66987
"Cyclostephanos dubius";4.24273;50.59751
"Cyclostephanos dubius";6.13601;50.14056
"Cyclostephanos dubius";5.69026;50.73729
"Cyclostephanos dubius";1.82805;47.88899
"Cyclostephanos dubius";11.422863;53.623978
"Cyclostephanos dubius";0.42;41.47
"Cyclostephanos dubius";5.09585;50.49391
"Cyclostephanos dubius";5.98866;50.71791
"Cyclostephanos dubius";11.841202;53.751247
"Cyclostephanos dubius";11.392651;53.686134
"Cyclostephanos dubius";11.580695;53.660713
"Cyclostephanos dubius";-94.172713;33.299729
"Cyclostephanos dubius";2.95061;50.75161
"Cyclostephanos dubius";4.00916;50.47536
"Cyclostephanos dubius";4.30622;50.48921
"Cyclostephanos dubius";3.50304;50.48788
"Cyclostephanos dubius";4.85594;50.46429
"Cyclostephanos dubius";4.79257;50.4418
"Cyclostephanos dubius";3.68134;50.44916
"Cyclostephanos dubius";3.95021;50.47881
"Cyclostephanos dubius";3.78607;50.43996
"Cyclostephanos dubius";3.77476;50.63635
"Cyclostephanos dubius";3.86296;50.7382
"Cyclostephanos dubius";4.69432;50.39334
"Cyclostephanos dubius";0.22;40.66
"Cyclostephanos dubius";3.64925;50.46641
"Cyclostephanos dubius";3.6831;50.48807
"Cyclostephanos dubius";3.67244;50.47954
"Cyclostephanos dubius";4.39193;50.49149
"Cyclostephanos dubius";5.81937;49.5473
"Cyclostephanos dubius";5.39601;49.7635
"Cyclostephanos dubius";5.03903;49.85194
"Cyclostephanos dubius";5.38673;49.79002
"Cyclostephanos dubius";5.59432;49.72078
"Cyclostephanos dubius";11.638575;53.639965
"Cyclostephanos dubius";4.22872;50.6817
"Cyclostephanos dubius";4.2254;50.60585
"Cyclostephanos dubius";4.21746;50.70927
"Cyclostephanos dubius";-95.120608;43.370528
"Cyclostephanos dubius";5.94087;50.75052
"Cyclostephanos dubius";5.2543;50.49263
"Cyclostephanos dubius";4.2201;50.68815
"Cyclostephanos dubius";4.82692;50.21574
"Cyclostephanos dubius";5.89017;50.57849
"Cyclostephanos dubius";4.13745;50.44306
"Cyclostephanos dubius";3.96522;50.44076
"Cyclostephanos dubius";4.11043;50.42505
"Cyclostephanos dubius";3.85441;50.44475
"Cyclostephanos dubius";3.40768;50.6077
"Cyclostephanos dubius";2.99595;50.76325
"Cyclostephanos dubius";3.81287;50.61004
"Cyclostephanos dubius";3.6911;50.38483
"Cyclostephanos dubius";7.23579;44.15868
"Cyclostephanos dubius";3.65396;50.489
"Cyclostephanos dubius";3.55128;50.72988
"Cyclostephanos dubius";0.55;41.21
"Cyclostephanos dubius";11.77169;53.631813
