"species";"lon";"lat"
"Cyclotella comta";8.286095;5.014842
"Cyclotella comta";6.465848;2.599924
"Cyclotella comta";6.76086;4.756617
"Cyclotella comta";13.3505;52.514167
"Cyclotella comta";7.061112;4.802423
"Cyclotella comta";5.712104;5.387626
"Cyclotella comta";5.892271;4.732307
"Cyclotella comta";3.38692;6.526148
"Cyclotella comta";4.865396;7.073984
"Cyclotella comta";-84.0999;49.3879
"Cyclotella comta";-85.5;49.353
"Cyclotella comta";-85.5149;49.463
"Cyclotella comta";-85.5385;49.3424
"Cyclotella comta";-85.5123;49.2322
"Cyclotella comta";-85.3825;49.1966
"Cyclotella comta";-84.9406;49.40299
"Cyclotella comta";-85.9409;49.3807
"Cyclotella comta";-84.679;49.3579
"Cyclotella comta";-84.661;49.3203
"Cyclotella comta";-84.7337;49.095
"Cyclotella comta";-85.1675;49.1415
"Cyclotella comta";-84.656;49.0446
"Cyclotella comta";-84.2921;49.4473
"Cyclotella comta";-84.416;49.196
"Cyclotella comta";-84.4916;49.1608
"Cyclotella comta";-84.3532;49.3636
"Cyclotella comta";9.00733;50.071838
"Cyclotella comta";12.145042;48.529842
"Cyclotella comta";8.5678;51.1234
"Cyclotella comta";7.6543;51.9876
"Cyclotella comta";7.8901;51.4567
"Cyclotella comta";8.9012;51.2345
"Cyclotella comta";8.3456;50.8765
"Cyclotella comta";8.7654;50.5432
"Cyclotella comta";8.1234;50.789
"Cyclotella comta";7.5432;51.4321
"Cyclotella comta";7.2109;51.8765
"Cyclotella comta";8.0987;51.6543
"Cyclotella comta";7.8901;52.3456
"Cyclotella comta";7.5432;51.2345
"Cyclotella comta";8.0461;51.2874
"Cyclotella comta";6.7623;51.4344
"Cyclotella comta";6.6206;51.6667
"Cyclotella comta";9.4167;51.1833
"Cyclotella comta";-122.4194;37.7749
"Cyclotella comta";8.0667;51.5167
"Cyclotella comta";12.170835;47.614174
"Cyclotella comta";9.499397;46.750271
"Cyclotella comta";9.493389;47.473198
"Cyclotella comta";12.154312;48.53363
"Cyclotella comta";17.259521;52.030888
"Cyclotella comta";14.963379;49.050964
"Cyclotella comta";10.596228;54.176945
"Cyclotella comta";137.6618;39.4947
"Cyclotella comta";151.629;33.926
