"species";"lon";"lat"
"Cyclotella meneghiniana";11.639715;53.321796
"Cyclotella meneghiniana";-48.779735;-26.273446
"Cyclotella meneghiniana";-81.438199;28.565179
"Cyclotella meneghiniana";-0.32;39.31
"Cyclotella meneghiniana";-0.28;39.32
"Cyclotella meneghiniana";-48.788307;-26.271177
"Cyclotella meneghiniana";-48.755798;-26.268281
"Cyclotella meneghiniana";-48.779389;-26.328864
"Cyclotella meneghiniana";-48.782558;-26.327109
"Cyclotella meneghiniana";152.562153;-27.101691
"Cyclotella meneghiniana";-48.912361;-26.298191
"Cyclotella meneghiniana";-48.905669;-26.302786
"Cyclotella meneghiniana";-0.33;39.35
"Cyclotella meneghiniana";-0.34;39.35
"Cyclotella meneghiniana";-0.31;39.32
"Cyclotella meneghiniana";-48.921897;-26.294087
"Cyclotella meneghiniana";-48.777781;-26.330825
"Cyclotella meneghiniana";-95.175134;43.42404
"Cyclotella meneghiniana";-48.779735;-26.273446
"Cyclotella meneghiniana";-147.307207;60.195402
"Cyclotella meneghiniana";17.6699;59.81533
"Cyclotella meneghiniana";-4.299555;53.362008
"Cyclotella meneghiniana";-0.36;39.35
"Cyclotella meneghiniana";140.853711;38.340724
"Cyclotella meneghiniana";-79.080174;-3.079946
"Cyclotella meneghiniana";-79.059184;-3.063018
"Cyclotella meneghiniana";-79.052101;-3.040599
"Cyclotella meneghiniana";-79.046323;-2.987441
"Cyclotella meneghiniana";-79.170137;-2.947326
"Cyclotella meneghiniana";-79.02495;-2.918632
"Cyclotella meneghiniana";-4.276557;51.865893
"Cyclotella meneghiniana";-5.091654;51.741724
"Cyclotella meneghiniana";-95.172916;43.37149
"Cyclotella meneghiniana";-95.174901;43.423879
"Cyclotella meneghiniana";-95.127575;43.376985
"Cyclotella meneghiniana";-95.174901;43.42879
"Cyclotella meneghiniana";-3.427884;52.514575
"Cyclotella meneghiniana";-3.477483;52.455525
"Cyclotella meneghiniana";0.77;41.75
"Cyclotella meneghiniana";1.25;41.85
"Cyclotella meneghiniana";1.84;42.4
"Cyclotella meneghiniana";1.84;42.49
"Cyclotella meneghiniana";1.35;42.39
"Cyclotella meneghiniana";1.13;41.94
"Cyclotella meneghiniana";1.24;42.12
"Cyclotella meneghiniana";0.55;41.3
"Cyclotella meneghiniana";0.87;42.38
"Cyclotella meneghiniana";-51.208706;-23.334087
"Cyclotella meneghiniana";0.56;40.85
"Cyclotella meneghiniana";0.55;41.21
"Cyclotella meneghiniana";-51.426328;-23.32008
"Cyclotella meneghiniana";-51.444236;-23.346256
"Cyclotella meneghiniana";-3.553991;52.456972
"Cyclotella meneghiniana";25.186641;-31.940373
"Cyclotella meneghiniana";-80.906875;27.195629
"Cyclotella meneghiniana";0.86;42.65
"Cyclotella meneghiniana";0.54;41.48
"Cyclotella meneghiniana";0.74;42.65
"Cyclotella meneghiniana";11.438594;53.69191
"Cyclotella meneghiniana";6.19554;48.75382
"Cyclotella meneghiniana";6.18805;48.74612
"Cyclotella meneghiniana";1.85;42.04
"Cyclotella meneghiniana";12.348242;54.277664
"Cyclotella meneghiniana";-7.479806;57.647046
"Cyclotella meneghiniana";5.32921;49.96405
"Cyclotella meneghiniana";5.32921;49.96405
"Cyclotella meneghiniana";3.30075;50.70259
"Cyclotella meneghiniana";3.88054;50.74195
"Cyclotella meneghiniana";3.33173;50.67396
"Cyclotella meneghiniana";3.40768;50.6077
"Cyclotella meneghiniana";3.38797;50.58685
"Cyclotella meneghiniana";4.40422;50.46167
"Cyclotella meneghiniana";4.40422;50.46167
"Cyclotella meneghiniana";3.96522;50.44076
"Cyclotella meneghiniana";2.21;41.86
"Cyclotella meneghiniana";2.21;41.95
"Cyclotella meneghiniana";2.33;41.95
"Cyclotella meneghiniana";2.81;41.95
"Cyclotella meneghiniana";2.81;42.04
"Cyclotella meneghiniana";2.69;42.13
"Cyclotella meneghiniana";3.06;42.22
"Cyclotella meneghiniana";2.93;42.22
"Cyclotella meneghiniana";3.06;42.31
"Cyclotella meneghiniana";10.115123;63.16624
"Cyclotella meneghiniana";3.85823;43.52581
"Cyclotella meneghiniana";0.44;41.02
"Cyclotella meneghiniana";2.21;42.04
"Cyclotella meneghiniana";-4.003935;51.761687
"Cyclotella meneghiniana";9.694856;63.286361
"Cyclotella meneghiniana";8.70094;41.93473
"Cyclotella meneghiniana";0.42;41.47
"Cyclotella meneghiniana";0.76;41.93
"Cyclotella meneghiniana";0.43;41.29
"Cyclotella meneghiniana";3.64925;50.46641
"Cyclotella meneghiniana";-4.004314;51.770223
"Cyclotella meneghiniana";3.38797;50.58685
"Cyclotella meneghiniana";4.11747;50.30472
"Cyclotella meneghiniana";4.11747;50.30472
"Cyclotella meneghiniana";3.42299;50.51583
"Cyclotella meneghiniana";3.38828;50.72864
"Cyclotella meneghiniana";0.56;40.94
"Cyclotella meneghiniana";5.75429;50.73989
"Cyclotella meneghiniana";6.25831;50.42543
"Cyclotella meneghiniana";-73.916876;7.257336
"Cyclotella meneghiniana";-73.83221;7.304113
"Cyclotella meneghiniana";-73.84443;7.237096
"Cyclotella meneghiniana";-73.835144;7.300478
"Cyclotella meneghiniana";-73.891587;7.300332
"Cyclotella meneghiniana";-73.893637;7.272519
"Cyclotella meneghiniana";-73.913168;7.248035
"Cyclotella meneghiniana";-73.886006;7.262714
"Cyclotella meneghiniana";-73.895497;7.250355
"Cyclotella meneghiniana";-73.890361;7.254608
"Cyclotella meneghiniana";-73.907909;7.217697
"Cyclotella meneghiniana";-73.831329;7.265656
