"species";"lon";"lat"
"Desmodesmus magnus";14.416016;50.106076
"Desmodesmus magnus";-41.024479;-21.774906
"Desmodesmus magnus";11.975517;55.171188
"Desmodesmus magnus";0.55;41.3
"Desmodesmus magnus";-76.14038;44.87667
"Desmodesmus magnus";-0.2;39.03
"Desmodesmus magnus";-7.325434;57.376715
"Desmodesmus magnus";0.42;41.38
"Desmodesmus magnus";36.9499;59.9926
"Desmodesmus magnus";0.3;40.27
"Desmodesmus magnus";0.07;38.81
"Desmodesmus magnus";39.5854;60.4521
"Desmodesmus magnus";-3.69114;40.411364
"Desmodesmus magnus";41.3199;59.9511
"Desmodesmus magnus";4.823502;52.788349
"Desmodesmus magnus";5.228278;52.717277
"Desmodesmus magnus";4.704186;52.823493
"Desmodesmus magnus";4.766668;52.729687
"Desmodesmus magnus";4.863819;52.515386
"Desmodesmus magnus";5.063346;52.756341
"Desmodesmus magnus";4.823114;52.236031
"Desmodesmus magnus";5.038054;52.920932
"Desmodesmus magnus";4.783222;53.079702
"Desmodesmus magnus";7.91529;45.3253
"Desmodesmus magnus";7.914758;45.325697
"Desmodesmus magnus";4.975679;52.548469
"Desmodesmus magnus";5.12657;52.745811
"Desmodesmus magnus";4.696173;52.513207
"Desmodesmus magnus";4.765018;52.4469
"Desmodesmus magnus";5.088441;52.272394
"Desmodesmus magnus";4.621732;52.177275
"Desmodesmus magnus";4.759738;52.029217
"Desmodesmus magnus";5.086023;52.168596
"Desmodesmus magnus";4.904869;52.273001
"Desmodesmus magnus";4.935723;52.208275
"Desmodesmus magnus";4.723243;52.240941
"Desmodesmus magnus";4.75137;52.034637
"Desmodesmus magnus";6.04369;53.189746
"Desmodesmus magnus";4.827695;52.322328
"Desmodesmus magnus";4.5681;52.31358
"Desmodesmus magnus";4.495967;52.131126
"Desmodesmus magnus";5.086517;52.171177
"Desmodesmus magnus";5.080234;52.234516
"Desmodesmus magnus";5.094325;52.237734
"Desmodesmus magnus";4.239631;51.739183
"Desmodesmus magnus";4.288003;51.988984
"Desmodesmus magnus";4.419553;51.939461
"Desmodesmus magnus";4.373189;52.027026
"Desmodesmus magnus";4.764536;52.040478
"Desmodesmus magnus";6.144401;53.474497
"Desmodesmus magnus";4.072393;51.881463
"Desmodesmus magnus";4.335846;51.824888
"Desmodesmus magnus";4.332253;51.999978
"Desmodesmus magnus";4.300703;51.938908
"Desmodesmus magnus";4.306929;51.935217
"Desmodesmus magnus";4.271634;51.935876
"Desmodesmus magnus";4.909651;52.408924
"Desmodesmus magnus";4.921292;52.398994
